run,bracket,kind,margin_per_payload_min_pct,margin_per_payload_median_pct,margin_per_payload_max_pct
V1_on_VOLT-SUB,headline_ruler_favourable,headline,+20.1140,+20.8309,+21.1285
V1_on_VOLT-SUB,gear_mesh_pessimistic,ruler_modelling,+21.1393,+21.8398,+22.1450
V1_on_VOLT-SUB,at_pump_pessimistic,ruler_modelling,+21.2220,+21.9320,+22.2248
V1_on_VOLT-SUB,final_drive_pessimistic,ruler_modelling,+21.1481,+21.8489,+22.1535
V1_on_VOLT-SUB,lockup_slip_pessimistic,ruler_modelling,+20.8606,+21.5649,+21.8678
V1_on_VOLT-SUB,physical_accessories,ruler_modelling,+22.7623,+23.4630,+23.7429
V1_on_VOLT-SUB,converter_stalled_at_idle,ruler_modelling,+31.9278,+32.5495,+32.7813
V1_on_VOLT-SUB,sequential_shift_schedule,ruler_modelling,+20.1586,+20.8809,+21.1678
V1_on_VOLT-SUB,rotating_inertia_charged,ruler_modelling,+21.4973,+22.1782,+22.5148
V1_on_VOLT-SUB,four_driveline_levers_pessimistic,ruler_modelling_combination,+23.9568,+24.6230,+24.9300
V1_on_VOLT-SUB,four_driveline_plus_accessories_plus_idle_in_drive,ruler_modelling_combination,+36.8679,+37.4392,+37.6633
V1_on_VOLT-SUB,all_ruler_modelling_choices_pessimistic,ruler_modelling_combination,+37.7831,+38.3281,+38.5802
V1_on_VOLT-SUB,CdA_5.4,road_load_change_applied_to_both_vehicles,+18.0597,+18.2805,+18.9201
V1_on_VOLT-SUB,all_ruler_modelling_pessimistic_plus_CdA_5.4_road_change,ruler_modelling_combination_PLUS_road_load_change,+35.7723,+35.9400,+36.4059
V1_on_VOLT-SUB,r1_partial_reversal_plus_CdA_5.4_road_change,SUPERSEDED_round1_partial_reversal_PLUS_road_load_change,+32.6176,+32.7977,+33.2975
V2_on_VOLT-REG,headline_ruler_favourable,headline,-7.9252,-7.2747,-6.9330
V2_on_VOLT-REG,gear_mesh_pessimistic,ruler_modelling,-6.0670,-5.5009,-5.1594
V2_on_VOLT-REG,at_pump_pessimistic,ruler_modelling,-6.7790,-6.1448,-5.8005
V2_on_VOLT-REG,final_drive_pessimistic,ruler_modelling,-6.0642,-5.4986,-5.1574
V2_on_VOLT-REG,lockup_slip_pessimistic,ruler_modelling,-6.5821,-5.9940,-5.6494
V2_on_VOLT-REG,physical_accessories,ruler_modelling,-6.9059,-6.2717,-5.9228
V2_on_VOLT-REG,converter_stalled_at_idle,ruler_modelling,-6.9566,-6.3123,-5.9634
V2_on_VOLT-REG,sequential_shift_schedule,ruler_modelling,-7.9142,-7.2652,-6.9216
V2_on_VOLT-REG,rotating_inertia_charged,ruler_modelling,-7.7234,-7.0789,-6.7303
V2_on_VOLT-REG,four_driveline_levers_pessimistic,ruler_modelling_combination,-1.8626,-1.4022,-1.0922
V2_on_VOLT-REG,four_driveline_plus_accessories_plus_idle_in_drive,ruler_modelling_combination,-0.0695,+0.3984,+0.7064
V2_on_VOLT-REG,all_ruler_modelling_choices_pessimistic,ruler_modelling_combination,+0.1324,+0.5911,+0.9089
V2_on_VOLT-REG,CdA_5.4,road_load_change_applied_to_both_vehicles,-10.5248,-10.4793,-10.3312
V2_on_VOLT-REG,all_ruler_modelling_pessimistic_plus_CdA_5.4_road_change,ruler_modelling_combination_PLUS_road_load_change,-2.1477,-2.0498,-1.9444
V2_on_VOLT-REG,r1_partial_reversal_plus_CdA_5.4_road_change,SUPERSEDED_round1_partial_reversal_PLUS_road_load_change,-8.5676,-8.5244,-8.3694
V2_on_VOLT-SUB,headline_ruler_favourable,headline,+21.7124,+22.0717,+22.2869
V2_on_VOLT-SUB,gear_mesh_pessimistic,ruler_modelling,+22.7169,+23.0698,+23.2729
V2_on_VOLT-SUB,at_pump_pessimistic,ruler_modelling,+22.8036,+23.1501,+23.3684
V2_on_VOLT-SUB,final_drive_pessimistic,ruler_modelling,+22.7253,+23.0779,+23.2812
V2_on_VOLT-SUB,lockup_slip_pessimistic,ruler_modelling,+22.4415,+22.7985,+23.0053
V2_on_VOLT-SUB,physical_accessories,ruler_modelling,+24.3179,+24.6654,+24.8848
V2_on_VOLT-SUB,converter_stalled_at_idle,ruler_modelling,+33.3131,+33.6108,+33.8232
V2_on_VOLT-SUB,sequential_shift_schedule,ruler_modelling,+21.7509,+22.0927,+22.3384
V2_on_VOLT-SUB,rotating_inertia_charged,ruler_modelling,+23.0740,+23.4057,+23.6076
V2_on_VOLT-SUB,four_driveline_levers_pessimistic,ruler_modelling_combination,+25.4823,+25.8121,+26.0027
V2_on_VOLT-SUB,four_driveline_plus_accessories_plus_idle_in_drive,ruler_modelling_combination,+38.1629,+38.4306,+38.6240
V2_on_VOLT-SUB,all_ruler_modelling_choices_pessimistic,ruler_modelling_combination,+39.0588,+39.2974,+39.4815
V2_on_VOLT-SUB,CdA_5.4,road_load_change_applied_to_both_vehicles,+19.5871,+20.1362,+20.3722
V2_on_VOLT-SUB,all_ruler_modelling_pessimistic_plus_CdA_5.4_road_change,ruler_modelling_combination_PLUS_road_load_change,+36.9947,+37.3907,+37.5713
V2_on_VOLT-SUB,r1_partial_reversal_plus_CdA_5.4_road_change,SUPERSEDED_round1_partial_reversal_PLUS_road_load_change,+33.8972,+34.3216,+34.5309
