vehicle,duty,case,mass_ruler_kg,mass_cand_kg,payload_ruler_kg,payload_cand_kg,ruler_kWh_per_km_median,cand_kWh_per_km_median,ruler_kWh_per_payload_tkm_median,cand_kWh_per_payload_tkm_median,margin_per_km_min_pct,margin_per_km_median_pct,margin_per_km_max_pct,margin_per_payload_min_pct,margin_per_payload_median_pct,margin_per_payload_max_pct
V1,VOLT-SUB,nominal,6600.0,6600.0,2900.0,2712.0,1.896902,1.405094,0.654104,0.518102,25.2928,25.9633,26.2415,20.1140,20.8309,21.1285
V1,VOLT-SUB,payload_p20,7180.0,7368.0,3480.0,3480.0,1.977549,1.513212,0.568261,0.434831,22.8371,23.3389,23.9074,22.8371,23.3389,23.9074
V1,VOLT-SUB,payload_m20,6020.0,6208.0,2320.0,2320.0,1.816482,1.352788,0.782966,0.583098,24.6560,25.4363,25.6129,24.6560,25.4363,25.6129
V1,VOLT-SUB,cold_-10C,6600.0,6600.0,2900.0,2712.0,1.926644,1.446695,0.664360,0.533442,24.3670,25.0068,25.2472,19.1240,19.8081,20.0652
V1,VOLT-SUB,alt2000m_45C,6600.0,6600.0,2900.0,2712.0,1.828183,1.316067,0.630408,0.485275,27.3107,28.0167,28.1217,22.2717,23.0267,23.1390
V2,VOLT-REG,nominal,6600.0,6600.0,2900.0,2461.0,1.882698,1.715358,0.649206,0.697017,8.4125,8.9644,9.2544,-7.9252,-7.2747,-6.9330
V2,VOLT-REG,payload_p20,7180.0,7619.0,3480.0,3480.0,1.930733,1.807607,0.554808,0.519427,6.2715,6.3850,6.5540,6.2715,6.3850,6.5540
V2,VOLT-REG,payload_m20,6020.0,6459.0,2320.0,2320.0,1.836401,1.701399,0.791552,0.733362,7.2118,7.2710,7.5761,7.2118,7.2710,7.5761
V2,VOLT-REG,cold_-10C,6600.0,6600.0,2900.0,2461.0,1.997643,1.841257,0.688842,0.748174,7.6922,7.8594,8.2062,-8.7739,-8.5770,-8.1683
V2,VOLT-REG,alt2000m_45C,6600.0,6600.0,2900.0,2461.0,1.620232,1.421777,0.558701,0.577723,12.1496,12.2392,12.4182,-3.5214,-3.4159,-3.2049
V2,VOLT-REG,climb_10km_6pct,6600.0,6600.0,2900.0,2461.0,2.111719,1.963889,0.728179,0.798005,6.6697,7.0358,7.2737,-9.9788,-9.5474,-9.2670
V2,VOLT-SUB,nominal,6600.0,6600.0,2900.0,2461.0,1.896902,1.254413,0.654104,0.509717,33.5635,33.8684,34.0511,21.7124,22.0717,22.2869
V2,VOLT-SUB,payload_p20,7180.0,7619.0,3480.0,3480.0,1.977549,1.373956,0.568261,0.394815,29.9977,30.5584,30.9158,29.9977,30.5584,30.9158
V2,VOLT-SUB,payload_m20,6020.0,6459.0,2320.0,2320.0,1.816482,1.238547,0.782966,0.533856,31.5054,31.8125,31.9852,31.5054,31.8125,31.9852
V2,VOLT-SUB,cold_-10C,6600.0,6600.0,2900.0,2461.0,1.926644,1.288268,0.664360,0.523473,32.8100,33.1357,33.3650,20.8244,21.2083,21.4785
V2,VOLT-SUB,alt2000m_45C,6600.0,6600.0,2900.0,2461.0,1.828183,1.177022,0.630408,0.478270,35.3092,35.5507,35.7871,23.7695,24.0541,24.3326
