vehicle,duty,case,component,kWh_min,kWh_median,kWh_max,mean_kW_max,peak_kW,roll120s_mean_kW_max,roll600s_mean_kW_max,split_exhaust_kWh_median,split_coolant_oil_kWh_median,split_cac_kWh_median,resistor_share_lower_bound_kWh_median,max_governing_case
ruler,VOLT-SUB,nominal,ruler engine (fuel - shaft),25.4156,25.4983,25.5634,26.3887,120.8893,46.1027,38.6123,12.4942,9.6893,2.5498,,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
ruler,VOLT-SUB,nominal,ruler driveline + accessories (shaft - wheel),3.1836,3.1910,3.2100,3.3065,,,,,,,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
ruler,VOLT-SUB,nominal,ruler friction brakes (all braking energy),3.5449,3.6027,3.6321,3.7462,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V1,VOLT-SUB,nominal,V1 genset engine (fuel - shaft),15.4369,16.5031,18.5855,19.1110,50.7376,50.7376,50.7376,8.0865,6.2712,1.6503,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V1,VOLT-SUB,nominal,V1 generator + rectifier,0.5438,0.5813,0.6547,0.6732,,,,,,,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V1,VOLT-SUB,nominal,V1 traction chain (inverter+motor+reduction),1.4588,1.4691,1.4791,1.5255,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V1,VOLT-SUB,nominal,"V1 R15 blend overflow, LUMPED resistor + friction",0.2132,0.2603,0.3029,0.3126,,,,,,,0.0000,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
ruler,VOLT-SUB,payload_p20,ruler engine (fuel - shaft),26.3513,26.4326,26.4938,27.3492,138.7550,47.8177,39.9445,12.9520,10.0444,2.6433,,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
ruler,VOLT-SUB,payload_p20,ruler driveline + accessories (shaft - wheel),3.2435,3.2478,3.2706,3.3634,,,,,,,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
ruler,VOLT-SUB,payload_p20,ruler friction brakes (all braking energy),3.8653,3.9281,3.9604,4.0848,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
V1,VOLT-SUB,payload_p20,V1 genset engine (fuel - shaft),16.3854,17.2522,19.8004,20.3603,50.7376,50.7376,50.7376,8.4536,6.5558,1.7252,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
V1,VOLT-SUB,payload_p20,V1 generator + rectifier,0.5772,0.6077,0.6975,0.7172,,,,,,,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
