run,case,cand_unserved_bus_kWh_worst,cand_soc_min_worst,cand_emergency_band_s_worst,cand_s_above_cont_rating_worst,cand_kWh_above_cont_rating_worst,cand_eng_shaft_peak_kW_worst,cand_cont_rating_kW,cand_emerg_ceiling_kW,cand_genset_starts_worst,ruler_unserved_wheel_kWh_worst,ruler_infeasible_s_worst,ruler_idle_fuel_g_worst,governing_case
V1_on_VOLT-SUB,nominal,0.0000,0.4055,0.0,0.0,0.0000,29.51,50.00,54.20,3,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [nominal]
V1_on_VOLT-SUB,payload_p20,0.0000,0.4102,0.0,0.0,0.0000,29.51,50.00,54.20,3,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [payload_p20]
V1_on_VOLT-SUB,payload_m20,0.0000,0.4098,0.0,0.0,0.0000,29.51,50.00,54.20,3,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [payload_m20]
V1_on_VOLT-SUB,cold_-10C,0.0000,0.4075,0.0,0.0,0.0000,29.51,50.00,54.20,3,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [cold_-10C]
V1_on_VOLT-SUB,alt2000m_45C,0.0000,0.4082,0.0,0.0,0.0000,29.51,46.56,50.47,3,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [alt2000m_45C]
V2_on_VOLT-REG,nominal,0.0000,0.2284,405.0,146.5,0.6242,147.88,132.00,148.70,6,0.3829,174.3,150.3,seed 23 of the enumerated 8-seed VOLT-REG ensemble (max over the enumerated seed set) [nominal]
V2_on_VOLT-REG,payload_p20,0.0000,0.1733,466.2,184.9,0.7723,147.88,132.00,148.70,6,0.6836,194.3,150.3,seed 23 of the enumerated 8-seed VOLT-REG ensemble (max over the enumerated seed set) [payload_p20]
V2_on_VOLT-REG,payload_m20,0.0000,0.2499,257.3,12.0,0.0468,147.88,132.00,148.70,5,0.1706,143.8,150.3,seed 23 of the enumerated 8-seed VOLT-REG ensemble (max over the enumerated seed set) [payload_m20]
V2_on_VOLT-REG,cold_-10C,0.0000,0.2304,387.6,98.5,0.4114,147.88,132.00,148.70,4,0.5653,193.3,150.3,seed 23 of the enumerated 8-seed VOLT-REG ensemble (max over the enumerated seed set) [cold_-10C]
V2_on_VOLT-REG,alt2000m_45C,0.0000,0.2460,221.9,66.1,0.1894,133.60,122.92,138.47,6,0.2970,158.4,150.3,seed 23 of the enumerated 8-seed VOLT-REG ensemble (max over the enumerated seed set) [alt2000m_45C]
V2_on_VOLT-REG,climb_10km_6pct,1.7204,0.0000,847.1,616.8,2.6469,147.88,132.00,148.70,6,3.2582,555.6,150.3,seed 5 of the enumerated 8-seed VOLT-REG+CLIMB ensemble (max over the enumerated seed set) [climb_10km_6pct]
V2_on_VOLT-SUB,nominal,0.0000,0.3499,0.0,0.0,0.0000,84.70,132.00,148.70,2,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [nominal]
V2_on_VOLT-SUB,payload_p20,0.0000,0.3498,0.0,0.0,0.0000,84.70,132.00,148.70,2,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [payload_p20]
V2_on_VOLT-SUB,payload_m20,0.0000,0.3499,0.0,0.0,0.0000,84.70,132.00,148.70,2,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [payload_m20]
V2_on_VOLT-SUB,cold_-10C,0.0000,0.3498,0.0,0.0,0.0000,84.70,132.00,148.70,2,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [cold_-10C]
V2_on_VOLT-SUB,alt2000m_45C,0.0000,0.3499,0.0,0.0,0.0000,84.70,122.92,138.47,2,0.0000,0.0,433.8,seed 11 of the enumerated 8-seed VOLT-SUB ensemble (max over the enumerated seed set) [alt2000m_45C]
