vehicle,duty,case,seed,ruler_kWh_per_km,cand_kWh_per_km,ruler_kWh_per_payload_tkm,cand_kWh_per_payload_tkm,margin_per_km_pct,margin_per_payload_pct
V1,VOLT-SUB,nominal,11,1.89773145,1.41394429,0.65439016,0.52136589,25.492920,20.327975
V1,VOLT-SUB,nominal,3,1.89799988,1.40188054,0.65448272,0.51691760,26.139061,21.018907
V1,VOLT-SUB,nominal,4,1.89607156,1.41650144,0.65381778,0.52230879,25.292828,20.114012
V1,VOLT-SUB,nominal,5,1.90084612,1.40830724,0.65546418,0.51928733,25.911560,20.775636
V1,VOLT-SUB,nominal,6,1.89147273,1.39876442,0.65223198,0.51576859,26.048925,20.922523
V1,VOLT-SUB,nominal,7,1.89068561,1.41105189,0.65196056,0.52029937,25.368243,20.194656
V1,VOLT-SUB,nominal,8,1.89815247,1.40004824,0.65453534,0.51624198,26.241529,21.128479
V1,VOLT-SUB,nominal,9,1.89109926,1.39913043,0.65210319,0.51590355,26.014966,20.886210
V1,VOLT-SUB,payload_p20,11,1.97823520,1.52156207,0.56845839,0.43723048,23.084875,23.084875
V1,VOLT-SUB,payload_p20,3,1.97842964,1.50543786,0.56851427,0.43259709,23.907435,23.907435
V1,VOLT-SUB,payload_p20,4,1.97686254,1.51597657,0.56806395,0.43562545,23.314012,23.314012
V1,VOLT-SUB,payload_p20,5,1.98143633,1.52893375,0.56937826,0.43934878,22.837100,22.837100
V1,VOLT-SUB,payload_p20,6,1.97225602,1.50316064,0.56674023,0.43194271,23.784710,23.784710
V1,VOLT-SUB,payload_p20,7,1.97108660,1.51631192,0.56640419,0.43572182,23.072283,23.072283
V1,VOLT-SUB,payload_p20,8,1.97966893,1.50974215,0.56887038,0.43383395,23.737645,23.737645
V1,VOLT-SUB,payload_p20,9,1.97093327,1.51044815,0.56636013,0.43403682,23.363811,23.363811
V1,VOLT-SUB,payload_m20,11,1.81792475,1.36196295,0.78358826,0.58705300,25.081445,25.081445
V1,VOLT-SUB,payload_m20,3,1.81794641,1.35287753,0.78359759,0.58313687,25.582101,25.582101
V1,VOLT-SUB,payload_m20,4,1.81552586,1.36788951,0.78255425,0.58960755,24.656016,24.656016
V1,VOLT-SUB,payload_m20,5,1.82061926,1.35754817,0.78474968,0.58515007,25.434812,25.434812
V1,VOLT-SUB,payload_m20,6,1.81148332,1.34863086,0.78081178,0.58130641,25.551020,25.551020
V1,VOLT-SUB,payload_m20,7,1.81070837,1.35269927,0.78047775,0.58306003,25.294471,25.294471
V1,VOLT-SUB,payload_m20,8,1.81743846,1.35194036,0.78337865,0.58273291,25.612867,25.612867
V1,VOLT-SUB,payload_m20,9,1.81152571,1.35071354,0.78083005,0.58220411,25.437794,25.437794
V1,VOLT-SUB,cold_-10C,11,1.92743420,1.45424970,0.66463248,0.53622777,24.549969,19.319657
V1,VOLT-SUB,cold_-10C,3,1.92760652,1.44094022,0.66469190,0.53132014,25.247180,20.065200
V1,VOLT-SUB,cold_-10C,4,1.92585391,1.45658051,0.66408756,0.53708721,24.367030,19.124037
V1,VOLT-SUB,cold_-10C,5,1.93059830,1.44819347,0.66572355,0.53399464,24.987323,19.787329
V1,VOLT-SUB,cold_-10C,6,1.92132100,1.44048613,0.66252448,0.53115270,25.026265,19.828970
V1,VOLT-SUB,cold_-10C,7,1.92043727,1.45115145,0.66221975,0.53508534,24.436405,19.198220
V1,VOLT-SUB,cold_-10C,8,1.92774688,1.44519558,0.66474030,0.53288923,25.031881,19.834976
V1,VOLT-SUB,cold_-10C,9,1.92045228,1.43890080,0.66222492,0.53056814,25.074900,19.880977
V1,VOLT-SUB,alt2000m_45C,11,1.82881572,1.32578937,0.63062611,0.48886039,27.505579,22.480155
V1,VOLT-SUB,alt2000m_45C,3,1.82904252,1.31479183,0.63070432,0.48480525,28.115841,23.132721
V1,VOLT-SUB,alt2000m_45C,4,1.82755104,1.32843484,0.63019001,0.48983585,27.310657,22.271720
V1,VOLT-SUB,alt2000m_45C,5,1.83215211,1.32027291,0.63177659,0.48682629,27.938684,22.943283
V1,VOLT-SUB,alt2000m_45C,6,1.82288360,1.31025713,0.62858055,0.48313316,28.121734,23.139022
V1,VOLT-SUB,alt2000m_45C,7,1.82157932,1.31636708,0.62813080,0.48538609,27.734847,22.725316
V1,VOLT-SUB,alt2000m_45C,8,1.82985868,1.31576652,0.63098575,0.48516465,28.094637,23.110047
V1,VOLT-SUB,alt2000m_45C,9,1.82281256,1.31028547,0.62855605,0.48314361,28.117377,23.134364
V2,VOLT-REG,nominal,23,1.87448111,1.70100843,0.64637279,0.69118587,9.254437,-6.933008
V2,VOLT-REG,nominal,3,1.88661612,1.71874446,0.65055728,0.69839271,8.898029,-7.352992
V2,VOLT-REG,nominal,4,1.88361970,1.71473534,0.64952404,0.69676365,8.965948,-7.272959
V2,VOLT-REG,nominal,5,1.88682784,1.72809922,0.65063029,0.70219391,8.412459,-7.925180
V2,VOLT-REG,nominal,6,1.87903147,1.71638349,0.64794189,0.69743336,8.655948,-7.638258
