json_path,format,rendered
advance_kill/verdicts/V1_on_VOLT-SUB/nominal_margin_pct_min,+.2f,+20.11
advance_kill/verdicts/V2_on_VOLT-REG/nominal_margin_pct_min,+.2f,-7.93
results/V2_on_VOLT-REG/nominal/margin_pct_per_km_paired/min,+.2f,+8.41
one_factor/rows/V2_on_VOLT-REG/mass_payload_denominator/cost_pp,.2f,16.19
advance_kill/verdicts/V1_on_VOLT-SUB/nominal_margin_pct_min,+.2f,+20.11
advance_kill/verdicts/V1_on_VOLT-SUB/worst_corner_margin_pct,+.2f,+19.12
interface_ws11/verdict_robustness/rows/V1_on_VOLT-SUB/pessimistic_min,+.2f,+37.78
cold_corner_both_pending_items/rows/V1_on_VOLT-SUB/margin_pct_per_payload_tkm_paired/min,+.2f,+3.66
advance_kill/verdicts/V2_on_VOLT-REG/nominal_margin_pct_min,+.2f,-7.93
advance_kill/verdicts/V2_on_VOLT-REG/worst_corner_margin_pct,+.2f,-9.98
interface_ws11/verdict_robustness/rows/V2_on_VOLT-REG/pessimistic_min,+.2f,+0.13
interface_ws11/verdict_robustness/rows/V2_on_VOLT-REG/pessimistic_median,+.2f,+0.59
ruler_fuel_flip_points/cases/V2_on_VOLT-REG/_verdict_reading/pct_ruler_fuel_error_to_draw,+.2f,+6.93
mass_ledger/sourced_specification/document,raw,"2023 ISUZU N-SERIES NPR-HD spec sheet (14,500 lbs. GVWR, Class 4)"
mass_ledger/sourced_specification/url,raw,https://www.isuzucv.com/pdfs/npr-hd_diesel_specs.pdf
mass_ledger/sourced_specification/gvwr_lb,",.0f","14,500"
mass_ledger/gvw_kg,",.0f","6,600"
mass_ledger/sourced_specification/engine,raw,Isuzu 4HK1-TC turbocharged intercooled diesel
mass_ledger/sourced_specification/displacement_l,raw,5.2
input_vintages/ruler_engine_map/name,raw,4HK1-TC-ref-W
input_vintages/ruler_engine_map/island_bsfc_g_per_kWh,.3f,205.198
mass_ledger/sourced_specification/transmission,raw,Aisin A465id 6-speed auto with double overdrive and lock-up 2nd-6th gears
mass_ledger/sourced_transmission/url,raw,https://www.transmissionrepaircostguide.com/as68rc/
mass_ledger/sourced_specification/rear_axle_ratio,raw,4.555
mass_ledger/sourced_specification/tires,raw,215/85R16E (10-pr)
mass_ledger/sourced_specification/alternator_A,.0f,140
input_vintages/ruler_engine_map/label,raw,"baseline reference curve 700 Nm @ 1,600 rpm / ~153 kW"
mass_ledger/sourced_specification/rated_power_hp_at_rpm/0,.0f,215
mass_ledger/sourced_specification/rated_power_hp_at_rpm/1,.0f,2500
mass_ledger/sourced_specification/rated_torque_lbft_at_rpm/0,.0f,452
mass_ledger/sourced_specification/rated_torque_lbft_at_rpm/1,.0f,1850
declared_choice_brackets/ruler_engine_curve/curves/sourced_2023_spec_sheet_plateau/peak_torque_Nm,.1f,612.8
declared_choice_brackets/ruler_engine_curve/curves/sourced_2023_spec_sheet_plateau/peak_power_kW,.1f,160.3
declared_choice_brackets/ruler_engine_curve/worst_margin_shift_pp,.3f,0.230
ruler_calibration/anchor/name,raw,"Fuelly - Isuzu NPR-HD, all model years (owner fuel logs)"
ruler_calibration/anchor/url,raw,https://www.fuelly.com/truck/isuzu/npr-hd/all
ruler_calibration/anchor/retrieved,raw,2026-08-31
ruler_calibration/anchor/page_statement,raw,21 Isuzu NPR-HDs have provided 180 thousand miles of real world fuel economy & MPG data.
ruler_calibration/anchor_distance_weighted_all_years/mpg,.3f,8.378
ruler_calibration/anchor_distance_weighted_all_years/l_per_100km,.2f,28.07
ruler_calibration/anchor_distance_weighted_all_years/miles,",.0f","179,702"
ruler_calibration/anchor_distance_weighted_all_years/fuel_ups,",.0f","1,044"
ruler_calibration/anchor_distance_weighted_4HK1_era/mpg,.3f,7.347
ruler_calibration/anchor_distance_weighted_4HK1_era/l_per_100km,.2f,32.01
ruler_calibration/anchor_set_r14/members/all_model_years/residual_vs_model_headline_pct,.2f,-31.69
ruler_calibration/anchor_set_r14/members/fourhk1_era/residual_vs_model_headline_pct,.2f,-40.10
ruler_calibration/corridor_check/ruler_VOLT_SUB_headline_median,.2f,19.18
ruler_calibration/corridor_check/ruler_VOLT_SUB_headline_min,.2f,19.11
ruler_calibration/corridor_check/ruler_VOLT_SUB_headline_max,.2f,19.22
ruler_calibration/corridor_check/residual_vs_anchor_pct_headline,.2f,-31.69
ruler_calibration/corridor_check/residual_vs_era_anchor_pct_headline,.2f,-40.10
ruler_calibration/corridor_check/ruler_VOLT_SUB_all_modelling_pessimistic_median,.2f,24.62
ruler_calibration/corridor_check/residual_vs_anchor_pct_all_modelling_pessimistic,.2f,-12.32
ruler_calibration/corridor_check/residual_vs_era_anchor_pct_all_modelling_pessimistic,.2f,-23.11
ruler_calibration/brackets/headline_ruler_favourable/VOLT-SUB/l_per_100km/median,.2f,19.18
ruler_calibration/brackets/headline_ruler_favourable/VOLT-REG/l_per_100km/median,.2f,19.03
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/headline_ruler_favourable/min,+.2f,+20.11
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/headline_ruler_favourable/min,+.2f,-7.93
ruler_calibration/brackets/gear_mesh_pessimistic/VOLT-SUB/l_per_100km/median,.2f,19.43
ruler_calibration/brackets/gear_mesh_pessimistic/VOLT-REG/l_per_100km/median,.2f,19.35
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/gear_mesh_pessimistic/min,+.2f,+21.14
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/gear_mesh_pessimistic/min,+.2f,-6.07
ruler_calibration/brackets/at_pump_pessimistic/VOLT-SUB/l_per_100km/median,.2f,19.45
ruler_calibration/brackets/at_pump_pessimistic/VOLT-REG/l_per_100km/median,.2f,19.24
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/at_pump_pessimistic/min,+.2f,+21.22
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/at_pump_pessimistic/min,+.2f,-6.78
ruler_calibration/brackets/final_drive_pessimistic/VOLT-SUB/l_per_100km/median,.2f,19.43
ruler_calibration/brackets/final_drive_pessimistic/VOLT-REG/l_per_100km/median,.2f,19.36
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/final_drive_pessimistic/min,+.2f,+21.15
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/final_drive_pessimistic/min,+.2f,-6.06
ruler_calibration/brackets/lockup_slip_pessimistic/VOLT-SUB/l_per_100km/median,.2f,19.36
ruler_calibration/brackets/lockup_slip_pessimistic/VOLT-REG/l_per_100km/median,.2f,19.26
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/lockup_slip_pessimistic/min,+.2f,+20.86
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/lockup_slip_pessimistic/min,+.2f,-6.58
ruler_calibration/brackets/physical_accessories/VOLT-SUB/l_per_100km/median,.2f,19.83
ruler_calibration/brackets/physical_accessories/VOLT-REG/l_per_100km/median,.2f,19.21
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/physical_accessories/min,+.2f,+22.76
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/physical_accessories/min,+.2f,-6.91
ruler_calibration/brackets/converter_stalled_at_idle/VOLT-SUB/l_per_100km/median,.2f,22.50
ruler_calibration/brackets/converter_stalled_at_idle/VOLT-REG/l_per_100km/median,.2f,19.21
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/converter_stalled_at_idle/min,+.2f,+31.93
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/converter_stalled_at_idle/min,+.2f,-6.96
ruler_calibration/brackets/sequential_shift_schedule/VOLT-SUB/l_per_100km/median,.2f,19.19
ruler_calibration/brackets/sequential_shift_schedule/VOLT-REG/l_per_100km/median,.2f,19.03
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/sequential_shift_schedule/min,+.2f,+20.16
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/sequential_shift_schedule/min,+.2f,-7.91
ruler_calibration/brackets/rotating_inertia_charged/VOLT-SUB/l_per_100km/median,.2f,19.51
ruler_calibration/brackets/rotating_inertia_charged/VOLT-REG/l_per_100km/median,.2f,19.07
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/rotating_inertia_charged/min,+.2f,+21.50
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/rotating_inertia_charged/min,+.2f,-7.72
ruler_calibration/brackets/four_driveline_levers_pessimistic/VOLT-SUB/l_per_100km/median,.2f,20.14
ruler_calibration/brackets/four_driveline_levers_pessimistic/VOLT-REG/l_per_100km/median,.2f,20.14
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/four_driveline_levers_pessimistic/min,+.2f,+23.96
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/four_driveline_levers_pessimistic/min,+.2f,-1.86
ruler_calibration/brackets/four_driveline_plus_accessories_plus_idle_in_drive/VOLT-SUB/l_per_100km/median,.2f,24.26
ruler_calibration/brackets/four_driveline_plus_accessories_plus_idle_in_drive/VOLT-REG/l_per_100km/median,.2f,20.50
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/four_driveline_plus_accessories_plus_idle_in_drive/min,+.2f,+36.87
