run,case,target_margin_pct,multiplier_min,multiplier_median,multiplier_max,least_error_multiplier,least_error_pct,implied_ruler_l_per_100km_min,implied_ruler_l_per_100km_max,governing_case
V1_on_VOLT-SUB,nominal,0.0,0.788715,0.791691,0.798860,0.798860,-20.1140,15.1213,15.3130,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,nominal,3.0,0.813108,0.816176,0.823567,0.823567,-17.6433,15.5889,15.7866,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,payload_p20,0.0,0.760926,0.766611,0.771629,0.771629,-22.8371,15.1964,15.4570,seed 5 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,payload_p20,3.0,0.784459,0.790321,0.795494,0.795494,-20.4506,15.6664,15.9350,seed 5 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,payload_m20,0.0,0.743871,0.745637,0.753440,0.753440,-24.6560,13.6342,13.8289,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,payload_m20,3.0,0.766878,0.768698,0.776742,0.776742,-22.3258,14.0558,14.2566,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,cold_-10C,0.0,0.799348,0.801919,0.808760,0.808760,-19.1240,15.5552,15.7463,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,cold_-10C,3.0,0.824070,0.826720,0.833773,0.833773,-16.6227,16.0363,16.2333,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,alt2000m_45C,0.0,0.768610,0.769733,0.777283,0.777283,-22.2717,14.1645,14.3610,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V1_on_VOLT-SUB,alt2000m_45C,3.0,0.792381,0.793540,0.801322,0.801322,-19.8678,14.6025,14.8051,seed 4 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,nominal,0.0,1.069330,1.072747,1.079252,1.069330,+6.9330,20.2641,20.5869,seed 23 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,nominal,3.0,1.102402,1.105925,1.112631,1.102402,+10.2402,20.8909,21.2236,seed 23 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,payload_p20,0.0,0.934460,0.936150,0.937285,0.937285,-6.2715,18.1599,18.3337,seed 3 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,payload_p20,3.0,0.963361,0.965103,0.966274,0.966274,-3.3726,18.7216,18.9007,seed 3 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,payload_m20,0.0,0.924239,0.927290,0.927882,0.927882,-7.2118,17.0830,17.2519,seed 3 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,payload_m20,3.0,0.952824,0.955969,0.956580,0.956580,-4.3420,17.6113,17.7855,seed 3 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,cold_-10C,0.0,1.081683,1.085770,1.087739,1.081683,+8.1683,21.7390,22.0078,seed 23 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,cold_-10C,3.0,1.115137,1.119350,1.121380,1.115137,+11.5137,22.4113,22.6884,seed 23 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,alt2000m_45C,0.0,1.032049,1.034159,1.035214,1.032049,+3.2049,16.8350,16.9890,seed 23 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,alt2000m_45C,3.0,1.063968,1.066143,1.067231,1.063968,+6.3968,17.3556,17.5145,seed 23 of the enumerated 8-seed VOLT-REG ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,climb_10km_6pct,0.0,1.092670,1.095474,1.099788,1.092670,+9.2670,23.2500,23.5499,seed 23 of the enumerated 8-seed VOLT-REG+CLIMB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-REG,climb_10km_6pct,3.0,1.126464,1.129354,1.133802,1.126464,+12.6464,23.9691,24.2782,seed 23 of the enumerated 8-seed VOLT-REG+CLIMB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,nominal,0.0,0.777131,0.779283,0.782876,0.782876,-21.7124,14.8574,15.0084,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,nominal,3.0,0.801166,0.803384,0.807088,0.807088,-19.2912,15.3169,15.4726,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,payload_p20,0.0,0.690842,0.694416,0.700023,0.700023,-29.9977,13.7653,13.9963,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,payload_p20,3.0,0.712208,0.715892,0.721673,0.721673,-27.8327,14.1910,14.4292,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,payload_m20,0.0,0.680148,0.681875,0.684946,0.684946,-31.5054,12.4561,12.5699,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,payload_m20,3.0,0.701183,0.702963,0.706130,0.706130,-29.3870,12.8414,12.9587,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,cold_-10C,0.0,0.785215,0.787917,0.791756,0.791756,-20.8244,15.2450,15.4217,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,cold_-10C,3.0,0.809500,0.812286,0.816243,0.816243,-18.3757,15.7165,15.8987,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,alt2000m_45C,0.0,0.756674,0.759459,0.762305,0.762305,-23.7695,13.9440,14.0941,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
V2_on_VOLT-SUB,alt2000m_45C,3.0,0.780076,0.782948,0.785881,0.785881,-21.4119,14.3752,14.5300,seed 7 of the enumerated 8-seed VOLT-SUB ensemble (multiplier closest to 1.0 over the enumerated seed set)
