# Project Volt WS11 - R34 10 Hz trace
# V1 pure series (mode b) / VOLT-SUB / nominal / seed 11
# mass 6600 kg, payload 2712 kg; delivered pack 11.083608 kWh usable; R16 acceptance 130.752 kW bus; WS2 r4 662 V map chain; all electrical quantities bus-side (R12)
t_s,v_kmh,grade_pct,P_wheel_kW,P_bus_load_kW,P_gen_bus_kW,P_batt_bus_kW,SOC,P_shaft_eng_kW,fuel_g_per_s,engine_on
0.0000,0.2384,0.0000,0.3396,4.3635,0.0000,-4.3635,0.5500,0.0000,0.0000,0.0000
0.1000,0.4768,0.0000,0.7796,5.2335,0.0000,-5.2335,0.5500,0.0000,0.0000,0.0000
0.2000,0.7947,0.0000,1.6338,6.9901,0.0000,-6.9901,0.5500,0.0000,0.0000,0.0000
0.3000,1.1920,0.0000,2.7016,8.5463,0.0000,-8.5463,0.5499,0.0000,0.0000,0.0000
0.4000,1.5894,0.0000,3.6022,9.4845,0.0000,-9.4845,0.5499,0.0000,0.0000,0.0000
0.5000,1.9867,0.0000,4.5028,10.4329,0.0000,-10.4329,0.5499,0.0000,0.0000,0.0000
0.6000,2.3840,0.0000,5.4034,11.3813,0.0000,-11.3813,0.5499,0.0000,0.0000,0.0000
0.7000,2.7813,0.0000,6.3041,12.3297,0.0000,-12.3297,0.5498,0.0000,0.0000,0.0000
0.8000,3.1787,0.0000,7.2047,13.2787,0.0000,-13.2787,0.5498,0.0000,0.0000,0.0000
0.9000,3.5759,0.0000,8.1053,14.2276,0.0000,-14.2276,0.5498,0.0000,0.0000,0.0000
1.0000,3.9732,0.0000,9.0058,15.1764,0.0000,-15.1764,0.5497,0.0000,0.0000,0.0000
1.1000,4.3704,0.0000,9.9062,16.1252,0.0000,-16.1252,0.5497,0.0000,0.0000,0.0000
1.2000,4.7676,0.0000,10.8064,17.0741,0.0000,-17.0741,0.5496,0.0000,0.0000,0.0000
1.3000,5.1648,0.0000,11.7063,18.0228,0.0000,-18.0228,0.5496,0.0000,0.0000,0.0000
1.4000,5.5619,0.0000,12.6060,18.9710,0.0000,-18.9710,0.5495,0.0000,0.0000,0.0000
1.5000,5.9589,0.0000,13.5053,19.9193,0.0000,-19.9193,0.5495,0.0000,0.0000,0.0000
1.6000,6.3559,0.0000,14.4041,20.8672,0.0000,-20.8672,0.5494,0.0000,0.0000,0.0000
1.7000,6.7527,0.0000,15.3024,21.8143,0.0000,-21.8143,0.5494,0.0000,0.0000,0.0000
1.8000,7.1495,0.0000,16.2001,22.7610,0.0000,-22.7610,0.5493,0.0000,0.0000,0.0000
1.9000,7.5462,0.0000,17.0971,23.7070,0.0000,-23.7070,0.5492,0.0000,0.0000,0.0000
2.0000,7.9428,0.0000,17.9932,24.6521,0.0000,-24.6521,0.5492,0.0000,0.0000,0.0000
2.1000,8.3393,0.0000,18.8884,25.5961,0.0000,-25.5961,0.5491,0.0000,0.0000,0.0000
2.2000,8.7356,0.0000,19.7825,26.5394,0.0000,-26.5394,0.5491,0.0000,0.0000,0.0000
2.3000,9.1317,0.0000,20.6755,27.4813,0.0000,-27.4813,0.5490,0.0000,0.0000,0.0000
2.4000,9.5277,0.0000,21.5671,28.4217,0.0000,-28.4217,0.5489,0.0000,0.0000,0.0000
