# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-REG / nominal / seed 23
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
0.0000,0.2280,0.2524,0.3226,0.0000,0.0000,700.0000,27.2837,2.0000,0.2778
0.1000,0.4560,0.2524,0.7369,0.0000,0.0000,700.0000,27.2837,2.0000,0.2778
0.2000,0.7600,0.2524,1.5341,1.0000,0.0000,739.7013,125.8863,9.7513,0.7015
0.3000,1.1400,0.2524,2.5306,1.0000,0.0000,790.0222,137.4241,11.3692,0.8018
0.4000,1.5200,0.2524,3.3741,1.0000,0.0000,806.1786,141.3559,11.9337,0.8364
0.5000,1.8999,0.2524,4.2177,1.0000,0.0000,822.6380,145.4731,12.5320,0.8729
0.6000,2.2799,0.2524,5.0613,1.0000,0.0000,838.2131,149.8589,13.1542,0.9103
0.7000,2.6599,0.2525,5.9048,1.0000,0.0000,853.5071,154.4997,13.8090,0.9494
0.8000,3.0398,0.2525,6.7484,1.0000,0.0000,868.1775,159.4453,14.4960,0.9899
0.9000,3.4197,0.2525,7.5918,1.0000,0.0000,882.6051,164.6947,15.2221,1.0323
1.0000,3.7996,0.2525,8.4351,1.0000,0.0000,897.0244,170.0654,15.9753,1.0760
1.1000,4.1795,0.2525,9.2782,1.0000,0.0000,911.1361,175.4714,16.7424,1.1204
1.2000,4.5593,0.2525,10.1211,1.0000,0.0000,925.8306,181.0810,17.5563,1.1674
1.3000,4.9391,0.2525,10.9637,1.0000,0.0000,944.8622,185.9349,18.3975,1.2176
1.4000,5.3188,0.2526,11.8058,1.0000,0.0000,964.0085,190.9296,19.2745,1.2696
1.5000,5.6984,0.2526,12.6476,1.0000,0.0000,985.4317,195.4759,20.1720,1.3237
1.6000,6.0780,0.2526,13.4887,1.0000,0.0000,1014.0360,198.1130,21.0375,1.3792
1.7000,6.4574,0.2526,14.3292,1.0000,0.0000,1042.6830,200.7072,21.9151,1.4354
1.8000,6.8368,0.2527,15.1690,1.0000,0.0000,1071.3708,203.2567,22.8041,1.4923
1.9000,7.2160,0.2527,16.0078,1.0000,0.0000,1100.4811,205.6571,23.7004,1.5501
2.0000,7.5951,0.2527,16.8457,1.0000,0.0000,1136.6723,206.1430,24.5376,1.6082
2.1000,7.9741,0.2528,17.6824,1.0000,0.0000,1173.1283,206.5848,25.3789,1.6671
2.2000,8.3529,0.2528,18.5179,1.0000,0.0000,1209.8353,206.9846,26.2236,1.7264
2.3000,8.7316,0.2528,19.3520,1.0000,0.0000,1246.7802,207.3448,27.0715,1.7860
2.4000,9.1100,0.2529,20.1845,1.0000,0.0000,1283.9497,207.6672,27.9219,1.8462
2.5000,9.4882,0.2529,21.0153,1.0000,0.0000,1321.3311,207.9538,28.7745,1.9071
2.6000,9.8663,0.2529,21.8442,1.0000,0.0000,1358.9118,208.2063,29.6288,1.9687
2.7000,10.2440,0.2530,22.6711,1.0000,0.0000,1396.6794,208.4264,30.4844,2.0310
2.8000,10.6215,0.2530,23.4958,1.0000,0.0000,1436.2345,208.2813,31.3259,2.0933
2.9000,10.9987,0.2531,24.3181,1.0000,0.0000,1477.5307,207.8152,32.1545,2.1563
3.0000,11.3757,0.2531,25.1377,1.0000,0.0000,1519.0022,207.3597,32.9846,2.2202
3.1000,11.7523,0.2531,25.9546,1.0000,0.0000,1560.6322,206.9132,33.8156,2.2850
3.2000,12.1285,0.2532,26.7685,1.0000,0.0000,1602.4049,206.4744,34.6471,2.3506
3.3000,12.5044,0.2532,27.5792,1.0000,0.0000,1644.3054,206.0418,35.4786,2.4167
3.4000,12.8799,0.2533,28.3864,1.0000,0.0000,1686.3198,205.6142,36.3096,2.4836
3.5000,13.2549,0.2533,29.1901,1.0000,0.0000,1728.4348,205.1904,37.1397,2.5514
3.6000,13.6296,0.2534,29.9899,1.0000,0.0000,1770.6379,204.7692,37.9685,2.6201
3.7000,14.0037,0.2534,30.7855,1.0000,0.0000,1812.9172,204.3496,38.7954,2.6895
3.8000,14.3774,0.2535,31.5769,1.0000,0.0000,1855.2616,203.9306,39.6202,2.7595
3.9000,14.7505,0.2536,32.3637,1.0000,0.0000,1897.6602,203.5114,40.4423,2.8303
4.0000,15.1231,0.2536,33.1457,1.0000,0.0000,1940.7244,203.0877,41.2740,2.9031
4.1000,15.4952,0.2537,33.9226,1.0000,0.0000,1984.0123,202.6615,42.1060,2.9771
4.2000,15.8666,0.2537,34.6942,1.0000,0.0000,2027.3125,202.2327,42.9339,3.0517
4.3000,16.2374,0.2538,35.4603,1.0000,0.0000,2070.6165,201.8008,43.7574,3.1270
4.4000,16.6075,0.2538,36.2206,2.0000,0.0000,1415.3759,346.9665,51.4266,3.0994
4.5000,16.9770,0.2539,36.9747,2.0000,0.0000,1429.4944,348.6019,52.1844,3.1449
4.6000,17.3457,0.2540,37.7226,2.0000,0.0000,1443.5698,350.1958,52.9392,3.1903
4.7000,17.7137,0.2540,38.4638,2.0000,0.0000,1457.6004,351.7476,53.6906,3.2355
4.8000,18.0809,0.2541,39.1982,2.0000,0.0000,1471.5845,353.2566,54.4382,3.2807
4.9000,18.4473,0.2542,39.9254,2.0000,0.0000,1485.5204,354.7222,55.1818,3.3256
5.0000,18.8129,0.2542,40.6452,2.0000,0.0000,1500.8451,355.6348,55.8945,3.3697
5.1000,19.1776,0.2543,41.3573,2.0000,0.0000,1518.5654,355.6496,56.5567,3.4123
5.2000,19.5413,0.2544,42.0614,2.0000,0.0000,1536.2785,355.6211,57.2119,3.4548
