# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-SUB / nominal / seed 11
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
0.0000,0.2384,0.0000,0.3396,0.0000,0.0000,700.0000,27.2837,2.0000,0.2778
0.1000,0.4768,0.0000,0.7796,0.0000,0.0000,700.0000,27.2837,2.0000,0.2778
0.2000,0.7947,0.0000,1.6338,1.0000,0.0000,747.6565,127.6379,9.9933,0.7166
0.3000,1.1920,0.0000,2.7016,1.0000,0.0000,799.9508,139.8274,11.7134,0.8229
0.4000,1.5894,0.0000,3.6022,1.0000,0.0000,816.8847,144.0212,12.3201,0.8600
0.5000,1.9867,0.0000,4.5028,1.0000,0.0000,834.1468,148.4181,12.9646,0.8992
0.6000,2.3840,0.0000,5.4034,1.0000,0.0000,850.1564,153.1305,13.6329,0.9392
0.7000,2.7813,0.0000,6.3041,1.0000,0.0000,866.2444,158.1003,14.3417,0.9813
0.8000,3.1787,0.0000,7.2047,1.0000,0.0000,881.2584,163.4415,15.0832,1.0247
0.9000,3.5759,0.0000,8.1053,1.0000,0.0000,896.5003,169.0810,15.8735,1.0707
1.0000,3.9732,0.0000,9.0058,1.0000,0.0000,911.3260,174.7391,16.6760,1.1171
1.1000,4.3704,0.0000,9.9062,1.0000,0.0000,926.2544,180.5575,17.5136,1.1654
1.2000,4.7676,0.0000,10.8064,1.0000,0.0000,943.5637,186.1749,18.3959,1.2170
1.3000,5.1648,0.0000,11.7063,1.0000,0.0000,963.5316,191.3865,19.3110,1.2713
1.4000,5.5619,0.0000,12.6060,1.0000,0.0000,983.6252,196.7529,20.2665,1.3278
1.5000,5.9589,0.0000,13.5053,1.0000,0.0000,1010.9152,200.2913,21.2034,1.3863
1.6000,6.3559,0.0000,14.4041,1.0000,0.0000,1040.8737,203.0793,22.1356,1.4457
1.7000,6.7527,0.0000,15.3024,1.0000,0.0000,1070.8812,205.8197,23.0811,1.5061
1.8000,7.1495,0.0000,16.2001,1.0000,0.0000,1100.9362,208.5113,24.0392,1.5674
1.9000,7.5462,0.0000,17.0971,1.0000,0.0000,1136.3594,209.7188,24.9564,1.6293
2.0000,7.9428,0.0000,17.9932,1.0000,0.0000,1174.4335,210.2325,25.8557,1.6918
2.1000,8.3393,0.0000,18.8884,1.0000,0.0000,1212.7895,210.7003,26.7596,1.7549
2.2000,8.7356,0.0000,19.7825,1.0000,0.0000,1251.4128,211.1251,27.6674,1.8183
2.3000,9.1317,0.0000,20.6755,1.0000,0.0000,1290.2891,211.5091,28.5789,1.8825
2.4000,9.5277,0.0000,21.5671,1.0000,0.0000,1329.4045,211.8549,29.4934,1.9474
2.5000,9.9236,0.0000,22.4572,1.0000,0.0000,1368.7455,212.1645,30.4105,2.0132
2.6000,10.3192,0.0000,23.3458,1.0000,0.0000,1408.2988,212.4399,31.3299,2.0796
2.7000,10.7146,0.0000,24.2326,1.0000,0.0000,1449.4709,212.3851,32.2376,2.1462
2.8000,11.1098,0.0000,25.1175,1.0000,0.0000,1492.7440,211.9351,33.1296,2.2137
2.9000,11.5047,0.0000,26.0003,1.0000,0.0000,1536.2175,211.4983,34.0242,2.2822
3.0000,11.8994,0.0000,26.8808,1.0000,0.0000,1579.8734,211.0732,34.9208,2.3518
3.1000,12.2937,0.0000,27.7589,1.0000,0.0000,1623.6946,210.6583,35.8188,2.4221
3.2000,12.6878,0.0000,28.6344,1.0000,0.0000,1667.6653,210.2520,36.7179,2.4933
3.3000,13.0816,0.0000,29.5072,1.0000,0.0000,1711.7707,209.8532,37.6175,2.5655
3.4000,13.4750,0.0000,30.3769,1.0000,0.0000,1755.9968,209.4604,38.5172,2.6387
3.5000,13.8680,0.0000,31.2434,1.0000,0.0000,1800.3307,209.0727,39.4165,2.7129
3.6000,14.2607,0.0000,32.1066,1.0000,0.0000,1844.7598,208.6888,40.3151,2.7878
3.7000,14.6529,0.0000,32.9661,1.0000,0.0000,1889.2726,208.3077,41.2125,2.8636
3.8000,15.0447,0.0000,33.8219,1.0000,0.0000,1933.9009,207.9284,42.1092,2.9407
3.9000,15.4361,0.0000,34.6736,1.0000,0.0000,1979.4050,207.5460,43.0207,3.0202
4.0000,15.8270,0.0000,35.5210,1.0000,0.0000,2024.9477,207.1643,43.9296,3.1006
4.1000,16.2174,0.0000,36.3640,1.0000,0.0000,2070.5199,206.7822,44.8354,3.1819
4.2000,16.6072,0.0000,37.2023,1.0000,0.0000,2116.1131,206.3991,45.7378,3.2642
4.3000,16.9966,0.0000,38.0356,2.0000,0.0000,1440.6027,356.2909,53.7499,3.2313
4.4000,17.3853,0.0000,38.8638,2.0000,0.0000,1455.6067,358.1369,54.5911,3.2817
4.5000,17.7734,0.0000,39.6865,2.0000,0.0000,1470.5771,359.9438,55.4308,3.3320
4.6000,18.1609,0.0000,40.5035,2.0000,0.0000,1485.5126,361.7111,56.2687,3.3823
4.7000,18.5478,0.0000,41.3147,2.0000,0.0000,1500.4115,363.4382,57.1044,3.4326
4.8000,18.9339,0.0000,42.1196,2.0000,0.0000,1515.2723,365.1245,57.9376,3.4829
4.9000,19.3194,0.0000,42.9182,2.0000,0.0000,1534.0171,365.3685,58.6935,3.5310
5.0000,19.7041,0.0000,43.7101,2.0000,0.0000,1552.8835,365.5312,59.4418,3.5789
5.1000,20.0880,0.0000,44.4950,2.0000,1.0000,1285.7268,379.7397,51.1285,3.0337
5.2000,20.4712,0.0000,45.2728,2.0000,1.0000,1310.2497,378.9012,51.9887,3.0876
5.3000,20.8535,0.0000,46.0431,2.0000,1.0000,1334.7196,378.0505,52.8407,3.1413
5.4000,21.2349,0.0000,46.8058,2.0000,1.0000,1359.1347,377.1867,53.6843,3.1948
5.5000,21.6155,0.0000,47.5604,2.0000,1.0000,1383.4930,376.3090,54.5193,3.2480
5.6000,21.9952,0.0000,48.3069,2.0000,1.0000,1407.7927,375.4165,55.3453,3.3009
5.7000,22.3739,0.0000,49.0448,2.0000,1.0000,1432.0317,374.5086,56.1621,3.3536
5.8000,22.7516,0.0000,49.7741,2.0000,1.0000,1456.2081,373.5845,56.9693,3.4060
5.9000,23.1283,0.0000,50.4943,2.0000,1.0000,1480.3200,372.6436,57.7667,3.4582
6.0000,23.5040,0.0000,51.2053,2.0000,1.0000,1504.3653,371.6854,58.5541,3.5100
6.1000,23.8786,0.0000,51.8599,2.0000,1.0000,1528.3420,370.3912,59.2802,3.5589
6.2000,24.2514,0.0000,52.3764,2.0000,1.0000,1552.2006,368.2428,59.8564,3.6002
6.3000,24.6210,0.0000,52.7202,2.0000,1.0000,1575.8618,365.0695,60.2452,3.6319
6.4000,24.9865,0.0000,52.8906,2.0000,1.0000,1599.2505,360.9274,60.4456,3.6540
6.5000,25.3465,0.0000,52.8871,3.0000,1.0000,1109.1207,515.0327,59.8194,3.4631
6.6000,25.7002,0.0000,52.7604,3.0000,1.0000,1124.5957,506.8716,59.6929,3.4317
6.7000,26.0472,0.0000,52.5976,3.0000,1.0000,1139.7792,498.7318,59.5273,3.4268
6.8000,26.3878,0.0000,52.4348,3.0000,1.0000,1154.6829,490.9243,59.3616,3.4224
6.9000,26.7222,0.0000,52.2722,3.0000,1.0000,1169.3179,483.4264,59.1959,3.4180
7.0000,27.0507,0.0000,52.1097,3.0000,1.0000,1183.6943,476.2173,59.0301,3.4137
7.1000,27.3736,0.0000,51.9473,3.0000,1.0000,1197.8217,469.2781,58.8642,3.4093
7.2000,27.6910,0.0000,51.7849,3.0000,1.0000,1211.7089,462.5919,58.6982,3.4050
7.3000,28.0030,0.0000,51.6227,3.0000,1.0000,1225.3644,456.1430,58.5322,3.4007
7.4000,28.3100,0.0000,51.4605,3.0000,1.0000,1238.7961,449.9172,58.3662,3.3964
7.5000,28.6120,0.0000,51.2985,3.0000,1.0000,1252.0112,443.9016,58.2001,3.3921
7.6000,28.9092,0.0000,51.1366,3.0000,1.0000,1265.0168,438.0840,58.0340,3.3878
7.7000,29.2018,0.0000,50.9748,3.0000,1.0000,1277.8196,432.4536,57.8679,3.3835
