# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: V3307-V1C-W  (Kubota V3307-CR-T class, 55.4 kW rated)
# displacement_l: 3.331, eta_i0: 0.435, fmep_bar(a0,a1,a2): (0.9, 0.32, 0.09), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
900,1.0000,7108.9
900,4.5200,1730.0
900,8.0400,1060.7
900,11.5600,798.7
900,15.0800,658.8
900,18.6000,571.7
900,22.1200,512.2
900,25.6400,469.0
900,29.1600,436.0
900,32.6800,410.1
900,36.2000,389.2
900,39.7200,371.9
900,43.2400,357.3
900,46.7600,344.9
900,50.2800,334.2
900,53.8000,324.8
900,57.3200,316.5
900,60.8400,309.2
900,64.3600,302.6
900,67.8800,296.6
900,71.4000,291.2
900,74.9200,286.3
900,78.4400,281.8
900,81.9600,277.6
900,85.4800,273.7
900,89.0000,270.2
900,92.5200,267.2
900,96.0400,264.6
900,99.5600,262.2
900,103.0800,260.0
900,106.6000,257.9
900,110.1200,255.9
900,113.6400,254.0
900,117.1600,252.3
900,120.6800,250.7
900,124.2000,249.1
900,127.7200,247.7
900,131.2400,246.3
900,134.7600,245.0
900,138.2800,243.8
900,141.8000,242.6
900,145.3200,241.5
900,148.8400,240.4
900,152.3600,239.4
900,155.8800,238.4
900,159.4000,237.5
900,162.9200,236.6
900,166.4400,235.7
900,169.9600,234.9
900,173.4800,235.6
900,177.0000,236.3
900,180.5200,237.0
900,184.0400,237.8
900,187.5600,238.6
900,191.0800,239.5
900,194.6000,240.4
900,198.1200,241.3
918,1.0000,7152.2
918,4.5200,1739.5
918,8.0400,1065.9
918,11.5600,802.3
918,15.0800,661.6
918,18.6000,574.0
918,22.1200,514.1
918,25.6400,470.6
918,29.1600,437.5
918,32.6800,411.4
918,36.2000,390.3
918,39.7200,372.9
918,43.2400,358.3
918,46.7600,345.8
918,50.2800,335.0
918,53.8000,325.6
918,57.3200,317.2
918,60.8400,309.8
918,64.3600,303.2
918,67.8800,297.2
918,71.4000,291.8
918,74.9200,286.9
918,78.4400,282.3
918,81.9600,278.1
918,85.4800,274.3
918,89.0000,270.7
918,92.5200,267.5
918,96.0400,264.9
918,99.5600,262.5
918,103.0800,260.2
918,106.6000,258.1
918,110.1200,256.1
918,113.6400,254.2
918,117.1600,252.5
918,120.6800,250.9
918,124.2000,249.3
918,127.7200,247.8
918,131.2400,246.5
918,134.7600,245.1
918,138.2800,243.9
918,141.8000,242.7
918,145.3200,241.6
918,148.8400,240.5
918,152.3600,239.5
918,155.8800,238.5
918,159.4000,237.6
918,162.9200,236.7
918,166.4400,235.8
918,169.9600,235.0
918,173.4800,234.6
918,177.0000,235.3
918,180.5200,236.0
918,184.0400,236.7
918,187.5600,237.5
918,191.0800,238.3
918,194.6000,239.2
