t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
0.0000,0.2384,0.0000,0.3396,0.0000,0.5500
1.0000,3.9732,0.0000,9.0062,0.0000,0.5497
2.0000,7.9428,0.0000,17.9964,0.0000,0.5492
3.0000,11.8994,0.0000,26.8915,0.0000,0.5484
4.0000,15.8270,0.0000,35.5463,0.0000,0.5474
5.0000,19.7041,0.0000,43.7588,0.0000,0.5462
6.0000,23.5040,0.0000,51.2881,0.0000,0.5447
7.0000,27.0507,0.0000,52.2359,0.0000,0.5431
8.0000,30.0531,0.0000,50.6634,0.0000,0.5416
9.0000,32.6393,0.0000,49.1123,0.0000,0.5401
10.0000,34.9060,0.0000,47.5979,0.0000,0.5387
11.0000,36.9166,0.0000,46.1336,0.0000,0.5373
12.0000,38.7155,0.0000,44.7293,0.0000,0.5360
13.0000,40.3358,0.0000,43.3915,0.0000,0.5347
14.0000,41.8030,0.0000,42.1238,0.0000,0.5335
15.0000,43.1373,0.0000,40.9276,0.0000,0.5322
16.0000,44.3551,0.0000,39.8028,0.0000,0.5310
17.0000,45.4702,0.0000,38.7479,0.0000,0.5299
18.0000,46.5218,0.0000,43.5714,0.0000,0.5287
19.0000,47.7687,0.0000,40.3158,0.0000,0.5274
20.0000,48.5902,0.0000,31.4104,0.0000,0.5264
21.0000,49.1101,0.0000,25.7628,0.0000,0.5255
22.0000,49.4385,0.0000,22.0714,0.0000,0.5248
23.0000,49.6009,0.0000,19.1247,0.0000,0.5242
24.0000,49.6846,0.0000,15.5792,0.0000,0.5237
25.0000,49.7394,0.0000,18.6367,0.0000,0.5231
26.0000,49.8356,0.0000,17.5396,0.0000,0.5226
27.0000,49.8963,0.0000,16.8408,0.0000,0.5220
28.0000,49.9345,0.0000,16.3989,0.0000,0.5215
29.0000,49.9587,0.0000,16.1197,0.0000,0.5210
30.0000,49.9739,0.0000,15.9434,0.0000,0.5205
31.0000,49.9836,0.0000,15.8321,0.0000,0.5199
32.0000,49.9896,0.0000,15.7618,0.0000,0.5194
33.0000,49.9935,0.0000,15.7175,0.0000,0.5189
34.0000,49.9959,0.0000,15.6895,0.0000,0.5184
35.0000,49.9974,0.0000,15.6718,0.0000,0.5179
36.0000,49.9984,0.0000,15.6607,0.0000,0.5174
37.0000,49.9990,0.0000,15.6536,0.0000,0.5169
38.0000,49.9993,0.0000,15.6492,0.0000,0.5164
39.0000,49.9996,0.0000,15.6464,0.0000,0.5159
40.0000,49.9997,0.0000,15.6446,0.0000,0.5154
41.0000,49.9998,0.0000,15.6435,0.0000,0.5149
42.0000,49.9999,0.0000,15.6428,0.0000,0.5144
43.0000,49.9999,0.0000,15.6424,0.0000,0.5139
44.0000,50.0000,0.0000,15.6421,0.0000,0.5134
45.0000,50.0000,0.0000,15.6419,0.0000,0.5129
46.0000,50.0000,0.0000,15.6418,0.0000,0.5124
47.0000,50.0000,0.0000,15.6417,0.0000,0.5119
48.0000,50.0000,0.0000,15.6417,0.0000,0.5114
49.0000,50.0000,0.0000,15.6417,0.0000,0.5109
50.0000,50.0000,0.0000,15.6416,0.0000,0.5104
51.0000,50.0000,0.0000,15.6416,0.0000,0.5099
52.0000,50.0000,0.0000,15.6416,0.0000,0.5094
53.0000,50.0000,0.0000,15.6416,0.0000,0.5089
