t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
1200.0000,47.8155,0.0000,39.8223,0.0000,0.6127
1200.1000,47.9138,0.0000,38.7824,0.0000,0.6126
1200.2000,48.0077,0.0000,37.7851,0.0000,0.6124
1200.3000,48.0973,0.0000,36.8287,0.0000,0.6123
1200.4000,48.1830,0.0000,35.9119,0.0000,0.6122
1200.5000,48.2647,0.0000,35.0331,0.0000,0.6121
1200.6000,48.3428,0.0000,34.1909,0.0000,0.6120
1200.7000,48.4174,0.0000,33.3839,0.0000,0.6119
1200.8000,48.4886,0.0000,32.6108,0.0000,0.6118
1200.9000,48.5566,0.0000,31.8703,0.0000,0.6117
1201.0000,48.6216,0.0000,31.1610,0.0000,0.6116
1201.1000,48.6836,0.0000,30.4818,0.0000,0.6115
1201.2000,48.7428,0.0000,29.8315,0.0000,0.6115
1201.3000,48.7994,0.0000,29.2090,0.0000,0.6114
1201.4000,48.8534,0.0000,28.6130,0.0000,0.6113
1201.5000,48.9050,0.0000,28.0425,0.0000,0.6112
1201.6000,48.9543,0.0000,27.4966,0.0000,0.6111
1201.7000,49.0014,0.0000,26.9742,0.0000,0.6110
1201.8000,49.0463,0.0000,26.4743,0.0000,0.6110
1201.9000,49.0892,0.0000,25.9960,0.0000,0.6109
1202.0000,49.1302,0.0000,25.5384,0.0000,0.6108
1202.1000,49.1693,0.0000,25.1007,0.0000,0.6107
1202.2000,49.2067,0.0000,24.6820,0.0000,0.6106
1202.3000,49.2424,0.0000,24.2816,0.0000,0.6106
1202.4000,49.2765,0.0000,23.8986,0.0000,0.6105
1202.5000,49.3091,0.0000,23.5323,0.0000,0.6104
1202.6000,49.3402,0.0000,23.1820,0.0000,0.6104
1202.7000,49.3699,0.0000,22.8471,0.0000,0.6103
1202.8000,49.3982,0.0000,22.5269,0.0000,0.6102
1202.9000,49.4253,0.0000,22.2207,0.0000,0.6101
1203.0000,49.4512,0.0000,21.9280,0.0000,0.6101
1203.1000,49.4759,0.0000,21.6481,0.0000,0.6100
1203.2000,49.4994,0.0000,21.3806,0.0000,0.6099
1203.3000,49.5220,0.0000,21.1249,0.0000,0.6099
1203.4000,49.5435,0.0000,20.8804,0.0000,0.6098
1203.5000,49.5640,0.0000,20.6468,0.0000,0.6098
1203.6000,49.5836,0.0000,20.4235,0.0000,0.6097
1203.7000,49.6024,0.0000,20.2100,0.0000,0.6096
1203.8000,49.6203,0.0000,20.0061,0.0000,0.6096
1203.9000,49.6374,0.0000,19.8111,0.0000,0.6095
1204.0000,49.6537,0.0000,19.6248,0.0000,0.6094
1204.1000,49.6693,0.0000,19.4468,0.0000,0.6094
1204.2000,49.6841,0.0000,19.2767,0.0000,0.6093
1204.3000,49.6984,0.0000,19.1141,0.0000,0.6093
1204.4000,49.7119,0.0000,18.9587,0.0000,0.6092
