t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
0.0000,0.2384,0.0000,0.3396,0.0000,0.5500
1.0000,3.9732,0.0000,9.0058,0.0000,0.5497
2.0000,7.9428,0.0000,17.9932,0.0000,0.5492
3.0000,11.8994,0.0000,26.8808,0.0000,0.5484
4.0000,15.8270,0.0000,35.5210,0.0000,0.5474
5.0000,19.7041,0.0000,43.7101,0.0000,0.5462
6.0000,23.5040,0.0000,51.2053,0.0000,0.5447
7.0000,27.0507,0.0000,52.1097,0.0000,0.5431
8.0000,30.0531,0.0000,50.4903,0.0000,0.5416
9.0000,32.6393,0.0000,48.8906,0.0000,0.5402
10.0000,34.9060,0.0000,47.3268,0.0000,0.5387
11.0000,36.9166,0.0000,45.8129,0.0000,0.5374
12.0000,38.7155,0.0000,44.3594,0.0000,0.5360
13.0000,40.3358,0.0000,42.9732,0.0000,0.5348
14.0000,41.8030,0.0000,41.6581,0.0000,0.5335
15.0000,43.1373,0.0000,40.4159,0.0000,0.5323
16.0000,44.3551,0.0000,39.2465,0.0000,0.5311
17.0000,45.4702,0.0000,38.1486,0.0000,0.5300
18.0000,46.5218,0.0000,42.9295,0.0000,0.5289
19.0000,47.7687,0.0000,39.6209,0.0000,0.5276
20.0000,48.5902,0.0000,30.6791,0.0000,0.5265
21.0000,49.1101,0.0000,25.0077,0.0000,0.5257
22.0000,49.4385,0.0000,21.3012,0.0000,0.5250
23.0000,49.6009,0.0000,18.3468,0.0000,0.5244
24.0000,49.6846,0.0000,14.7973,0.0000,0.5239
25.0000,49.7394,0.0000,17.8523,0.0000,0.5234
26.0000,49.8356,0.0000,16.7506,0.0000,0.5228
27.0000,49.8963,0.0000,16.0489,0.0000,0.5223
28.0000,49.9345,0.0000,15.6052,0.0000,0.5218
29.0000,49.9587,0.0000,15.3248,0.0000,0.5213
30.0000,49.9739,0.0000,15.1478,0.0000,0.5208
31.0000,49.9836,0.0000,15.0360,0.0000,0.5204
32.0000,49.9896,0.0000,14.9655,0.0000,0.5199
33.0000,49.9935,0.0000,14.9210,0.0000,0.5194
34.0000,49.9959,0.0000,14.8929,0.0000,0.5189
35.0000,49.9974,0.0000,14.8751,0.0000,0.5184
36.0000,49.9984,0.0000,14.8639,0.0000,0.5179
37.0000,49.9990,0.0000,14.8569,0.0000,0.5175
38.0000,49.9993,0.0000,14.8524,0.0000,0.5170
39.0000,49.9996,0.0000,14.8496,0.0000,0.5165
40.0000,49.9997,0.0000,14.8478,0.0000,0.5160
41.0000,49.9998,0.0000,14.8467,0.0000,0.5156
42.0000,49.9999,0.0000,14.8460,0.0000,0.5151
43.0000,49.9999,0.0000,14.8456,0.0000,0.5146
44.0000,50.0000,0.0000,14.8453,0.0000,0.5141
45.0000,50.0000,0.0000,14.8451,0.0000,0.5136
46.0000,50.0000,0.0000,14.8450,0.0000,0.5132
47.0000,50.0000,0.0000,14.8449,0.0000,0.5127
48.0000,50.0000,0.0000,14.8449,0.0000,0.5122
49.0000,50.0000,0.0000,14.8448,0.0000,0.5117
50.0000,50.0000,0.0000,14.8448,0.0000,0.5112
51.0000,50.0000,0.0000,14.8448,0.0000,0.5108
52.0000,50.0000,0.0000,14.8448,0.0000,0.5103
53.0000,50.0000,0.0000,14.8448,0.0000,0.5098
54.0000,50.0000,0.0000,14.8448,0.0000,0.5093
55.0000,50.0000,0.0000,14.8448,0.0000,0.5088
56.0000,50.0000,0.0000,14.8448,0.0000,0.5084
57.0000,49.9866,0.0000,14.8468,0.0000,0.5079
58.0000,49.9835,0.0000,14.7460,0.0000,0.5074
59.0000,49.9385,0.0000,10.8569,0.0000,0.5070
60.0000,49.8717,0.0000,14.7281,0.0000,0.5066
61.0000,49.9072,0.0000,15.9217,0.0000,0.5060
62.0000,49.9415,0.0000,15.5248,0.0000,0.5055
63.0000,49.9631,0.0000,15.2741,0.0000,0.5051
64.0000,49.9767,0.0000,15.1157,0.0000,0.5046
65.0000,49.9853,0.0000,15.0158,0.0000,0.5041
66.0000,49.9844,0.0000,14.7783,0.0000,0.5036
67.0000,49.9803,0.0000,14.1075,0.0000,0.5031
68.0000,49.8885,0.0000,13.4076,0.0000,0.5027
69.0000,49.8725,0.0000,15.7301,0.0000,0.5022
70.0000,49.9172,0.0000,15.8058,0.0000,0.5017
71.0000,49.9478,0.0000,15.4516,0.0000,0.5012
72.0000,49.9670,0.0000,15.2278,0.0000,0.5007
73.0000,49.9792,0.0000,15.0865,0.0000,0.5003
74.0000,49.9869,0.0000,14.9974,0.0000,0.4998
75.0000,49.9917,0.0000,14.9411,0.0000,0.4993
76.0000,49.9948,0.0000,14.9056,0.0000,0.4988
77.0000,49.9967,0.0000,14.8831,0.0000,0.4983
78.0000,49.9317,0.0000,10.3991,0.0000,0.4979
79.0000,49.7720,0.0000,9.8331,0.0000,0.4975
80.0000,49.6310,0.0000,14.2193,0.0000,0.4972
81.0000,49.5338,0.0000,11.2637,0.0000,0.4968
82.0000,49.4254,0.0000,12.5888,0.0000,0.4964
83.0000,49.4074,0.0000,14.0542,0.0000,0.4959
84.0000,49.5445,0.0000,20.0938,0.0000,0.4953
85.0000,49.7126,0.0000,18.1684,0.0000,0.4947
86.0000,49.8092,0.0000,17.0364,0.0000,0.4942
87.0000,49.8796,0.0000,16.2414,0.0000,0.4937
88.0000,49.9240,0.0000,15.7268,0.0000,0.4932
89.0000,49.9521,0.0000,15.4017,0.0000,0.4927
