t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
1800.0000,40.0208,0.0000,11.8113,0.0000,0.4377
1800.1000,40.0290,0.0000,11.3858,0.0000,0.4377
1800.2000,40.0344,0.0000,10.7494,0.0000,0.4376
1800.3000,40.0365,0.0000,10.2823,0.0000,0.4376
1800.4000,40.0375,0.0000,10.0238,0.0000,0.4376
1800.5000,40.0373,0.0000,9.8086,0.0000,0.4375
1800.6000,40.0362,0.0000,9.8007,0.0000,0.4375
1800.7000,40.0359,0.0000,10.0202,0.0000,0.4375
1800.8000,40.0369,0.0000,10.3153,0.0000,0.4374
1800.9000,40.0394,0.0000,10.6659,0.0000,0.4374
1801.0000,40.0437,0.0000,11.1604,0.0000,0.4374
1801.1000,40.0508,0.0000,11.7988,0.0000,0.4373
1801.2000,40.0611,0.0000,12.3903,0.0000,0.4373
1801.3000,40.0737,0.0000,12.7992,0.0000,0.4372
1801.4000,40.0878,0.0000,13.0323,0.0000,0.4372
1801.5000,40.1026,0.0000,13.0888,0.0000,0.4372
1801.6000,40.1172,0.0000,12.7922,0.0000,0.4371
1801.7000,40.1290,0.0000,12.3364,0.0000,0.4371
1801.8000,40.1393,0.0000,11.8363,0.0000,0.4370
1801.9000,40.1464,0.0000,11.0962,0.0000,0.4370
1802.0000,40.1497,0.0000,10.3512,0.0000,0.4370
1802.1000,40.1498,0.0000,9.7738,0.0000,0.4369
1802.2000,40.1476,0.0000,9.4098,0.0000,0.4369
1802.3000,40.1443,0.0000,9.3086,0.0000,0.4369
1802.4000,40.1412,0.0000,9.5580,0.0000,0.4368
1802.5000,40.1402,0.0000,9.8702,0.0000,0.4368
1802.6000,40.1400,0.0000,9.8874,0.0000,0.4368
1802.7000,40.1392,0.0000,9.6505,0.0000,0.4367
1802.8000,40.1368,0.0000,9.1825,0.0000,0.4367
1802.9000,40.1316,0.0000,8.7285,0.0000,0.4367
1803.0000,40.1250,0.0000,8.6389,0.0000,0.4366
1803.1000,40.1190,0.0000,8.9568,0.0000,0.4366
1803.2000,40.1153,0.0000,9.5476,0.0000,0.4366
1803.3000,40.1149,0.0000,10.3189,0.0000,0.4365
1803.4000,40.1185,0.0000,10.9740,0.0000,0.4365
1803.5000,40.1243,0.0000,11.5089,0.0000,0.4365
1803.6000,40.1329,0.0000,12.0393,0.0000,0.4364
1803.7000,40.1436,0.0000,12.4754,0.0000,0.4364
1803.8000,40.1562,0.0000,12.8271,0.0000,0.4363
1803.9000,40.1702,0.0000,13.1830,0.0000,0.4363
1804.0000,40.1861,0.0000,13.4628,0.0000,0.4363
1804.1000,40.2026,0.0000,13.4411,0.0000,0.4362
1804.2000,40.2183,0.0000,13.0127,0.0000,0.4362
