t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
1800.0000,98.9956,1.7203,104.9109,4.7906,0.5899
1800.1000,99.0074,1.7258,105.4611,4.7906,0.5898
1800.2000,99.0196,1.7312,105.3279,4.7906,0.5897
1800.3000,99.0304,1.7367,104.7972,4.7906,0.5896
1800.4000,99.0401,1.7421,104.6122,4.7906,0.5895
1800.5000,99.0498,1.7475,104.5785,4.7906,0.5894
1800.6000,99.0589,1.7529,104.3251,4.7906,0.5893
1800.7000,99.0672,1.7583,104.2338,4.7906,0.5892
1800.8000,99.0756,1.7636,104.6523,4.7906,0.5891
1800.9000,99.0850,1.7690,105.1035,4.7906,0.5891
1801.0000,99.0946,1.7743,105.4019,4.7906,0.5890
1801.1000,99.1047,1.7796,105.2577,4.7906,0.5889
1801.2000,99.1134,1.7849,105.2080,4.7906,0.5888
1801.3000,99.1229,1.7902,105.5691,4.7906,0.5887
1801.4000,99.1325,1.7955,105.7044,4.7906,0.5886
1801.5000,99.1421,1.8007,105.7774,4.7906,0.5885
1801.6000,99.1515,1.8060,106.5440,4.7906,0.5884
1801.7000,99.1636,1.8112,107.5812,4.7906,0.5883
1801.8000,99.1766,1.8164,108.1535,4.7906,0.5882
1801.9000,99.1903,1.8215,108.4815,4.7906,0.5881
1802.0000,99.2041,1.8267,108.6510,4.7906,0.5880
1802.1000,99.2180,1.8318,108.8206,4.7906,0.5879
1802.2000,99.2320,1.8369,108.9163,4.7906,0.5878
1802.3000,99.2458,1.8420,109.0116,4.7906,0.5877
1802.4000,99.2596,1.8471,109.1065,4.7906,0.5876
1802.5000,99.2734,1.8521,109.2157,4.7906,0.5875
1802.6000,99.2872,1.8572,109.3246,4.7906,0.5874
1802.7000,99.3009,1.8622,109.4184,4.7906,0.5873
1802.8000,99.3146,1.8671,109.5116,4.7906,0.5872
1802.9000,99.3282,1.8721,109.6045,4.7906,0.5871
1803.0000,99.3418,1.8770,109.6969,4.7906,0.5870
1803.1000,99.3554,1.8819,109.7888,4.7906,0.5869
1803.2000,99.3689,1.8868,109.8803,4.7906,0.5868
1803.3000,99.3823,1.8916,109.9712,4.7906,0.5867
1803.4000,99.3957,1.8964,110.0617,4.7906,0.5866
1803.5000,99.4091,1.9012,110.1517,4.7906,0.5865
1803.6000,99.4224,1.9060,110.2412,4.7906,0.5864
1803.7000,99.4356,1.9107,110.3302,4.7906,0.5863
1803.8000,99.4489,1.9154,110.4186,4.7906,0.5862
