t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
2400.0000,87.7067,0.3344,55.5059,4.7906,0.3360
2400.1000,87.7039,0.3319,54.1170,4.7906,0.3361
2400.2000,87.6992,0.3294,53.2818,4.7906,0.3361
2400.3000,87.6930,0.3269,52.6904,4.7906,0.3362
2400.4000,87.6859,0.3244,52.9485,4.7906,0.3362
2400.5000,87.6810,0.3220,53.8167,4.7906,0.3363
2400.6000,87.6779,0.3195,54.8908,4.7906,0.3363
2400.7000,87.6778,0.3171,56.0909,4.7906,0.3364
2400.8000,87.6800,0.3147,56.7023,4.7906,0.3364
2400.9000,87.6827,0.3124,56.5461,4.7906,0.3364
2401.0000,87.6844,0.3100,56.1656,4.7906,0.3365
2401.1000,87.6856,0.3077,56.0505,4.7906,0.3365
2401.2000,87.6869,0.3054,56.0468,4.7906,0.3366
2401.3000,87.6883,0.3031,56.0743,4.7906,0.3366
2401.4000,87.6899,0.3009,56.3236,4.7906,0.3367
2401.5000,87.6924,0.2986,56.9253,4.7906,0.3367
2401.6000,87.6967,0.2964,57.2625,4.7906,0.3367
2401.7000,87.7009,0.2943,57.1863,4.7906,0.3368
2401.8000,87.7050,0.2921,57.5745,4.7906,0.3368
2401.9000,87.7109,0.2900,58.3605,4.7906,0.3368
2402.0000,87.7185,0.2879,58.8249,4.7906,0.3369
2402.1000,87.7266,0.2858,59.0908,4.7906,0.3369
2402.2000,87.7354,0.2838,59.8697,4.7906,0.3369
2402.3000,87.7468,0.2817,61.0445,4.7906,0.3370
2402.4000,87.7608,0.2797,62.0695,4.7906,0.3370
2402.5000,87.7767,0.2778,63.2317,4.7906,0.3370
2402.6000,87.7957,0.2758,64.4264,4.7906,0.3370
2402.7000,87.8167,0.2739,64.5671,4.7906,0.3371
2402.8000,87.8363,0.2720,63.5086,4.7906,0.3371
2402.9000,87.8528,0.2701,62.1988,4.7906,0.3371
2403.0000,87.8668,0.2683,60.5314,4.7906,0.3371
2403.1000,87.8761,0.2665,58.9295,4.7906,0.3372
2403.2000,87.8833,0.2647,58.4075,4.7906,0.3372
2403.3000,87.8905,0.2629,58.2970,4.7906,0.3373
2403.4000,87.8972,0.2612,58.1332,4.7906,0.3373
2403.5000,87.9038,0.2595,58.1945,4.7906,0.3373
2403.6000,87.9109,0.2578,58.4819,4.7906,0.3374
2403.7000,87.9187,0.2562,59.2926,4.7906,0.3374
2403.8000,87.9293,0.2546,60.8597,4.7906,0.3374
2403.9000,87.9440,0.2530,61.9763,4.7906,0.3375
2404.0000,87.9594,0.2514,62.4084,4.7906,0.3375
2404.1000,87.9759,0.2499,62.8119,4.7906,0.3375
2404.2000,87.9931,0.2484,62.2003,4.7906,0.3375
