t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
0.0000,0.2280,0.2524,0.3226,0.2778
1.0000,3.7996,0.2525,8.4351,1.0760
2.0000,7.5951,0.2527,16.8457,1.6082
3.0000,11.3757,0.2531,25.1377,2.2202
4.0000,15.1231,0.2536,33.1457,2.9031
5.0000,18.8129,0.2542,40.6452,3.3697
6.0000,22.4150,0.2549,47.3761,3.2603
7.0000,25.8961,0.2557,53.0756,3.4518
8.0000,29.2217,0.2564,57.5175,3.7533
9.0000,32.3590,0.2572,60.5492,3.9803
10.0000,35.2797,0.2578,62.1187,4.1291
11.0000,37.9619,0.2584,62.2846,3.9548
12.0000,40.2863,0.2589,47.8815,3.1826
13.0000,41.5637,0.2592,37.2101,2.6091
14.0000,42.5209,0.2593,30.3156,2.2623
15.0000,43.2103,0.2592,26.5218,2.0708
16.0000,43.6908,0.2590,22.1957,1.8444
17.0000,43.7882,0.2586,12.9852,1.1985
18.0000,43.8453,0.2581,16.4175,1.3906
19.0000,43.9520,0.2574,17.1956,1.4349
20.0000,44.0132,0.2566,11.4008,1.1118
21.0000,43.9498,0.2556,12.4275,1.1690
22.0000,43.8540,0.2546,14.6860,1.2944
23.0000,43.9799,0.2534,18.5485,1.5099
24.0000,44.0628,0.2522,12.6044,1.1801
25.0000,44.2365,0.2509,23.5925,1.7881
26.0000,44.5341,0.2495,14.8513,1.3113
27.0000,44.5057,0.2481,15.4174,1.3425
28.0000,44.5830,0.2467,18.2944,1.5029
29.0000,44.7523,0.2452,16.6628,1.4146
30.0000,44.9462,0.2437,20.2749,1.6161
31.0000,45.3271,0.2422,22.3881,1.7362
32.0000,45.4235,0.2407,13.8507,1.2653
33.0000,45.4485,0.2393,17.9950,1.4964
34.0000,45.5405,0.2379,15.6656,1.3681
35.0000,45.5467,0.2365,12.5580,1.1939
36.0000,45.5046,0.2352,13.2685,1.2335
37.0000,45.3978,0.2340,10.7494,1.0900
38.0000,45.3056,0.2329,12.2225,1.1723
39.0000,45.1679,0.2318,7.8956,0.9249
40.0000,44.9802,0.2309,11.0161,1.1006
