t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
5400.0000,86.1007,1.7736,56.9433,4.0003
5400.1000,86.0582,1.7699,55.5706,3.9216
5400.2000,86.0122,1.7661,53.9940,3.8312
5400.3000,85.9633,1.7624,53.0394,3.7763
5400.4000,85.9136,1.7586,52.3397,3.7358
5400.5000,85.8623,1.7548,51.7015,3.6988
5400.6000,85.8104,1.7510,52.4119,3.7386
5400.7000,85.7627,1.7472,53.9895,3.8278
5400.8000,85.7183,1.7434,55.4046,3.9077
5400.9000,85.6774,1.7395,57.2170,4.0104
5401.0000,85.6415,1.7356,59.2201,4.1239
5401.1000,85.6100,1.7317,60.5751,4.2007
5401.2000,85.5805,1.7278,61.1520,4.2331
5401.3000,85.5520,1.7239,61.4050,4.2471
5401.4000,85.5241,1.7200,61.3174,4.2418
5401.5000,85.4956,1.7160,60.6534,4.2036
5401.6000,85.4653,1.7120,60.3525,4.1861
5401.7000,85.4359,1.7080,60.9459,4.2195
5401.8000,85.4087,1.7040,61.0168,4.2232
5401.9000,85.3801,1.7000,60.5728,4.1976
5402.0000,85.3514,1.6960,60.4771,4.1918
5402.1000,85.3228,1.6919,60.1444,4.1725
5402.2000,85.2931,1.6878,59.4467,4.1324
5402.3000,85.2619,1.6838,59.7185,4.1474
5402.4000,85.2338,1.6797,61.2609,4.2349
5402.5000,85.2099,1.6756,62.8753,4.3264
5402.6000,85.1895,1.6714,64.6539,4.4274
5402.7000,85.1739,1.6673,66.6334,4.5399
5402.8000,85.1626,1.6632,68.0032,4.6177
5402.9000,85.1535,1.6590,68.7927,4.6625
5403.0000,85.1460,1.6548,69.9160,4.7263
5403.1000,85.1422,1.6507,70.5747,4.7638
5403.2000,85.1379,1.6465,70.4316,4.7556
5403.3000,85.1338,1.6422,70.6627,4.7687
5403.4000,85.1309,1.6380,70.8252,4.7779
5403.5000,85.1278,1.6338,70.4671,4.7575
5403.6000,85.1236,1.6296,70.5050,4.7596
5403.7000,85.1210,1.6253,71.5995,4.8218
5403.8000,85.1220,1.6210,72.7355,4.8865
5403.9000,85.1247,1.6168,73.8808,4.9517
5404.0000,85.1311,1.6125,74.8290,5.0058
5404.1000,85.1382,1.6082,74.7121,4.9992
5404.2000,85.1443,1.6039,73.7166,4.9426
5404.3000,85.1472,1.5996,72.3870,4.8670
5404.4000,85.1477,1.5953,70.7408,4.7733
5404.5000,85.1437,1.5909,69.6003,4.7083
5404.6000,85.1394,1.5866,69.5898,4.7077
5404.7000,85.1356,1.5822,69.9255,4.7267
5404.8000,85.1331,1.5779,70.5295,4.7611
5404.9000,85.1324,1.5735,71.3830,4.8096
5405.0000,85.1340,1.5692,72.3445,4.8644
5405.1000,85.1377,1.5648,73.7400,4.9439
5405.2000,85.1458,1.5604,75.3878,5.0377
5405.3000,85.1571,1.5560,77.0706,5.1337
5405.4000,85.1729,1.5516,79.1922,5.2546
5405.5000,85.1938,1.5472,80.9939,5.3574
5405.6000,85.2177,1.5428,81.8730,5.4078
5405.7000,85.2426,1.5384,82.3645,5.4361
5405.8000,85.2687,1.5340,82.2367,5.4291
5405.9000,85.2932,1.5296,81.0161,5.3600
5406.0000,85.3141,1.5252,79.2855,5.2618
5406.1000,85.3310,1.5207,77.2002,5.1433
5406.2000,85.3428,1.5163,74.8171,5.0078
5406.3000,85.3494,1.5119,73.2231,4.9172
5406.4000,85.3544,1.5074,73.0052,4.9048
5406.5000,85.3603,1.5030,73.7764,4.9488
5406.6000,85.3690,1.4986,75.4381,5.0435
5406.7000,85.3825,1.4941,77.9261,5.1853
5406.8000,85.4024,1.4897,80.1578,5.3126
5406.9000,85.4259,1.4852,81.0594,5.3642
5407.0000,85.4499,1.4808,80.8655,5.3535
5407.1000,85.4727,1.4763,79.5945,5.2814
5407.2000,85.4911,1.4718,76.9307,5.1301
5407.3000,85.5023,1.4674,73.6506,4.9435
5407.4000,85.5066,1.4629,71.0030,4.7929
5407.5000,85.5063,1.4585,68.7998,4.6675
5407.6000,85.5011,1.4540,67.1406,4.5729
5407.7000,85.4939,1.4496,66.4457,4.5333
5407.8000,85.4860,1.4451,66.5738,4.5405
5407.9000,85.4796,1.4407,66.8775,4.5577
5408.0000,85.4734,1.4362,67.0533,4.5676
5408.1000,85.4682,1.4318,67.4614,4.5908
5408.2000,85.4641,1.4273,67.5894,4.5980
5408.3000,85.4599,1.4229,66.1713,4.5172
5408.4000,85.4498,1.4185,63.6123,4.3715
5408.5000,85.4346,1.4140,61.5003,4.2511
5408.6000,85.4156,1.4096,59.7278,4.1499
5408.7000,85.3930,1.4052,58.2941,4.0680
5408.8000,85.3682,1.4008,58.2839,4.0671
5408.9000,85.3459,1.3964,59.8103,4.1537
5409.0000,85.3283,1.3920,61.4744,4.2482
5409.1000,85.3138,1.3876,62.6415,4.3145
5409.2000,85.3018,1.3832,63.4531,4.3605
5409.3000,85.2913,1.3788,64.0057,4.3918
5409.4000,85.2820,1.3744,64.3809,4.4130
5409.5000,85.2736,1.3701,64.9343,4.4444
5409.6000,85.2671,1.3657,65.7364,4.4900
5409.7000,85.2625,1.3613,66.3765,4.5264
5409.8000,85.2592,1.3570,66.6579,4.5424
5409.9000,85.2562,1.3527,66.2915,4.5215
5410.0000,85.2516,1.3483,64.9160,4.4431
5410.1000,85.2429,1.3440,63.3101,4.3516
5410.2000,85.2315,1.3397,62.1547,4.2857
5410.3000,85.2180,1.3354,61.2606,4.2346
5410.4000,85.2030,1.3311,60.7387,4.2047
5410.5000,85.1876,1.3268,60.8097,4.2086
5410.6000,85.1734,1.3225,61.2721,4.2347
5410.7000,85.1604,1.3182,62.3363,4.2951
5410.8000,85.1512,1.3140,63.9202,4.3852
5410.9000,85.1456,1.3097,65.1470,4.4549
5411.0000,85.1422,1.3055,65.8159,4.4929
5411.1000,85.1399,1.3013,66.3468,4.5231
5411.2000,85.1391,1.2970,66.5117,4.5325
5411.3000,85.1378,1.2928,66.2329,4.5166
5411.4000,85.1362,1.2886,66.3697,4.5244
5411.5000,85.1357,1.2844,66.8350,4.5508
5411.6000,85.1364,1.2803,66.4372,4.5282
5411.7000,85.1345,1.2761,65.9197,4.4987
5411.8000,85.1332,1.2720,65.9347,4.4996
5411.9000,85.1317,1.2678,65.6578,4.4838
5412.0000,85.1294,1.2637,65.1311,4.4538
5412.1000,85.1258,1.2596,64.5759,4.4221
5412.2000,85.1214,1.2555,63.5096,4.3614
5412.3000,85.1134,1.2514,62.0584,4.2787
5412.4000,85.1029,1.2473,60.9663,4.2164
5412.5000,85.0904,1.2432,60.4573,4.1873
5412.6000,85.0780,1.2392,60.5130,4.1903
5412.7000,85.0661,1.2352,60.6475,4.1978
5412.8000,85.0546,1.2311,60.8540,4.2094
5412.9000,85.0440,1.2271,61.2104,4.2296
5413.0000,85.0344,1.2231,61.4601,4.2436
5413.1000,85.0252,1.2192,61.6295,4.2532
5413.2000,85.0168,1.2152,62.0295,4.2758
