t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
3300.0000,84.5307,-1.3141,31.3395,2.5680
3300.1000,84.5417,-1.3143,31.0204,2.5504
3300.2000,84.5516,-1.3146,30.4815,2.5207
3300.3000,84.5601,-1.3149,29.5606,2.4696
3300.4000,84.5660,-1.3152,28.6074,2.4166
3300.5000,84.5702,-1.3155,27.7136,2.3668
3300.6000,84.5721,-1.3158,27.5710,2.3589
3300.7000,84.5757,-1.3162,27.7691,2.3700
3300.8000,84.5784,-1.3165,27.5514,2.3579
3300.9000,84.5811,-1.3169,27.8801,2.3763
3301.0000,84.5853,-1.3173,29.0281,2.4403
3301.1000,84.5931,-1.3177,30.1287,2.5016
3301.2000,84.6022,-1.3181,31.1803,2.5601
3301.3000,84.6147,-1.3186,32.6938,2.6441
3301.4000,84.6305,-1.3190,34.1987,2.7274
3301.5000,84.6496,-1.3195,35.3980,2.7937
3301.6000,84.6707,-1.3200,35.7163,2.8115
3301.7000,84.6912,-1.3205,35.5515,2.8027
3301.8000,84.7115,-1.3211,34.8526,2.7646
3301.9000,84.7288,-1.3216,33.5182,2.6912
3302.0000,84.7431,-1.3222,31.9891,2.6069
3302.1000,84.7536,-1.3228,30.7190,2.5366
3302.2000,84.7622,-1.3234,29.7756,2.4843
3302.3000,84.7684,-1.3240,29.0832,2.4458
3302.4000,84.7740,-1.3247,28.8521,2.4330
3302.5000,84.7792,-1.3253,29.1398,2.4491
3302.6000,84.7861,-1.3260,29.9547,2.4946
3302.7000,84.7949,-1.3267,30.9569,2.5504
3302.8000,84.8063,-1.3274,32.4503,2.6333
3302.9000,84.8218,-1.3282,33.8343,2.7099
3303.0000,84.8392,-1.3289,34.4678,2.7451
3303.1000,84.8575,-1.3297,34.7063,2.7585
3303.2000,84.8760,-1.3305,34.8348,2.7658
3303.3000,84.8948,-1.3313,34.7443,2.7611
3303.4000,84.9128,-1.3321,34.0712,2.7243
3303.5000,84.9286,-1.3330,33.2568,2.6795
3303.6000,84.9430,-1.3339,32.6071,2.6438
3303.7000,84.9558,-1.3347,31.7657,2.5974
3303.8000,84.9665,-1.3356,30.9211,2.5507
3303.9000,84.9756,-1.3366,30.2270,2.5123
3304.0000,84.9832,-1.3375,29.5922,2.4771
3304.1000,84.9895,-1.3385,29.0321,2.4460
3304.2000,84.9946,-1.3394,28.6660,2.4256
3304.3000,84.9994,-1.3404,28.2244,2.4011
3304.4000,85.0026,-1.3415,28.0513,2.3915
3304.5000,85.0066,-1.3425,27.9703,2.3870
3304.6000,85.0095,-1.3435,27.7842,2.3766
3304.7000,85.0127,-1.3446,27.4950,2.3605
3304.8000,85.0144,-1.3457,27.2002,2.3441
3304.9000,85.0164,-1.3468,27.4022,2.3554
3305.0000,85.0190,-1.3479,27.9872,2.3881
3305.1000,85.0237,-1.3491,28.5580,2.4200
3305.2000,85.0289,-1.3502,28.7541,2.4310
3305.3000,85.0345,-1.3514,29.0114,2.4454
3305.4000,85.0409,-1.3526,29.2370,2.4581
3305.5000,85.0476,-1.3538,29.2620,2.4596
3305.6000,85.0541,-1.3551,28.9233,2.4408
3305.7000,85.0593,-1.3563,29.1052,2.4510
3305.8000,85.0668,-1.3576,29.9110,2.4959
3305.9000,85.0756,-1.3589,30.6064,2.5347
3306.0000,85.0862,-1.3602,31.1680,2.5660
3306.1000,85.0975,-1.3615,31.5949,2.5899
3306.2000,85.1100,-1.3629,31.9879,2.6118
3306.3000,85.1231,-1.3642,31.9261,2.6086
3306.4000,85.1354,-1.3656,31.2679,2.5722
3306.5000,85.1456,-1.3670,30.4523,2.5271
3306.6000,85.1543,-1.3684,30.0990,2.5076
3306.7000,85.1630,-1.3698,29.7451,2.4880
3306.8000,85.1701,-1.3713,29.2313,2.4595
3306.9000,85.1766,-1.3727,29.5496,2.4773
3307.0000,85.1853,-1.3742,30.4240,2.5261
3307.1000,85.1957,-1.3757,30.7073,2.5419
3307.2000,85.2056,-1.3772,30.5119,2.5312
3307.3000,85.2153,-1.3788,30.1914,2.5135
3307.4000,85.2238,-1.3803,29.3922,2.4692
3307.5000,85.2300,-1.3819,28.5656,2.4232
3307.6000,85.2350,-1.3834,28.7401,2.4330
3307.7000,85.2420,-1.3850,29.2543,2.4618
3307.8000,85.2493,-1.3867,29.8032,2.4924
3307.9000,85.2588,-1.3883,30.4115,2.5264
3308.0000,85.2689,-1.3899,30.1903,2.5142
3308.1000,85.2775,-1.3916,29.0457,2.4506
3308.2000,85.2826,-1.3933,27.7613,2.3790
3308.3000,85.2855,-1.3950,26.2383,2.2939
3308.4000,85.2840,-1.3967,24.6105,2.2026
3308.5000,85.2799,-1.3984,23.8091,2.1574
3308.6000,85.2749,-1.4001,23.5465,2.1426
3308.7000,85.2698,-1.4019,23.6523,2.1485
3308.8000,85.2655,-1.4037,24.4358,2.1925
3308.9000,85.2639,-1.4054,25.3659,2.2447
3309.0000,85.2638,-1.4072,25.8746,2.2732
3309.1000,85.2647,-1.4090,26.2437,2.2939
3309.2000,85.2664,-1.4109,26.1470,2.2885
3309.3000,85.2669,-1.4127,25.6357,2.2599
3309.4000,85.2664,-1.4146,25.4810,2.2512
3309.5000,85.2664,-1.4164,25.9028,2.2748
3309.6000,85.2679,-1.4183,26.2838,2.2962
3309.7000,85.2697,-1.4202,27.0577,2.3396
3309.8000,85.2748,-1.4221,27.8922,2.3863
3309.9000,85.2804,-1.4240,27.6101,2.3706
3310.0000,85.2843,-1.4260,26.2539,2.2948
3310.1000,85.2840,-1.4279,24.6200,2.2031
3310.2000,85.2808,-1.4299,22.8429,2.1030
3310.3000,85.2728,-1.4318,21.1533,2.0075
3310.4000,85.2623,-1.4338,20.5920,1.9756
3310.5000,85.2520,-1.4358,21.0178,1.9995
3310.6000,85.2435,-1.4378,21.7778,2.0424
3310.7000,85.2367,-1.4398,22.6627,2.0923
3310.8000,85.2324,-1.4419,23.9153,2.1628
3310.9000,85.2313,-1.4439,25.2534,2.2380
3311.0000,85.2331,-1.4460,26.2389,2.2932
3311.1000,85.2365,-1.4480,26.7145,2.3199
3311.2000,85.2404,-1.4501,26.7573,2.3224
3311.3000,85.2442,-1.4522,26.1325,2.2874
3311.4000,85.2455,-1.4543,24.9225,2.2196
3311.5000,85.2440,-1.4564,24.2469,2.1816
3311.6000,85.2425,-1.4585,24.2975,2.1844
3311.7000,85.2414,-1.4606,24.4887,2.1951
3311.8000,85.2408,-1.4627,24.5515,2.1987
3311.9000,85.2401,-1.4649,24.4479,2.1928
3312.0000,85.2393,-1.4670,24.3523,2.1874
3312.1000,85.2383,-1.4692,24.7016,2.2071
3312.2000,85.2392,-1.4714,25.0380,2.2260
3312.3000,85.2399,-1.4735,25.4360,2.2483
3312.4000,85.2426,-1.4757,26.2653,2.2948
3312.5000,85.2471,-1.4779,26.9841,2.3351
3312.6000,85.2532,-1.4801,27.1277,2.3432
3312.7000,85.2584,-1.4823,27.3814,2.3575
3312.8000,85.2657,-1.4845,28.1088,2.3982
3312.9000,85.2743,-1.4868,28.9314,2.4442
3313.0000,85.2854,-1.4890,29.8644,2.4963
3313.1000,85.2982,-1.4912,30.9988,2.5595
3313.2000,85.3144,-1.4935,32.3132,2.6326
3313.3000,85.3331,-1.4957,33.3886,2.6924
3313.4000,85.3541,-1.4980,34.0897,2.7314
3313.5000,85.3759,-1.5002,34.5821,2.7588
3313.6000,85.3991,-1.5025,34.8779,2.7754
3313.7000,85.4223,-1.5048,34.9366,2.7790
3313.8000,85.4458,-1.5071,34.6366,2.7628
3313.9000,85.4677,-1.5093,34.2559,2.7421
3314.0000,85.4895,-1.5116,34.0202,2.7294
3314.1000,85.5104,-1.5139,33.1489,2.6815
3314.2000,85.5285,-1.5162,31.7929,2.6067
3314.3000,85.5434,-1.5185,30.7414,2.5486
3314.4000,85.5569,-1.5208,30.1782,2.5175
3314.5000,85.5695,-1.5231,29.6017,2.4856
3314.6000,85.5805,-1.5254,29.6854,2.4904
3314.7000,85.5936,-1.5278,30.7437,2.5494
3314.8000,85.6094,-1.5301,31.6937,2.6023
3314.9000,85.6267,-1.5324,31.9160,2.6149
3315.0000,85.6435,-1.5347,31.7278,2.6047
3315.1000,85.6601,-1.5370,31.2166,2.5766
3315.2000,85.6747,-1.5394,30.7739,2.5522
3315.3000,85.6894,-1.5417,30.8387,2.5560
3315.4000,85.7045,-1.5440,31.0249,2.5665
3315.5000,85.7200,-1.5463,31.0635,2.5689
3315.6000,85.7353,-1.5487,31.1917,2.5762
3315.7000,85.7515,-1.5510,31.2304,2.5786
3315.8000,85.7671,-1.5533,31.3483,2.5853
3315.9000,85.7839,-1.5557,31.4639,2.5920
3316.0000,85.8000,-1.5580,30.6404,2.5465
3316.1000,85.8133,-1.5603,29.6262,2.4903
3316.2000,85.8250,-1.5626,28.6628,2.4367
3316.3000,85.8342,-1.5650,27.3726,2.3648
3316.4000,85.8403,-1.5673,26.6870,2.3265
3316.5000,85.8466,-1.5696,27.3753,2.3651
3316.6000,85.8559,-1.5719,28.0094,2.4007
3316.7000,85.8651,-1.5742,28.5743,2.4323
3316.8000,85.8770,-1.5766,29.6574,2.4929
3316.9000,85.8910,-1.5789,30.2900,2.5283
3317.0000,85.9058,-1.5812,30.3355,2.5310
3317.1000,85.9201,-1.5835,30.4997,2.5403
3317.2000,85.9357,-1.5858,30.3173,2.5304
3317.3000,85.9492,-1.5881,29.4989,2.4850
3317.4000,85.9613,-1.5904,28.8033,2.4464
3317.5000,85.9719,-1.5926,28.3956,2.4238
3317.6000,85.9823,-1.5949,27.6607,2.3829
3317.7000,85.9898,-1.5972,26.3498,2.3097
3317.8000,85.9946,-1.5995,25.1013,2.2397
3317.9000,85.9967,-1.6017,23.6719,2.1593
3318.0000,85.9953,-1.6040,21.5915,2.0419
3318.1000,85.9885,-1.6062,19.2895,1.9113
3318.2000,85.9772,-1.6085,17.4150,1.8045
3318.3000,85.9623,-1.6107,15.3153,1.6844
3318.4000,85.9420,-1.6129,13.1354,1.5591
3318.5000,85.9178,-1.6151,11.8946,1.4874
3318.6000,85.8923,-1.6173,11.8319,1.4834
3318.7000,85.8681,-1.6195,12.6359,1.5294
3318.8000,85.8463,-1.6217,14.1203,1.6144
3318.9000,85.8289,-1.6239,15.7146,1.7055
3319.0000,85.8144,-1.6261,16.6594,1.7593
3319.1000,85.8013,-1.6282,16.8279,1.7687
3319.2000,85.7877,-1.6304,16.0318,1.7231
3319.3000,85.7713,-1.6325,14.7968,1.6522
3319.4000,85.7526,-1.6346,14.0962,1.6118
3319.5000,85.7333,-1.6367,13.9529,1.6033
3319.6000,85.7142,-1.6388,14.0314,1.6076
3319.7000,85.6955,-1.6409,14.2647,1.6207
3319.8000,85.6775,-1.6430,14.4137,1.6290
3319.9000,85.6597,-1.6451,14.1433,1.6133
3320.0000,85.6408,-1.6471,12.9185,1.5427
3320.1000,85.6178,-1.6491,11.3961,1.4547
3320.2000,85.5924,-1.6512,10.4011,1.3970
3320.3000,85.5653,-1.6532,9.8279,1.3635
3320.4000,85.5376,-1.6552,9.4940,1.3438
3320.5000,85.5092,-1.6571,9.8602,1.3646
3320.6000,85.4835,-1.6591,10.7857,1.4178
3320.7000,85.4594,-1.6611,11.6659,1.4682
3320.8000,85.4377,-1.6630,12.2630,1.5023
3320.9000,85.4165,-1.6649,12.4082,1.5104
3321.0000,85.3957,-1.6668,12.3320,1.5058
3321.1000,85.3744,-1.6687,11.9318,1.4824
3321.2000,85.3520,-1.6706,11.4259,1.4530
3321.3000,85.3287,-1.6724,10.7683,1.4148
3321.4000,85.3036,-1.6743,10.3809,1.3921
3321.5000,85.2788,-1.6761,10.9153,1.4226
3321.6000,85.2563,-1.6779,11.7707,1.4716
3321.7000,85.2355,-1.6797,12.6061,1.5195
3321.8000,85.2169,-1.6815,13.8906,1.5930
3321.9000,85.2020,-1.6832,15.2985,1.6735
3322.0000,85.1899,-1.6849,16.3455,1.7331
3322.1000,85.1797,-1.6866,17.2178,1.7828
3322.2000,85.1716,-1.6883,17.5354,1.8008
3322.3000,85.1631,-1.6900,17.3270,1.7888
3322.4000,85.1542,-1.6917,17.0852,1.7749
3322.5000,85.1447,-1.6933,16.7132,1.7535
3322.6000,85.1343,-1.6949,16.1448,1.7210
3322.7000,85.1225,-1.6965,16.0399,1.7148
3322.8000,85.1118,-1.6981,16.2179,1.7248
3322.9000,85.1009,-1.6997,15.8421,1.7032
3323.0000,85.0887,-1.7012,14.9444,1.6517
3323.1000,85.0739,-1.7027,13.8343,1.5879
3323.2000,85.0569,-1.7042,12.7746,1.5268
3323.3000,85.0377,-1.7057,12.0592,1.4854
3323.4000,85.0177,-1.7071,11.8463,1.4729
3323.5000,84.9977,-1.7086,11.7034,1.4644
3323.6000,84.9773,-1.7100,11.8874,1.4747
3323.7000,84.9582,-1.7113,11.8551,1.4726
3323.8000,84.9378,-1.7127,10.6697,1.4040
3323.9000,84.9137,-1.7140,9.1142,1.3138
3324.0000,84.8866,-1.7154,8.1337,1.2566
3324.1000,84.8583,-1.7166,7.0927,1.1958
3324.2000,84.8267,-1.7179,5.8288,1.1218
3324.3000,84.7930,-1.7191,5.4566,1.0997
3324.4000,84.7600,-1.7204,5.5432,1.1043
3324.5000,84.7269,-1.7216,5.8063,1.1192
3324.6000,84.6952,-1.7227,6.7884,1.1760
3324.7000,84.6667,-1.7239,8.2488,1.2605
3324.8000,84.6418,-1.7250,9.6067,1.3388
