t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
0.0000,0.2384,0.0000,0.3396,0.2778
1.0000,3.9732,0.0000,9.0062,1.1172
2.0000,7.9428,0.0000,17.9964,1.6920
3.0000,11.8994,0.0000,26.8915,2.3525
4.0000,15.8270,0.0000,35.5463,3.1022
5.0000,19.7041,0.0000,43.7588,3.5828
6.0000,23.5040,0.0000,51.2881,3.5147
7.0000,27.0507,0.0000,52.2359,3.4208
8.0000,30.0531,0.0000,50.6634,3.3805
9.0000,32.6393,0.0000,49.1123,3.3414
10.0000,34.9060,0.0000,47.5979,3.1025
11.0000,36.9166,0.0000,46.1336,3.0435
12.0000,38.7155,0.0000,44.7293,2.9871
13.0000,40.3358,0.0000,43.3915,2.9338
14.0000,41.8030,0.0000,42.1238,2.8835
15.0000,43.1373,0.0000,40.9276,2.8363
16.0000,44.3551,0.0000,39.8028,2.7054
17.0000,45.4702,0.0000,38.7479,2.6548
18.0000,46.5218,0.0000,43.5714,2.9384
19.0000,47.7687,0.0000,40.3158,2.7644
20.0000,48.5902,0.0000,31.4104,2.2659
21.0000,49.1101,0.0000,25.7628,1.9671
22.0000,49.4385,0.0000,22.0714,1.7692
23.0000,49.6009,0.0000,19.1247,1.6082
24.0000,49.6846,0.0000,15.5792,1.4113
25.0000,49.7394,0.0000,18.6367,1.5828
26.0000,49.8356,0.0000,17.5396,1.5228
27.0000,49.8963,0.0000,16.8408,1.4845
28.0000,49.9345,0.0000,16.3989,1.4602
29.0000,49.9587,0.0000,16.1197,1.4448
30.0000,49.9739,0.0000,15.9434,1.4351
31.0000,49.9836,0.0000,15.8321,1.4290
32.0000,49.9896,0.0000,15.7618,1.4251
33.0000,49.9935,0.0000,15.7175,1.4227
34.0000,49.9959,0.0000,15.6895,1.4212
35.0000,49.9974,0.0000,15.6718,1.4202
36.0000,49.9984,0.0000,15.6607,1.4196
37.0000,49.9990,0.0000,15.6536,1.4192
38.0000,49.9993,0.0000,15.6492,1.4189
39.0000,49.9996,0.0000,15.6464,1.4188
40.0000,49.9997,0.0000,15.6446,1.4187
41.0000,49.9998,0.0000,15.6435,1.4186
42.0000,49.9999,0.0000,15.6428,1.4186
43.0000,49.9999,0.0000,15.6424,1.4186
44.0000,50.0000,0.0000,15.6421,1.4186
