t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
3000.0000,39.5856,0.0000,8.7121,0.9732
3000.1000,39.5789,0.0000,8.6397,0.9675
3000.2000,39.5712,0.0000,8.4463,0.9523
3000.3000,39.5627,0.0000,8.5174,0.9579
3000.4000,39.5557,0.0000,8.5898,0.9636
3000.5000,39.5479,0.0000,8.2442,0.9364
3000.6000,39.5376,0.0000,7.6757,0.8920
3000.7000,39.5244,0.0000,6.9833,0.8383
3000.8000,39.5076,0.0000,6.1176,0.7718
3000.9000,39.4862,0.0000,5.3529,0.7142
3001.0000,39.4621,0.0000,4.8869,0.6795
3001.1000,39.4363,0.0000,4.5857,0.6572
3001.2000,39.4094,0.0000,4.5708,0.6560
3001.3000,39.3836,0.0000,4.8095,0.6735
3001.4000,39.3590,0.0000,-2.3170,0.0000
3001.5000,39.2649,0.0000,-16.7983,0.0000
3001.6000,39.1012,0.0000,-31.2062,0.0000
3001.7000,38.8675,0.0000,-45.5308,0.0000
3001.8000,38.5633,0.0000,-59.6933,0.0000
3001.9000,38.1880,0.0000,-66.3580,0.0000
3002.0000,37.8127,0.0000,-65.7710,0.0000
3002.1000,37.4374,0.0000,-65.1821,0.0000
3002.2000,37.0621,0.0000,-64.5912,0.0000
3002.3000,36.6869,0.0000,-63.9985,0.0000
3002.4000,36.3116,0.0000,-63.4039,0.0000
3002.5000,35.9363,0.0000,-62.8075,0.0000
3002.6000,35.5610,0.0000,-62.2092,0.0000
3002.7000,35.1857,0.0000,-61.6091,0.0000
3002.8000,34.8105,0.0000,-61.0072,0.0000
3002.9000,34.4352,0.0000,-60.4036,0.0000
3003.0000,34.0599,0.0000,-59.7982,0.0000
3003.1000,33.6846,0.0000,-59.1910,0.0000
3003.2000,33.3093,0.0000,-58.5821,0.0000
3003.3000,32.9341,0.0000,-57.9716,0.0000
3003.4000,32.5588,0.0000,-57.3593,0.0000
3003.5000,32.1835,0.0000,-56.7454,0.0000
3003.6000,31.8082,0.0000,-56.1298,0.0000
3003.7000,31.4329,0.0000,-55.5126,0.0000
3003.8000,31.0577,0.0000,-54.8939,0.0000
3003.9000,30.6824,0.0000,-54.2735,0.0000
3004.0000,30.3071,0.0000,-53.6515,0.0000
3004.1000,29.9318,0.0000,-53.0281,0.0000
3004.2000,29.5565,0.0000,-52.4031,0.0000
3004.3000,29.1813,0.0000,-51.7765,0.0000
3004.4000,28.8060,0.0000,-51.1485,0.0000
3004.5000,28.4307,0.0000,-50.5190,0.0000
3004.6000,28.0554,0.0000,-49.8881,0.0000
3004.7000,27.6801,0.0000,-49.2558,0.0000
3004.8000,27.3049,0.0000,-48.6220,0.0000
3004.9000,26.9296,0.0000,-47.9868,0.0000
3005.0000,26.5543,0.0000,-47.3503,0.0000
3005.1000,26.1790,0.0000,-46.7124,0.0000
3005.2000,25.8037,0.0000,-46.0731,0.0000
3005.3000,25.4285,0.0000,-45.4326,0.0000
3005.4000,25.0532,0.0000,-44.7908,0.0000
3005.5000,24.6779,0.0000,-44.1476,0.0000
3005.6000,24.3026,0.0000,-43.5032,0.0000
3005.7000,23.9273,0.0000,-42.8576,0.0000
3005.8000,23.5520,0.0000,-42.2108,0.0000
3005.9000,23.1768,0.0000,-41.5627,0.0000
3006.0000,22.8015,0.0000,-40.9135,0.0000
3006.1000,22.4262,0.0000,-40.2631,0.0000
3006.2000,22.0509,0.0000,-39.6116,0.0000
3006.3000,21.6756,0.0000,-38.9589,0.0000
3006.4000,21.3004,0.0000,-38.3051,0.0000
3006.5000,20.9251,0.0000,-37.6503,0.0000
3006.6000,20.5498,0.0000,-36.9944,0.0000
3006.7000,20.1745,0.0000,-36.3374,0.0000
3006.8000,19.7992,0.0000,-35.6794,0.2778
3006.9000,19.4240,0.0000,-35.0204,0.2778
3007.0000,19.0487,0.0000,-34.3604,0.2778
3007.1000,18.6734,0.0000,-33.6994,0.2778
3007.2000,18.2981,0.0000,-33.0375,0.2778
3007.3000,17.9228,0.0000,-32.3746,0.2778
3007.4000,17.5476,0.0000,-31.7108,0.2778
3007.5000,17.1723,0.0000,-31.0462,0.2778
3007.6000,16.7970,0.0000,-30.3806,0.2778
3007.7000,16.4217,0.0000,-29.7142,0.2778
3007.8000,16.0464,0.0000,-29.0470,0.2778
3007.9000,15.6712,0.0000,-28.3789,0.2778
3008.0000,15.2959,0.0000,-27.7101,0.2778
3008.1000,14.9206,0.0000,-27.0404,0.2778
3008.2000,14.5453,0.0000,-26.3700,0.2778
3008.3000,14.1700,0.0000,-25.6989,0.2778
3008.4000,13.7948,0.0000,-25.0270,0.2778
3008.5000,13.4195,0.0000,-24.3544,0.2778
3008.6000,13.0442,0.0000,-23.6812,0.2778
3008.7000,12.6689,0.0000,-23.0072,0.2778
3008.8000,12.2936,0.0000,-22.3327,0.2778
3008.9000,11.9184,0.0000,-21.6575,0.2778
3009.0000,11.5431,0.0000,-20.9817,0.2778
3009.1000,11.1678,0.0000,-20.3053,0.2778
3009.2000,10.7925,0.0000,-19.6283,0.2778
3009.3000,10.4172,0.0000,-18.9508,0.2778
3009.4000,10.0420,0.0000,-18.2728,0.2778
3009.5000,9.6667,0.0000,-17.5942,0.2778
3009.6000,9.2914,0.0000,-16.9152,0.2778
