t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
0.0000,0.2384,0.0000,0.3396,0.2778
1.0000,3.9732,0.0000,9.0058,1.1171
2.0000,7.9428,0.0000,17.9932,1.6918
3.0000,11.8994,0.0000,26.8808,2.3518
4.0000,15.8270,0.0000,35.5210,3.1006
5.0000,19.7041,0.0000,43.7101,3.5789
6.0000,23.5040,0.0000,51.2053,3.5100
7.0000,27.0507,0.0000,52.1097,3.4137
8.0000,30.0531,0.0000,50.4903,3.3708
9.0000,32.6393,0.0000,48.8906,3.3289
10.0000,34.9060,0.0000,47.3268,3.0874
11.0000,36.9166,0.0000,45.8129,3.0256
12.0000,38.7155,0.0000,44.3594,2.9666
13.0000,40.3358,0.0000,42.9732,2.9105
14.0000,41.8030,0.0000,41.6581,2.8576
15.0000,43.1373,0.0000,40.4159,2.8079
16.0000,44.3551,0.0000,39.2465,2.6737
17.0000,45.4702,0.0000,38.1486,2.6206
18.0000,46.5218,0.0000,42.9295,2.9019
19.0000,47.7687,0.0000,39.6209,2.7249
20.0000,48.5902,0.0000,30.6791,2.2259
21.0000,49.1101,0.0000,25.0077,1.9260
22.0000,49.4385,0.0000,21.3012,1.7267
23.0000,49.6009,0.0000,18.3468,1.5650
24.0000,49.6846,0.0000,14.7973,1.3674
25.0000,49.7394,0.0000,17.8523,1.5391
26.0000,49.8356,0.0000,16.7506,1.4787
27.0000,49.8963,0.0000,16.0489,1.4401
28.0000,49.9345,0.0000,15.6052,1.4157
29.0000,49.9587,0.0000,15.3248,1.4003
30.0000,49.9739,0.0000,15.1478,1.3905
31.0000,49.9836,0.0000,15.0360,1.3843
32.0000,49.9896,0.0000,14.9655,1.3804
33.0000,49.9935,0.0000,14.9210,1.3780
34.0000,49.9959,0.0000,14.8929,1.3764
35.0000,49.9974,0.0000,14.8751,1.3754
36.0000,49.9984,0.0000,14.8639,1.3748
37.0000,49.9990,0.0000,14.8569,1.3744
38.0000,49.9993,0.0000,14.8524,1.3742
39.0000,49.9996,0.0000,14.8496,1.3740
40.0000,49.9997,0.0000,14.8478,1.3739
41.0000,49.9998,0.0000,14.8467,1.3739
42.0000,49.9999,0.0000,14.8460,1.3738
43.0000,49.9999,0.0000,14.8456,1.3738
44.0000,50.0000,0.0000,14.8453,1.3738
45.0000,50.0000,0.0000,14.8451,1.3738
46.0000,50.0000,0.0000,14.8450,1.3738
47.0000,50.0000,0.0000,14.8449,1.3738
48.0000,50.0000,0.0000,14.8449,1.3738
49.0000,50.0000,0.0000,14.8448,1.3738
50.0000,50.0000,0.0000,14.8448,1.3738
51.0000,50.0000,0.0000,14.8448,1.3738
52.0000,50.0000,0.0000,14.8448,1.3738
53.0000,50.0000,0.0000,14.8448,1.3738
54.0000,50.0000,0.0000,14.8448,1.3738
55.0000,50.0000,0.0000,14.8448,1.3738
56.0000,50.0000,0.0000,14.8448,1.3738
57.0000,49.9866,0.0000,14.8468,1.3737
58.0000,49.9835,0.0000,14.7460,1.3680
59.0000,49.9385,0.0000,10.8569,1.1474
60.0000,49.8717,0.0000,14.7281,1.3657
61.0000,49.9072,0.0000,15.9217,1.4331
62.0000,49.9415,0.0000,15.5248,1.4113
63.0000,49.9631,0.0000,15.2741,1.3974
64.0000,49.9767,0.0000,15.1157,1.3887
65.0000,49.9853,0.0000,15.0158,1.3832
66.0000,49.9844,0.0000,14.7783,1.3698
67.0000,49.9803,0.0000,14.1075,1.3320
68.0000,49.8885,0.0000,13.4076,1.2914
69.0000,49.8725,0.0000,15.7301,1.4220
70.0000,49.9172,0.0000,15.8058,1.4268
71.0000,49.9478,0.0000,15.4516,1.4072
72.0000,49.9670,0.0000,15.2278,1.3949
73.0000,49.9792,0.0000,15.0865,1.3871
74.0000,49.9869,0.0000,14.9974,1.3822
75.0000,49.9917,0.0000,14.9411,1.3791
76.0000,49.9948,0.0000,14.9056,1.3771
77.0000,49.9967,0.0000,14.8831,1.3759
78.0000,49.9317,0.0000,10.3991,1.1212
79.0000,49.7720,0.0000,9.8331,1.0871
80.0000,49.6310,0.0000,14.2193,1.3342
81.0000,49.5338,0.0000,11.2637,1.1658
82.0000,49.4254,0.0000,12.5888,1.2397
83.0000,49.4074,0.0000,14.0542,1.3223
84.0000,49.5445,0.0000,20.0938,1.6613
85.0000,49.7126,0.0000,18.1684,1.5564
86.0000,49.8092,0.0000,17.0364,1.4944
87.0000,49.8796,0.0000,16.2414,1.4507
88.0000,49.9240,0.0000,15.7268,1.4224
89.0000,49.9521,0.0000,15.4017,1.4045
90.0000,49.9698,0.0000,15.1963,1.3932
91.0000,49.9809,0.0000,15.0667,1.3860
92.0000,49.9880,0.0000,14.9848,1.3815
93.0000,49.9921,0.0000,14.9368,1.3788
94.0000,49.9950,0.0000,14.9028,1.3770
95.0000,49.9969,0.0000,14.8814,1.3758
96.0000,49.9980,0.0000,14.8679,1.3750
97.0000,49.9987,0.0000,14.8594,1.3746
98.0000,49.9992,0.0000,14.8540,1.3743
99.0000,49.9919,0.0000,13.5947,1.3032
100.0000,49.9546,0.0000,14.5069,1.3542
101.0000,49.9043,0.0000,12.0779,1.2164
102.0000,49.7593,0.0000,12.5809,1.2432
103.0000,49.7412,0.0000,16.4961,1.4634
104.0000,49.7756,0.0000,14.6000,1.3573
105.0000,49.7767,0.0000,13.6949,1.3063
106.0000,49.7340,0.0000,12.6118,1.2446
107.0000,49.7447,0.0000,17.6800,1.5295
108.0000,49.8389,0.0000,16.7125,1.4766
109.0000,49.8983,0.0000,16.0248,1.4388
110.0000,49.9358,0.0000,15.5899,1.4149
111.0000,49.9595,0.0000,15.3152,1.3997
112.0000,49.9745,0.0000,15.1417,1.3901
113.0000,49.9783,0.0000,15.0580,1.3855
114.0000,49.9863,0.0000,15.0042,1.3826
115.0000,49.9913,0.0000,14.9454,1.3793
116.0000,49.9945,0.0000,14.9083,1.3773
117.0000,49.9809,0.0000,14.1285,1.3332
