t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
600.0000,42.8207,0.0000,43.0237,2.9479
600.1000,42.9604,0.0000,42.8801,2.9420
600.2000,43.0988,0.0000,42.7374,2.9361
600.3000,43.2359,0.0000,42.5956,2.9303
600.4000,43.3716,0.0000,42.4547,2.9244
600.5000,43.5060,0.0000,42.3146,2.9187
600.6000,43.6392,0.0000,42.1754,2.9129
600.7000,43.7710,0.0000,42.0371,2.9072
600.8000,43.9016,0.0000,41.8997,2.9015
600.9000,44.0310,0.0000,41.7631,2.8959
601.0000,44.1591,0.0000,41.6274,2.8903
601.1000,44.2861,0.0000,41.4926,2.8848
601.2000,44.4118,0.0000,41.3587,2.8797
601.3000,44.5364,0.0000,41.2256,2.7880
601.4000,44.6598,0.0000,41.0933,2.7815
601.5000,44.7820,0.0000,40.9620,2.7750
601.6000,44.9032,0.0000,40.8315,2.7686
601.7000,45.0232,0.0000,40.7018,2.7622
601.8000,45.1421,0.0000,40.5730,2.7559
601.9000,45.2599,0.0000,40.4451,2.7496
602.0000,45.3766,0.0000,40.3180,2.7434
602.1000,45.4923,0.0000,40.1918,2.7372
602.2000,45.6069,0.0000,40.8507,2.7757
602.3000,45.7270,0.0000,42.2580,2.8568
602.4000,45.8521,0.0000,43.3520,2.9202
602.5000,45.9800,0.0000,44.1937,2.9692
602.6000,46.1108,0.0000,45.0041,3.0164
602.7000,46.2441,0.0000,45.0081,3.0178
602.8000,46.3736,0.0000,44.2103,2.9735
602.9000,46.4991,0.0000,43.2114,2.9178
603.0000,46.6193,0.0000,41.9746,2.8484
603.1000,46.7336,0.0000,40.5643,2.7692
603.2000,46.8414,0.0000,38.8820,2.6744
603.3000,46.9412,0.0000,36.9859,2.5675
603.4000,47.0329,0.0000,35.3390,2.4746
603.5000,47.1187,0.0000,33.8681,2.3918
603.6000,47.1979,0.0000,32.5272,2.3162
603.7000,47.2724,0.0000,31.5630,2.2621
603.8000,47.3433,0.0000,30.7260,2.2151
603.9000,47.4106,0.0000,29.9402,2.1711
604.0000,47.4748,0.0000,29.4523,2.1456
604.1000,47.5378,0.0000,29.1102,2.1281
604.2000,47.5988,0.0000,28.6519,2.1043
604.3000,47.6578,0.0000,28.1163,2.0762
604.4000,47.7142,0.0000,27.5345,2.0456
604.5000,47.7681,0.0000,26.7290,2.0028
