t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
0,0,0.238407,0,0,0.339619,0,0,0,0,0,0,0,0,0,4.36352,2.36352,0.339619,0,0,0,54.9989,25,0,-4.36352
1,0.557371,3.97319,0,0,9.00578,0,0,0,0,0,0,0,0,0,15.1764,13.1764,9.00578,0,0,0,54.9712,25.0005,0,-15.1764
2,2.21253,7.94281,0,0,17.9932,0,0,0,0,0,0,0,0,0,24.6521,22.6521,17.9932,0,0,0,54.9185,25.0021,0,-24.6521
3,4.96884,11.8994,0,0,26.8808,0,0,0,0,0,0,0,0,0,34.027,32.027,26.8808,0,0,0,54.8415,25.0056,0,-34.027
4,8.82061,15.827,0,0,35.521,0,0,0,0,0,0,0,0,0,43.1376,41.1376,35.521,0,0,0,54.7405,25.0117,0,-43.1376
5,13.7569,19.7041,0,0,43.7101,0,0,0,0,0,0,0,0,0,51.761,49.761,43.7101,0,0,0,54.6167,25.0209,0,-51.761
6,19.7602,23.504,0,0,51.2053,0,0,0,0,0,0,0,0,0,59.6339,57.6339,51.2053,0,0,0,54.4716,25.0338,0,-59.6339
7,26.794,27.0507,0,0,52.1097,0,0,0,0,0,0,0,0,0,60.0925,58.0925,52.1097,0,0,0,54.3146,25.049,0,-60.0925
8,34.7361,30.0531,0,0,50.4903,0,0,0,0,0,0,0,0,0,57.909,55.909,50.4903,0,0,0,54.1625,25.0631,0,-57.909
9,43.4516,32.6393,0,0,48.8906,0,0,0,0,0,0,0,0,0,55.8896,53.8896,48.8906,0,0,0,54.0157,25.0762,0,-55.8896
10,52.8394,34.906,0,0,47.3268,0,0,0,0,0,0,0,0,0,53.9951,51.9951,47.3268,0,0,0,53.8741,25.0884,0,-53.9951
11,62.8201,36.9166,0,0,45.8129,0,0,0,0,0,0,0,0,0,52.2112,50.2112,45.8129,0,0,0,53.7371,25.0997,0,-52.2112
12,73.329,38.7155,0,0,44.3594,0,0,0,0,0,0,0,0,0,50.5317,48.5317,44.3594,0,0,0,53.6046,25.1103,0,-50.5317
13,84.3121,40.3358,0,0,42.9732,0,0,0,0,0,0,0,0,0,48.9523,46.9523,42.9732,0,0,0,53.4763,25.1201,0,-48.9523
14,95.7235,41.803,0,0,41.6581,0,0,0,0,0,0,0,0,0,47.4705,45.4705,41.6581,0,0,0,53.352,25.1294,0,-47.4705
15,107.524,43.1373,0,0,40.4159,0,0,0,0,0,0,0,0,0,46.0844,44.0844,40.4159,0,0,0,53.2313,25.138,0,-46.0844
16,119.678,44.3551,0,0,39.2465,0,0,0,0,0,0,0,0,0,44.7867,42.7867,39.2465,0,0,0,53.1141,25.1461,0,-44.7867
17,132.156,45.4702,0,0,38.1486,0,0,0,0,0,0,0,0,0,43.5778,41.5778,38.1486,0,0,0,53.0001,25.1538,0,-43.5778
18,144.931,46.5218,0,0,42.9295,0,0,0,0,0,0,0,0,0,48.7722,46.7722,42.9295,0,0,0,52.8862,25.1614,0,-48.7722
19,158.035,47.7687,0,0,39.6209,0,0,0,0,0,0,0,0,0,45.1569,43.1569,39.6209,0,0,0,52.7567,25.1715,0,-45.1569
20,171.426,48.5902,0,0,30.6791,0,0,0,0,0,0,0,0,0,35.4693,33.4693,30.6791,0,0,0,52.6547,25.1775,0,-35.4693
21,185.001,49.1101,0,0,25.0077,0,0,0,0,0,0,0,0,0,29.3688,27.3688,25.0077,0,0,0,52.5722,25.1813,0,-29.3688
22,198.692,49.4385,0,0,21.3012,0,0,0,0,0,0,0,0,0,25.3988,23.3988,21.3012,0,0,0,52.5023,25.184,0,-25.3988
23,212.451,49.6009,0,0,18.3468,0,0,0,0,0,0,0,0,0,22.2514,20.2514,18.3468,0,0,0,52.4439,25.1858,0,-22.2514
24,226.244,49.6846,0,0,14.7973,0,0,0,0,0,0,0,0,0,18.4795,16.4795,14.7973,0,0,0,52.391,25.1872,0,-18.4795
25,240.049,49.7394,0,0,17.8523,0,0,0,0,0,0,0,0,0,21.7261,19.7261,17.8523,0,0,0,52.3392,25.1886,0,-21.7261
26,253.879,49.8356,0,0,16.7506,0,0,0,0,0,0,0,0,0,20.5531,18.5531,16.7506,0,0,0,52.2848,25.1901,0,-20.5531
27,267.732,49.8963,0,0,16.0489,0,0,0,0,0,0,0,0,0,19.8081,17.8081,16.0489,0,0,0,52.2329,25.1915,0,-19.8081
28,281.598,49.9345,0,0,15.6052,0,0,0,0,0,0,0,0,0,19.339,17.339,15.6052,0,0,0,52.1824,25.1928,0,-19.339
29,295.472,49.9587,0,0,15.3248,0,0,0,0,0,0,0,0,0,19.0427,17.0427,15.3248,0,0,0,52.1329,25.194,0,-19.0427
