t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
1200,6158.62,47.8155,0,0,39.1254,0,929.177,0,0,0,0,0,0,0,44.6182,42.6182,39.1254,0,0,0,60.1129,26.7864,0,-44.6182
1200.1,6159.95,47.9138,0,0,38.0812,0,929.177,0,0,0,0,0,0,0,43.4831,41.4831,38.0812,0,0,0,60.1016,26.7869,0,-43.4831
1200.2,6161.29,48.0077,0,0,37.0797,0,929.177,0,0,0,0,0,0,0,42.3946,40.3946,37.0797,0,0,0,60.0907,26.7875,0,-42.3946
1200.3,6162.62,48.0973,0,0,36.1194,0,929.177,0,0,0,0,0,0,0,41.3534,39.3534,36.1194,0,0,0,60.08,26.7879,0,-41.3534
1200.4,6163.96,48.183,0,0,35.1988,0,929.177,0,0,0,0,0,0,0,40.3566,38.3566,35.1988,0,0,0,60.0696,26.7884,0,-40.3566
1200.5,6165.3,48.2647,0,0,34.3164,0,929.177,0,0,0,0,0,0,0,39.4012,37.4012,34.3164,0,0,0,60.0594,26.7888,0,-39.4012
1200.6,6166.64,48.3428,0,0,33.4707,0,929.177,0,0,0,0,0,0,0,38.4857,36.4857,33.4707,0,0,0,60.0494,26.7892,0,-38.4857
1200.7,6167.98,48.4174,0,0,32.6604,0,929.177,0,0,0,0,0,0,0,37.6086,35.6086,32.6604,0,0,0,60.0397,26.7895,0,-37.6086
1200.8,6169.33,48.4886,0,0,31.8841,0,929.177,0,0,0,0,0,0,0,36.7683,34.7683,31.8841,0,0,0,60.0302,26.7899,0,-36.7683
1200.9,6170.68,48.5566,0,0,31.1405,0,929.177,0,0,0,0,0,0,0,35.9666,33.9666,31.1405,0,0,0,60.0209,26.7902,0,-35.9666
