t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
0,0,0.227994,0.252415,0,0.322564,0,0,0,0,0,0,0,0,0,4.32709,2.32709,0.322564,0,0,0,54.9989,25,0,-4.32709
1,0.533026,3.79962,0.252494,0.00134565,8.4351,0,0,0,0,0,0,0,0,0,14.4747,12.4747,8.4351,0,0,0,54.9723,25.0004,0,-14.4747
2,2.11582,7.59513,0.252726,0.00534394,16.8457,0,0,0,0,0,0,0,0,0,23.3394,21.3394,16.8457,0,0,0,54.9223,25.0019,0,-23.3394
3,4.75117,11.3757,0.253102,0.0120092,25.1377,0,0,0,0,0,0,0,0,0,32.0793,30.0793,25.1377,0,0,0,54.8495,25.005,0,-32.0793
4,8.43257,15.1231,0.253608,0.0213362,33.1457,0,0,0,0,0,0,0,0,0,40.5112,38.5112,33.1457,0,0,0,54.7546,25.0104,0,-40.5112
5,13.1476,18.8129,0.254221,0.0333084,40.6452,0,0,0,0,0,0,0,0,0,48.3907,46.3907,40.6452,0,0,0,54.6386,25.0185,0,-48.3907
6,18.876,22.415,0.254916,0.0478916,47.3761,0,0,0,0,0,0,0,0,0,55.4349,53.4349,47.3761,0,0,0,54.5033,25.0296,0,-55.4349
7,25.5891,25.8961,0.25566,0.0650295,53.0756,0,0,0,0,0,0,0,0,0,61.3612,59.3612,53.0756,0,0,0,54.3514,25.0437,0,-61.3612
8,33.2483,29.2217,0.256418,0.0846406,57.5175,0,0,0,0,0,0,0,0,0,65.9269,63.9269,57.5175,0,0,0,54.1861,25.0606,0,-65.9269
9,41.8058,32.359,0.257154,0.106616,60.5492,0,0,0,0,0,0,0,0,0,68.9725,66.9725,60.5492,0,0,0,54.0111,25.0797,0,-68.9725
10,51.2053,35.2797,0.25783,0.13082,62.1187,0,0,0,0,0,0,0,0,0,70.4464,68.4464,62.1187,0,0,0,53.8304,25.1,0,-70.4464
11,61.3834,37.9619,0.258411,0.157093,62.2846,0,0,0,0,0,0,0,0,0,70.4174,68.4174,62.2846,0,0,0,53.6481,25.1208,0,-70.4174
12,72.2683,40.2863,0.258865,0.185247,47.8815,0,0,0,0,0,0,0,0,0,54.352,52.352,47.8815,0,0,0,53.4765,25.1391,0,-54.352
13,83.6452,41.5637,0.259163,0.214716,37.2101,0,0,0,0,0,0,0,0,0,42.6095,40.6095,37.2101,0,0,0,53.3599,25.1472,0,-42.6095
14,95.3327,42.5209,0.259288,0.245015,30.3156,0,0,0,0,0,0,0,0,0,35.089,33.089,30.3156,0,0,0,53.2595,25.153,0,-35.089
15,107.244,43.2103,0.259238,0.275899,26.5218,0,0,0,0,0,0,0,0,0,30.9762,28.9762,26.5218,0,0,0,53.1735,25.1573,0,-30.9762
