t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
900,11221.6,78.0408,1.65232,-1.63747,-27.5884,1.54628,1323.37,0,0,700,353.827,25.9368,2,24.4756,-22.6458,-24.6458,-27.5884,24.6458,0,0,54.2512,26.1187,2,47.1214
900.1,11223.7,77.7829,1.65465,-1.60168,-62.5754,1.54628,1323.53,0,0,700,353.827,25.9368,2,24.4756,-55.3439,-57.3439,-62.5754,57.3439,0,0,54.2706,26.1207,2,79.8195
900.2,11225.9,77.4401,1.65699,-1.56599,-97.0749,1.54628,1323.68,22.0749,0,700,353.827,25.9368,2,24.4756,-66.8461,-68.8461,-75,68.8461,0,0,54.2928,26.1233,2,91.3216
900.3,11228,77.0136,1.65932,-1.53042,-113.839,1.54628,1323.84,38.8392,0,700,353.827,25.9368,2,24.4756,-66.8413,-68.8413,-75,68.8413,0,0,54.315,26.126,2,91.3169
900.4,11230.2,76.5871,1.66165,-1.49499,-113.448,1.54628,1323.99,38.4477,0,700,353.827,25.9368,2,24.4756,-66.8374,-68.8374,-75,68.8374,0,0,54.3372,26.1286,2,91.313
900.5,11232.3,76.1607,1.66397,-1.45972,-113.052,1.54628,1324.15,38.0521,0,700,353.827,25.9368,2,24.4756,-66.8398,-68.8398,-75,68.8398,0,0,54.3594,26.1312,2,91.3154
900.6,11234.4,75.7342,1.66629,-1.42459,-112.652,1.54628,1324.3,37.6524,0,700,353.827,25.9368,2,24.4756,-66.8423,-68.8423,-75,68.8423,0,0,54.3816,26.1338,2,91.3179
900.7,11236.5,75.3077,1.66861,-1.38961,-112.249,1.54628,1324.46,37.2487,0,700,353.827,25.9368,2,24.4756,-66.8447,-68.8447,-75,68.8447,0,0,54.4038,26.1364,2,91.3203
900.8,11238.6,74.8812,1.67092,-1.35478,-111.841,1.54628,1324.61,36.8409,0,700,353.827,25.9368,2,24.4756,-66.8468,-68.8468,-75,68.8468,0,0,54.426,26.139,2,91.3224
900.9,11240.7,74.4548,1.67323,-1.3201,-111.429,1.54628,1324.76,36.4292,0,700,353.827,25.9368,2,24.4756,-66.8489,-68.8489,-75,68.8489,0,0,54.4482,26.1416,2,91.3245
901,11242.7,74.0283,1.67554,-1.28557,-111.013,1.54628,1324.92,36.0135,0,700,353.827,25.9368,2,24.4756,-66.851,-68.851,-75,68.851,0,0,54.4704,26.1443,2,91.3266
901.1,11244.8,73.6018,1.67783,-1.25119,-110.594,1.54628,1325.07,35.5938,0,700,353.827,25.9368,2,24.4756,-66.8528,-68.8528,-75,68.8528,0,0,54.4926,26.1469,2,91.3284
901.2,11246.8,73.1753,1.68013,-1.21696,-110.17,1.54628,1325.23,35.1703,0,700,353.827,25.9368,2,24.4756,-66.8545,-68.8545,-75,68.8545,0,0,54.5148,26.1495,2,91.3301
901.3,11248.8,72.7488,1.68241,-1.18288,-109.743,1.54628,1325.38,34.7428,0,700,353.827,25.9368,2,24.4756,-66.8562,-68.8562,-75,68.8562,0,0,54.537,26.1521,2,91.3318
901.4,11250.9,72.3224,1.68469,-1.14896,-109.311,1.54628,1325.54,34.3115,0,700,353.827,25.9368,2,24.4756,-66.8577,-68.8577,-75,68.8577,0,0,54.5592,26.1547,2,91.3332
901.5,11252.9,71.8959,1.68697,-1.1152,-108.876,1.54628,1325.69,33.8763,0,700,353.827,25.9368,2,24.4756,-66.8589,-68.8589,-75,68.8589,0,0,54.5814,26.1573,2,91.3345
901.6,11254.9,71.4694,1.68923,-1.08158,-108.437,1.54628,1325.85,33.4374,0,700,353.827,25.9368,2,24.4756,-66.8594,-68.8594,-75,68.8594,0,0,54.6036,26.1599,2,91.335
901.7,11256.8,71.0429,1.69149,-1.04812,-107.995,1.54628,1326,32.9947,0,700,353.827,25.9368,2,24.4756,-66.8594,-68.8594,-75,68.8594,0,0,54.6258,26.1625,2,91.335
901.8,11258.8,70.6165,1.69375,-1.01482,-107.548,1.54628,1326.16,32.5482,0,700,353.827,25.9368,2,24.4756,-66.8592,-68.8592,-75,68.8592,0,0,54.648,26.1651,2,91.3348
901.9,11260.8,70.19,1.69599,-0.981676,-107.098,1.54628,1326.31,32.098,0,700,353.827,25.9368,2,24.4756,-66.8589,-68.8589,-75,68.8589,0,0,54.6702,26.1678,2,91.3345
902,11262.7,69.7635,1.69823,-0.948688,-106.644,1.54628,1326.47,31.6441,0,700,353.827,25.9368,2,24.4756,-66.8586,-68.8586,-75,68.8586,0,0,54.6924,26.1704,2,91.3342
902.1,11264.6,69.337,1.70046,-0.915857,-106.187,1.54628,1326.62,31.1865,0,700,353.827,25.9368,2,24.4756,-66.8579,-68.8579,-75,68.8579,0,0,54.7146,26.173,2,91.3335
902.2,11266.6,68.9105,1.70269,-0.883185,-105.725,1.54628,1326.77,30.7253,0,700,353.827,25.9368,2,24.4756,-66.8572,-68.8572,-75,68.8572,0,0,54.7368,26.1756,2,91.3328
902.3,11268.5,68.4841,1.7049,-0.850673,-105.26,1.54628,1326.93,30.2605,0,700,353.827,25.9368,2,24.4756,-66.8564,-68.8564,-75,68.8564,0,0,54.759,26.1782,2,91.332
902.4,11270.4,68.0576,1.70711,-0.81832,-104.792,1.54628,1327.08,29.7921,0,700,353.827,25.9368,2,24.4756,-66.8554,-68.8554,-75,68.8554,0,0,54.7812,26.1808,2,91.331
902.5,11272.2,67.6311,1.7093,-0.786127,-104.32,1.54628,1327.24,29.3201,0,700,353.827,25.9368,2,24.4756,-66.8542,-68.8542,-75,68.8542,0,0,54.8034,26.1834,2,91.3298
902.6,11274.1,67.2046,1.71149,-0.754097,-103.845,1.54628,1327.39,28.8445,0,700,353.827,25.9368,2,24.4756,-66.8529,-68.8529,-75,68.8529,0,0,54.8256,26.186,2,91.3285
902.7,11276,66.7782,1.71367,-0.722228,-103.365,1.54628,1327.55,28.3655,0,700,353.827,25.9368,2,24.4756,-66.8514,-68.8514,-75,68.8514,0,0,54.8478,26.1886,2,91.327
902.8,11277.8,66.3517,1.71584,-0.690521,-102.883,1.54628,1327.7,27.8829,0,700,353.827,25.9368,2,24.4756,-66.8497,-68.8497,-75,68.8497,0,0,54.87,26.1912,2,91.3253
902.9,11279.7,65.9252,1.718,-0.658978,-102.397,1.54628,1327.86,27.3969,0,700,353.827,25.9368,2,24.4756,-66.8478,-68.8478,-75,68.8478,0,0,54.8922,26.1938,2,91.3234
903,11281.5,65.4987,1.72015,-0.6276,-101.907,1.54628,1328.01,26.9075,0,700,353.827,25.9368,2,24.4756,-66.8459,-68.8459,-75,68.8459,0,0,54.9144,26.1964,2,91.3215
903.1,11283.3,65.0722,1.72229,-0.596385,-101.415,1.54628,1328.17,26.4146,0,700,353.827,25.9368,2,24.4756,-66.8437,-68.8437,-75,68.8437,0,0,54.9366,26.199,2,91.3193
903.2,11285.1,64.6458,1.72442,-0.565337,-100.918,1.54628,1328.32,25.9184,0,700,353.827,25.9368,2,24.4756,-66.8414,-68.8414,-75,68.8414,0,0,54.9588,26.2016,2,91.3169
903.3,11286.9,64.2193,1.72654,-0.534454,-100.419,1.54628,1328.48,25.4188,0,700,353.827,25.9368,2,24.4756,-66.838,-68.838,-75,68.838,0,0,54.981,26.2043,2,91.3136
903.4,11288.7,63.7928,1.72865,-0.503738,-99.9158,1.54628,1328.63,24.9158,0,700,353.827,25.9368,2,24.4756,-66.8341,-68.8341,-75,68.8341,0,0,55.0032,26.2069,2,91.3097
903.5,11290.4,63.3663,1.73075,-0.47319,-99.4095,1.54628,1328.78,24.4095,0,700,353.827,25.9368,2,24.4756,-66.8302,-68.8302,-75,68.8302,0,0,55.0254,26.2095,2,91.3058
903.6,11292.2,62.9399,1.73284,-0.44281,-98.9,1.54628,1328.94,23.9,0,700,353.827,25.9368,2,24.4756,-66.8261,-68.8261,-75,68.8261,0,0,55.0476,26.2121,2,91.3017
903.7,11293.9,62.5134,1.73492,-0.412599,-98.3871,1.54628,1329.09,23.3871,0,700,353.827,25.9368,2,24.4756,-66.8217,-68.8217,-75,68.8217,0,0,55.0698,26.2147,2,91.2973
903.8,11295.7,62.0869,1.73698,-0.382557,-97.8711,1.54628,1329.25,22.8711,0,700,353.827,25.9368,2,24.4756,-66.8171,-68.8171,-75,68.8171,0,0,55.092,26.2173,2,91.2927
903.9,11297.4,61.6604,1.73904,-0.352686,-97.3518,1.54628,1329.4,22.3518,0,700,353.827,25.9368,2,24.4756,-66.8124,-68.8124,-75,68.8124,0,0,55.1142,26.2199,2,91.288
904,11299.1,61.234,1.74108,-0.322985,-96.8293,1.54628,1329.56,21.8293,0,700,353.827,25.9368,2,24.4756,-66.8075,-68.8075,-75,68.8075,0,0,55.1364,26.2225,2,91.2831
904.1,11300.8,60.8075,1.74311,-0.293457,-96.3036,1.54628,1329.71,21.3036,0,700,353.827,25.9368,2,24.4756,-66.8023,-68.8023,-75,68.8023,0,0,55.1586,26.2251,2,91.2779
904.2,11302.5,60.381,1.74513,-0.2641,-95.7749,1.54628,1329.87,20.7749,0,700,353.827,25.9368,2,24.4756,-66.797,-68.797,-75,68.797,0,0,55.1808,26.2276,2,91.2726
904.3,11304.1,59.9545,1.74714,-0.234916,-95.2429,1.54628,1330.02,20.2429,0,700,353.827,25.9368,2,24.4756,-66.7916,-68.7916,-75,68.7916,0,0,55.2029,26.2302,2,91.2672
904.4,11305.8,59.528,1.74914,-0.205906,-94.7079,1.54628,1330.18,19.7079,0,700,353.827,25.9368,2,24.4756,-66.7856,-68.7856,-75,68.7856,0,0,55.2251,26.2328,2,91.2612
904.5,11307.4,59.1016,1.75112,-0.177071,-94.1698,1.54628,1330.33,19.1698,0,700,353.827,25.9368,2,24.4756,-66.7796,-68.7796,-75,68.7796,0,0,55.2473,26.2354,2,91.2552
904.6,11309.1,58.6751,1.75309,-0.14841,-93.6287,1.54628,1330.49,18.6287,0,700,353.827,25.9368,2,24.4756,-66.7733,-68.7733,-75,68.7733,0,0,55.2695,26.238,2,91.2489
