t_s,v_kmh,v_ms,grade_pct,dist_m,P_wheel_kW,P_direct_kW,lockup,eng_rpm_locked
0.0000,0.2280,0.0633,0.2524,0.0000,0.3226,0.0000,0.0000,4.5767
1.0000,3.7996,1.0554,0.2525,0.5330,8.4351,0.0000,0.0000,76.2720
2.0000,7.5951,2.1098,0.2527,2.1158,16.8457,0.0000,0.0000,152.4617
3.0000,11.3757,3.1599,0.2531,4.7512,25.1377,0.0000,0.0000,228.3505
4.0000,15.1231,4.2009,0.2536,8.4326,33.1457,0.0000,0.0000,303.5755
5.0000,18.8129,5.2258,0.2542,13.1476,40.6452,0.0000,0.0000,377.6420
6.0000,22.4150,6.2264,0.2549,18.8760,47.3761,0.0000,0.0000,449.9492
7.0000,25.8961,7.1933,0.2557,25.5891,53.0756,0.0000,0.0000,519.8270
8.0000,29.2217,8.1171,0.2564,33.2483,57.5175,0.0000,0.0000,586.5840
9.0000,32.3590,8.9886,0.2572,41.8058,60.5492,0.0000,0.0000,649.5624
10.0000,35.2797,9.7999,0.2578,51.2053,62.1187,0.0000,0.0000,708.1911
11.0000,37.9619,10.5450,0.2584,61.3834,62.2846,0.0000,0.0000,762.0311
12.0000,40.2863,11.1906,0.2589,72.2683,47.8815,0.0000,0.0000,808.6910
13.0000,41.5637,11.5455,0.2592,83.6452,37.2101,0.0000,0.0000,834.3327
14.0000,42.5209,11.8113,0.2593,95.3327,30.3156,0.0000,0.0000,853.5466
15.0000,43.2103,12.0029,0.2592,107.2440,26.5218,0.0000,0.0000,867.3855
16.0000,43.6908,12.1363,0.2590,119.3169,22.1957,0.0000,0.0000,877.0325
17.0000,43.7882,12.1634,0.2586,131.4768,12.9852,0.0000,0.0000,878.9876
18.0000,43.8453,12.1793,0.2581,143.6447,16.4175,0.0000,0.0000,880.1330
19.0000,43.9520,12.2089,0.2574,155.8394,17.1956,0.0000,0.0000,882.2739
20.0000,44.0132,12.2259,0.2566,168.0647,11.4008,0.0000,0.0000,883.5026
21.0000,43.9498,12.2083,0.2556,180.2817,12.4275,0.0000,0.0000,882.2298
22.0000,43.8540,12.1817,0.2546,192.4747,14.6860,0.0000,0.0000,880.3070
23.0000,43.9799,12.2166,0.2534,204.6706,18.5485,0.0000,0.0000,882.8339
24.0000,44.0628,12.2397,0.2522,216.9063,12.6044,0.0000,0.0000,884.4981
25.0000,44.2365,12.2879,0.2509,229.1580,23.5925,0.0000,0.0000,887.9855
26.0000,44.5341,12.3706,0.2495,241.4968,14.8513,0.0000,0.0000,893.9593
27.0000,44.5057,12.3627,0.2481,253.8624,15.4174,0.0000,0.0000,893.3886
28.0000,44.5830,12.3842,0.2467,266.2344,18.2944,0.0000,0.0000,894.9404
29.0000,44.7523,12.4312,0.2452,278.6436,16.6628,0.0000,0.0000,898.3406
30.0000,44.9462,12.4851,0.2437,291.0980,20.2749,0.0000,0.0000,902.2322
31.0000,45.3271,12.5909,0.2422,303.6323,22.3881,0.0000,0.0000,909.8784
32.0000,45.4235,12.6177,0.2407,316.2441,13.8507,0.0000,0.0000,911.8140
33.0000,45.4485,12.6246,0.2393,328.8608,17.9950,0.0000,0.0000,912.3154
34.0000,45.5405,12.6501,0.2379,341.5021,15.6656,0.0000,0.0000,914.1622
35.0000,45.5467,12.6519,0.2365,354.1577,12.5580,0.0000,0.0000,914.2855
36.0000,45.5046,12.6402,0.2352,366.8014,13.2685,0.0000,0.0000,913.4405
37.0000,45.3978,12.6105,0.2340,379.4280,10.7494,0.0000,0.0000,911.2970
38.0000,45.3056,12.5849,0.2329,392.0228,12.2225,0.0000,0.0000,909.4460
39.0000,45.1679,12.5466,0.2318,404.5935,7.8956,0.0000,0.0000,906.6822
40.0000,44.9802,12.4945,0.2309,417.1118,11.0161,0.0000,0.0000,902.9139
41.0000,44.7657,12.4349,0.2301,429.5820,6.3739,0.0000,0.0000,898.6084
42.0000,44.5775,12.3826,0.2295,441.9847,10.9240,0.0000,0.0000,894.8299
43.0000,44.5246,12.3680,0.2289,454.3554,14.7854,0.0000,0.0000,893.7695
44.0000,44.7438,12.4288,0.2285,466.7456,20.8636,0.0000,0.0000,898.1687
45.0000,44.9942,12.4984,0.2283,479.2086,20.8049,0.0000,0.0000,903.1953
46.0000,45.2294,12.5637,0.2281,491.7439,18.4088,0.0000,0.0000,907.9176
47.0000,45.5302,12.6473,0.2282,504.3470,20.1446,0.0000,0.0000,913.9541
48.0000,45.6152,12.6709,0.2284,517.0106,14.7420,0.0000,0.0000,915.6603
49.0000,45.5239,12.6455,0.2288,529.6712,12.8760,0.0000,0.0000,913.8281
50.0000,45.4879,12.6355,0.2294,542.3114,14.1008,0.0000,0.0000,913.1062
51.0000,45.4109,12.6141,0.2301,554.9408,9.8934,0.0000,0.0000,911.5595
52.0000,45.2296,12.5638,0.2310,567.5273,12.3160,0.0000,0.0000,907.9211
53.0000,45.2102,12.5584,0.2321,580.0854,16.7134,0.0000,0.0000,907.5322
54.0000,45.2574,12.5715,0.2333,592.6566,11.5858,0.0000,0.0000,908.4779
55.0000,45.1726,12.5479,0.2348,605.2103,15.6956,0.0000,0.0000,906.7769
56.0000,44.3082,12.3078,0.2364,617.7271,-63.1950,0.0000,0.0000,889.4240
57.0000,41.0291,11.3970,0.2381,629.5795,-59.1259,0.0000,0.0000,823.6017
58.0000,37.7501,10.4861,0.2398,640.5211,-54.9157,0.0000,0.0000,757.7794
59.0000,34.4710,9.5753,0.2415,650.5518,-50.5761,0.0000,0.0000,691.9571
60.0000,31.1920,8.6644,0.2431,659.6716,-46.1188,0.0000,0.0000,626.1348
61.0000,27.9129,7.7536,0.2446,667.8806,-41.5550,0.0000,0.0000,560.3125
62.0000,24.6339,6.8427,0.2460,675.1788,-36.8964,0.0000,0.0000,494.4901
63.0000,21.3548,5.9319,0.2473,681.5661,-32.1540,0.0000,0.0000,428.6678
64.0000,18.0758,5.0210,0.2485,687.0426,-27.3393,0.0000,0.0000,362.8455
65.0000,14.7967,4.1102,0.2494,691.6082,-22.4633,0.0000,0.0000,297.0232
66.0000,11.5177,3.1994,0.2502,695.2630,-17.5374,0.0000,0.0000,231.2009
67.0000,8.2386,2.2885,0.2508,698.0069,-12.5724,0.0000,0.0000,165.3786
68.0000,4.9831,1.3842,0.2512,699.8406,-7.0067,0.0000,0.0000,100.0293
