t_s,v_kmh,v_ms,grade_pct,dist_m,P_wheel_kW
0.0000,0.2384,0.0662,0.0000,0.0000,0.3396
1.0000,3.9732,1.1037,0.0000,0.5574,9.0058
2.0000,7.9428,2.2063,0.0000,2.2125,17.9932
3.0000,11.8994,3.3054,0.0000,4.9688,26.8808
4.0000,15.8270,4.3964,0.0000,8.8206,35.5210
5.0000,19.7041,5.4734,0.0000,13.7569,43.7101
6.0000,23.5040,6.5289,0.0000,19.7602,51.2053
7.0000,27.0507,7.5141,0.0000,26.7940,52.1097
8.0000,30.0531,8.3481,0.0000,34.7361,50.4903
9.0000,32.6393,9.0665,0.0000,43.4516,48.8906
10.0000,34.9060,9.6961,0.0000,52.8394,47.3268
11.0000,36.9166,10.2546,0.0000,62.8201,45.8129
12.0000,38.7155,10.7543,0.0000,73.3290,44.3594
13.0000,40.3358,11.2044,0.0000,84.3121,42.9732
14.0000,41.8030,11.6119,0.0000,95.7235,41.6581
15.0000,43.1373,11.9826,0.0000,107.5236,40.4159
16.0000,44.3551,12.3209,0.0000,119.6779,39.2465
17.0000,45.4702,12.6306,0.0000,132.1558,38.1486
18.0000,46.5218,12.9227,0.0000,144.9312,42.9295
19.0000,47.7687,13.2691,0.0000,158.0345,39.6209
20.0000,48.5902,13.4973,0.0000,171.4264,30.6791
21.0000,49.1101,13.6417,0.0000,185.0013,25.0077
22.0000,49.4385,13.7329,0.0000,198.6921,21.3012
23.0000,49.6009,13.7780,0.0000,212.4514,18.3468
24.0000,49.6846,13.8013,0.0000,226.2438,14.7973
25.0000,49.7394,13.8165,0.0000,240.0486,17.8523
26.0000,49.8356,13.8432,0.0000,253.8794,16.7506
27.0000,49.8963,13.8601,0.0000,267.7317,16.0489
28.0000,49.9345,13.8707,0.0000,281.5975,15.6052
29.0000,49.9587,13.8774,0.0000,295.4718,15.3248
30.0000,49.9739,13.8816,0.0000,309.3515,15.1478
31.0000,49.9836,13.8843,0.0000,323.2346,15.0360
32.0000,49.9896,13.8860,0.0000,337.1198,14.9655
33.0000,49.9935,13.8871,0.0000,351.0064,14.9210
34.0000,49.9959,13.8877,0.0000,364.8938,14.8929
35.0000,49.9974,13.8882,0.0000,378.7818,14.8751
36.0000,49.9984,13.8884,0.0000,392.6701,14.8639
37.0000,49.9990,13.8886,0.0000,406.5586,14.8569
38.0000,49.9993,13.8887,0.0000,420.4473,14.8524
39.0000,49.9996,13.8888,0.0000,434.3360,14.8496
40.0000,49.9997,13.8888,0.0000,448.2248,14.8478
41.0000,49.9998,13.8888,0.0000,462.1137,14.8467
42.0000,49.9999,13.8889,0.0000,476.0025,14.8460
43.0000,49.9999,13.8889,0.0000,489.8914,14.8456
44.0000,50.0000,13.8889,0.0000,503.7803,14.8453
45.0000,50.0000,13.8889,0.0000,517.6691,14.8451
46.0000,50.0000,13.8889,0.0000,531.5580,14.8450
47.0000,50.0000,13.8889,0.0000,545.4469,14.8449
48.0000,50.0000,13.8889,0.0000,559.3358,14.8449
49.0000,50.0000,13.8889,0.0000,573.2247,14.8448
50.0000,50.0000,13.8889,0.0000,587.1136,14.8448
51.0000,50.0000,13.8889,0.0000,601.0025,14.8448
52.0000,50.0000,13.8889,0.0000,614.8914,14.8448
53.0000,50.0000,13.8889,0.0000,628.7802,14.8448
54.0000,50.0000,13.8889,0.0000,642.6691,14.8448
55.0000,50.0000,13.8889,0.0000,656.5580,14.8448
56.0000,50.0000,13.8889,0.0000,670.4469,14.8448
57.0000,49.9866,13.8852,0.0000,684.3345,14.8468
58.0000,49.9835,13.8843,0.0000,698.2196,14.7460
59.0000,49.9385,13.8718,0.0000,712.1016,10.8569
60.0000,49.8717,13.8533,0.0000,725.9599,14.7281
61.0000,49.9072,13.8631,0.0000,739.8169,15.9217
62.0000,49.9415,13.8726,0.0000,753.6852,15.5248
63.0000,49.9631,13.8786,0.0000,767.5610,15.2741
64.0000,49.9767,13.8824,0.0000,781.4417,15.1157
65.0000,49.9853,13.8848,0.0000,795.3254,15.0158
66.0000,49.9844,13.8846,0.0000,809.2104,14.7783
67.0000,49.9803,13.8834,0.0000,823.0947,14.1075
68.0000,49.8885,13.8579,0.0000,836.9660,13.4076
69.0000,49.8725,13.8535,0.0000,850.8203,15.7301
70.0000,49.9172,13.8659,0.0000,864.6802,15.8058
71.0000,49.9478,13.8744,0.0000,878.5506,15.4516
72.0000,49.9670,13.8797,0.0000,892.4279,15.2278
73.0000,49.9792,13.8831,0.0000,906.3094,15.0865
74.0000,49.9869,13.8852,0.0000,920.1937,14.9974
75.0000,49.9917,13.8866,0.0000,934.0797,14.9411
76.0000,49.9948,13.8874,0.0000,947.9667,14.9056
77.0000,49.9967,13.8880,0.0000,961.8544,14.8831
78.0000,49.9317,13.8699,0.0000,975.7383,10.3991
79.0000,49.7720,13.8256,0.0000,989.5862,9.8331
80.0000,49.6310,13.7864,0.0000,1003.3888,14.2193
81.0000,49.5338,13.7594,0.0000,1017.1659,11.2637
82.0000,49.4254,13.7293,0.0000,1030.9106,12.5888
83.0000,49.4074,13.7243,0.0000,1044.6371,14.0542
84.0000,49.5445,13.7624,0.0000,1058.3740,20.0938
85.0000,49.7126,13.8090,0.0000,1072.1614,18.1684
86.0000,49.8092,13.8359,0.0000,1085.9850,17.0364
87.0000,49.8796,13.8555,0.0000,1099.8315,16.2414
88.0000,49.9240,13.8678,0.0000,1113.6935,15.7268
89.0000,49.9521,13.8756,0.0000,1127.5655,15.4017
90.0000,49.9698,13.8805,0.0000,1141.4437,15.1963
91.0000,49.9809,13.8836,0.0000,1155.3259,15.0667
92.0000,49.9880,13.8855,0.0000,1169.2105,14.9848
93.0000,49.9921,13.8867,0.0000,1183.0967,14.9368
94.0000,49.9950,13.8875,0.0000,1196.9838,14.9028
95.0000,49.9969,13.8880,0.0000,1210.8716,14.8814
96.0000,49.9980,13.8883,0.0000,1224.7598,14.8679
97.0000,49.9987,13.8885,0.0000,1238.6482,14.8594
98.0000,49.9992,13.8887,0.0000,1252.5369,14.8540
99.0000,49.9919,13.8866,0.0000,1266.4253,13.5947
100.0000,49.9546,13.8763,0.0000,1280.3048,14.5069
101.0000,49.9043,13.8623,0.0000,1294.1773,12.0779
102.0000,49.7593,13.8220,0.0000,1308.0182,12.5809
103.0000,49.7412,13.8170,0.0000,1321.8345,16.4961
104.0000,49.7756,13.8265,0.0000,1335.6586,14.6000
105.0000,49.7767,13.8269,0.0000,1349.4859,13.6949
106.0000,49.7340,13.8150,0.0000,1363.3074,12.6118
107.0000,49.7447,13.8180,0.0000,1377.1183,17.6800
108.0000,49.8389,13.8441,0.0000,1390.9503,16.7125
109.0000,49.8983,13.8606,0.0000,1404.8033,16.0248
110.0000,49.9358,13.8711,0.0000,1418.6696,15.5899
111.0000,49.9595,13.8776,0.0000,1432.5442,15.3152
112.0000,49.9745,13.8818,0.0000,1446.4241,15.1417
113.0000,49.9783,13.8829,0.0000,1460.3067,15.0580
114.0000,49.9863,13.8851,0.0000,1474.1907,15.0042
115.0000,49.9913,13.8865,0.0000,1488.0765,14.9454
