cap_kW,E_captured_mech_kWh,E_captured_elec_kWh,frac_of_braking_mech,frac_of_braking_elec
0,0.0000,0.0000,0.0000,0.0000
10,1.1513,0.9966,0.2475,0.2143
20,2.0174,1.7463,0.4338,0.3755
30,2.6716,2.3126,0.5744,0.4973
40,3.1777,2.7507,0.6833,0.5914
50,3.5820,3.1007,0.7702,0.6667
60,3.8987,3.3748,0.8383,0.7256
75,4.2343,3.6653,0.9104,0.7881
90,4.4431,3.8460,0.9553,0.8270
100,4.5267,3.9184,0.9733,0.8425
125,4.6073,3.9882,0.9907,0.8575
150,4.6171,3.9967,0.9928,0.8594
175,4.6171,3.9967,0.9928,0.8594
200,4.6171,3.9967,0.9928,0.8594
uncapped,4.6171,3.9967,0.9928,0.8594
