cap_kW,E_captured_mech_kWh,E_captured_elec_kWh,frac_of_braking_mech,frac_of_braking_elec
0,0.0000,0.0000,0.0000,0.0000
10,0.6768,0.5858,0.1874,0.1622
20,1.3179,1.1408,0.3649,0.3159
30,1.8758,1.6238,0.5194,0.4496
40,2.3446,2.0295,0.6492,0.5619
50,2.7225,2.3567,0.7538,0.6525
60,3.0166,2.6113,0.8353,0.7230
75,3.3177,2.8719,0.9186,0.7952
90,3.4769,3.0097,0.9627,0.8333
100,3.5244,3.0509,0.9759,0.8447
125,3.5487,3.0718,0.9826,0.8506
150,3.5487,3.0718,0.9826,0.8506
175,3.5487,3.0718,0.9826,0.8506
200,3.5487,3.0718,0.9826,0.8506
uncapped,3.5487,3.0718,0.9826,0.8506
