bin_lo_kW,bin_hi_kW,seconds,pct_of_cycle_time
-150,-140,0.90,0.0136
-140,-130,1.70,0.0257
-130,-120,3.90,0.0590
-120,-110,6.30,0.0952
-110,-100,10.10,0.1527
-100,-90,14.60,0.2207
-90,-80,16.60,0.2510
-80,-70,18.40,0.2782
-70,-60,27.70,0.4188
-60,-50,28.20,0.4264
-50,-40,33.40,0.5050
-40,-30,46.20,0.6985
-30,-20,57.70,0.8724
-20,-10,101.50,1.5346
-10,0,157.50,2.3812
0,10,818.60,12.3764
10,20,625.50,9.4569
20,30,669.50,10.1222
30,40,655.90,9.9165
40,50,658.10,9.9498
50,60,696.90,10.5364
60,70,628.30,9.4993
70,80,411.90,6.2275
80,90,387.70,5.8616
90,100,225.50,3.4093
100,110,107.30,1.6223
110,120,19.80,0.2994
120,130,35.80,0.5413
130,140,56.40,0.8527
140,150,49.90,0.7544
150,160,32.90,0.4974
160,170,9.60,0.1451
