t_s,v_kmh,grade_pct,P_wheel_kW,P_direct_kW,P_bus_kW,P_batt_kW,E_batt_kWh,P_regen_capt_kW
0.0000,0.2280,0.2524,0.3226,0.0000,2.3726,7.1532,0.0000,0.0000
0.1000,0.4560,0.2524,0.7369,0.0000,2.8513,6.6889,0.0002,0.0000
0.2000,0.7600,0.2524,1.5341,0.0000,3.7722,5.7956,0.0004,0.0000
0.3000,1.1400,0.2524,2.5306,0.0000,4.9234,4.6789,0.0005,0.0000
0.4000,1.5200,0.2524,3.3741,0.0000,5.8979,3.7337,0.0006,0.0000
0.5000,1.8999,0.2524,4.2177,0.0000,6.8724,2.7884,0.0007,0.0000
0.6000,2.2799,0.2524,5.0613,0.0000,7.8470,1.8431,0.0008,0.0000
0.7000,2.6599,0.2525,5.9048,0.0000,8.8215,0.8978,0.0008,0.0000
0.8000,3.0398,0.2525,6.7484,0.0000,9.7959,-0.0504,0.0008,0.0000
0.9000,3.4197,0.2525,7.5918,0.0000,10.7703,-1.0549,0.0008,0.0000
1.0000,3.7996,0.2525,8.4351,0.0000,11.7445,-2.0592,0.0008,0.0000
1.1000,4.1795,0.2525,9.2782,0.0000,12.7185,-3.0634,0.0007,0.0000
1.2000,4.5593,0.2525,10.1211,0.0000,13.6922,-4.0672,0.0006,0.0000
1.3000,4.9391,0.2525,10.9637,0.0000,14.6656,-5.0706,0.0005,0.0000
1.4000,5.3188,0.2526,11.8058,0.0000,15.6385,-6.0737,0.0003,0.0000
1.5000,5.6984,0.2526,12.6476,0.0000,16.6108,-7.0761,0.0001,0.0000
1.6000,6.0780,0.2526,13.4887,0.0000,17.5826,-8.0779,-0.0001,0.0000
1.7000,6.4574,0.2526,14.3292,0.0000,18.5535,-9.0789,-0.0003,0.0000
1.8000,6.8368,0.2527,15.1690,0.0000,19.5236,-10.0790,-0.0006,0.0000
1.9000,7.2160,0.2527,16.0078,0.0000,20.4927,-11.0780,-0.0009,0.0000
2.0000,7.5951,0.2527,16.8457,0.0000,21.4606,-12.0759,-0.0012,0.0000
2.1000,7.9741,0.2528,17.6824,0.0000,22.4273,-13.0724,-0.0015,0.0000
2.2000,8.3529,0.2528,18.5179,0.0000,23.3924,-14.0674,-0.0019,0.0000
2.3000,8.7316,0.2528,19.3520,0.0000,24.3560,-15.0608,-0.0023,0.0000
2.4000,9.1100,0.2529,20.1845,0.0000,25.3177,-16.0523,-0.0028,0.0000
2.5000,9.4882,0.2529,21.0153,0.0000,26.2775,-17.0417,-0.0032,0.0000
2.6000,9.8663,0.2529,21.8442,0.0000,27.2351,-18.0290,-0.0037,0.0000
2.7000,10.2440,0.2530,22.6711,0.0000,28.1904,-19.0138,-0.0042,0.0000
2.8000,10.6215,0.2530,23.4958,0.0000,29.1431,-19.9959,-0.0048,0.0000
2.9000,10.9987,0.2531,24.3181,0.0000,30.0930,-20.9752,-0.0053,0.0000
3.0000,11.3757,0.2531,25.1377,0.0000,31.0399,-21.9514,-0.0059,0.0000
3.1000,11.7523,0.2531,25.9546,0.0000,31.9836,-22.9243,-0.0065,0.0000
3.2000,12.1285,0.2532,26.7685,0.0000,32.9238,-23.8936,-0.0072,0.0000
3.3000,12.5044,0.2532,27.5792,0.0000,33.8603,-24.8591,-0.0079,0.0000
3.4000,12.8799,0.2533,28.3864,0.0000,34.7929,-25.8205,-0.0086,0.0000
3.5000,13.2549,0.2533,29.1901,0.0000,35.7213,-26.7776,-0.0093,0.0000
3.6000,13.6296,0.2534,29.9899,0.0000,36.6452,-27.7301,-0.0101,0.0000
3.7000,14.0037,0.2534,30.7855,0.0000,37.5644,-28.6777,-0.0108,0.0000
3.8000,14.3774,0.2535,31.5769,0.0000,38.4786,-29.6202,-0.0117,0.0000
3.9000,14.7505,0.2536,32.3637,0.0000,39.3875,-30.5572,-0.0125,0.0000
4.0000,15.1231,0.2536,33.1457,0.0000,40.2909,-31.4885,-0.0134,0.0000
4.1000,15.4952,0.2537,33.9226,0.0000,41.1884,-32.4138,-0.0142,0.0000
4.2000,15.8666,0.2537,34.6942,0.0000,42.0799,-33.3328,-0.0152,0.0000
4.3000,16.2374,0.2538,35.4603,0.0000,42.9648,-34.2452,-0.0161,0.0000
4.4000,16.6075,0.2538,36.2206,0.0000,43.8431,-35.1506,-0.0171,0.0000
4.5000,16.9770,0.2539,36.9747,0.0000,44.7144,-36.0488,-0.0180,0.0000
4.6000,17.3457,0.2540,37.7226,0.0000,45.5783,-36.9394,-0.0191,0.0000
4.7000,17.7137,0.2540,38.4638,0.0000,46.4346,-37.8222,-0.0201,0.0000
4.8000,18.0809,0.2541,39.1982,0.0000,47.2829,-38.6968,-0.0212,0.0000
4.9000,18.4473,0.2542,39.9254,0.0000,48.1230,-39.5629,-0.0222,0.0000
5.0000,18.8129,0.2542,40.6452,0.0000,48.9545,-40.4201,-0.0234,0.0000
5.1000,19.1776,0.2543,41.3573,0.0000,49.7772,-41.2682,-0.0245,0.0000
5.2000,19.5413,0.2544,42.0614,0.0000,50.5907,-42.1068,-0.0257,0.0000
5.3000,19.9042,0.2544,42.7574,0.0000,51.3946,-42.9357,-0.0268,0.0000
5.4000,20.2660,0.2545,43.4448,0.0000,52.1888,-43.7544,-0.0280,0.0000
5.5000,20.6269,0.2546,44.1235,0.0000,52.9728,-44.5627,-0.0293,0.0000
5.6000,20.9867,0.2546,44.7931,0.0000,53.7464,-45.3602,-0.0305,0.0000
5.7000,21.3455,0.2547,45.4535,0.0000,54.5092,-46.1466,-0.0318,0.0000
5.8000,21.7031,0.2548,46.1042,0.0000,55.2610,-46.9217,-0.0331,0.0000
5.9000,22.0596,0.2548,46.7452,0.0000,56.0015,-47.6850,-0.0344,0.0000
6.0000,22.4150,0.2549,47.3761,0.0000,56.7303,-48.4363,-0.0357,0.0000
6.1000,22.7691,0.2550,47.9966,0.0000,57.4471,-49.1753,-0.0371,0.0000
6.2000,23.1220,0.2551,48.6065,0.0000,58.1517,-49.9017,-0.0385,0.0000
6.3000,23.4736,0.2551,49.2056,0.0000,58.8438,-50.6152,-0.0399,0.0000
6.4000,23.8239,0.2552,49.7936,0.0000,59.5231,-51.3155,-0.0413,0.0000
6.5000,24.1728,0.2553,50.3702,0.0000,60.1892,-52.0023,-0.0427,0.0000
6.6000,24.5204,0.2554,50.9353,0.0000,60.8421,-52.6753,-0.0442,0.0000
6.7000,24.8665,0.2554,51.4886,0.0000,61.4813,-53.3343,-0.0456,0.0000
6.8000,25.2112,0.2555,52.0299,0.0000,62.1066,-53.9789,-0.0471,0.0000
6.9000,25.5544,0.2556,52.5590,0.0000,62.7178,-54.6090,-0.0486,0.0000
7.0000,25.8961,0.2557,53.0756,0.0000,63.3146,-55.2243,-0.0502,0.0000
7.1000,26.2362,0.2557,53.5796,0.0000,63.8968,-55.8245,-0.0517,0.0000
7.2000,26.5747,0.2558,54.0708,0.0000,64.4642,-56.4095,-0.0533,0.0000
7.3000,26.9116,0.2559,54.5489,0.0000,65.0166,-56.9789,-0.0548,0.0000
