t_s,v_kmh,P_wheel_kW,P_bus_kW,P_batt_kW,E_batt_kWh,P_regen_capt_kW
0.0000,0.2384,0.3396,2.3923,7.4902,0.0000,0.0000
0.1000,0.4768,0.7796,2.9006,6.9972,0.0002,0.0000
0.2000,0.7947,1.6338,3.8874,6.0400,0.0004,0.0000
0.3000,1.1920,2.7016,5.1210,4.8434,0.0005,0.0000
0.4000,1.5894,3.6022,6.1613,3.8343,0.0007,0.0000
0.5000,1.9867,4.5028,7.2018,2.8251,0.0007,0.0000
0.6000,2.3840,5.4034,8.2422,1.8158,0.0008,0.0000
0.7000,2.7813,6.3041,9.2827,0.8066,0.0008,0.0000
0.8000,3.1787,7.2047,10.3231,-0.2154,0.0009,0.0000
0.9000,3.5759,8.1053,11.3635,-1.2879,0.0008,0.0000
1.0000,3.9732,9.0058,12.4038,-2.3604,0.0008,0.0000
1.1000,4.3704,9.9062,13.4439,-3.4327,0.0007,0.0000
1.2000,4.7676,10.8064,14.4838,-4.5048,0.0006,0.0000
1.3000,5.1648,11.7063,15.5235,-5.5766,0.0005,0.0000
1.4000,5.5619,12.6060,16.5628,-6.6481,0.0003,0.0000
1.5000,5.9589,13.5053,17.6017,-7.7191,0.0001,0.0000
1.6000,6.3559,14.4041,18.6401,-8.7896,-0.0001,0.0000
1.7000,6.7527,15.3024,19.6778,-9.8594,-0.0004,0.0000
1.8000,7.1495,16.2001,20.7149,-10.9285,-0.0007,0.0000
1.9000,7.5462,17.0971,21.7511,-11.9968,-0.0010,0.0000
2.0000,7.9428,17.9932,22.7863,-13.0641,-0.0014,0.0000
2.1000,8.3393,18.8884,23.8205,-14.1302,-0.0017,0.0000
2.2000,8.7356,19.7825,24.8534,-15.1951,-0.0021,0.0000
2.3000,9.1317,20.6755,25.8849,-16.2585,-0.0026,0.0000
2.4000,9.5277,21.5671,26.9150,-17.3204,-0.0030,0.0000
2.5000,9.9236,22.4572,27.9433,-18.3805,-0.0035,0.0000
2.6000,10.3192,23.3458,28.9698,-19.4387,-0.0041,0.0000
2.7000,10.7146,24.2326,29.9942,-20.4949,-0.0046,0.0000
2.8000,11.1098,25.1175,31.0165,-21.5487,-0.0052,0.0000
2.9000,11.5047,26.0003,32.0363,-22.6001,-0.0058,0.0000
3.0000,11.8994,26.8808,33.0535,-23.6488,-0.0065,0.0000
3.1000,12.2937,27.7589,34.0680,-24.6946,-0.0071,0.0000
3.2000,12.6878,28.6344,35.0794,-25.7373,-0.0078,0.0000
3.3000,13.0816,29.5072,36.0876,-26.7767,-0.0086,0.0000
3.4000,13.4750,30.3769,37.0923,-27.8125,-0.0093,0.0000
3.5000,13.8680,31.2434,38.0934,-28.8445,-0.0101,0.0000
3.6000,14.2607,32.1066,39.0905,-29.8725,-0.0109,0.0000
3.7000,14.6529,32.9661,40.0835,-30.8962,-0.0118,0.0000
3.8000,15.0447,33.8219,41.0721,-31.9153,-0.0126,0.0000
3.9000,15.4361,34.6736,42.0560,-32.9297,-0.0135,0.0000
4.0000,15.8270,35.5210,43.0350,-33.9390,-0.0145,0.0000
4.1000,16.2174,36.3640,44.0088,-34.9429,-0.0154,0.0000
4.2000,16.6072,37.2023,44.9772,-35.9413,-0.0164,0.0000
4.3000,16.9966,38.0356,45.9399,-36.9337,-0.0174,0.0000
4.4000,17.3853,38.8638,46.8966,-37.9200,-0.0185,0.0000
4.5000,17.7734,39.6865,47.8470,-38.8998,-0.0195,0.0000
4.6000,18.1609,40.5035,48.7909,-39.8729,-0.0206,0.0000
4.7000,18.5478,41.3147,49.7280,-40.8389,-0.0217,0.0000
4.8000,18.9339,42.1196,50.6579,-41.7976,-0.0229,0.0000
4.9000,19.3194,42.9182,51.5804,-42.7487,-0.0241,0.0000
5.0000,19.7041,43.7101,52.4952,-43.6918,-0.0253,0.0000
5.1000,20.0880,44.4950,53.4020,-44.6266,-0.0265,0.0000
5.2000,20.4712,45.2728,54.3005,-45.5529,-0.0277,0.0000
5.3000,20.8535,46.0431,55.1904,-46.4703,-0.0290,0.0000
5.4000,21.2349,46.8058,56.0714,-47.3786,-0.0303,0.0000
5.5000,21.6155,47.5604,56.9433,-48.2774,-0.0317,0.0000
5.6000,21.9952,48.3069,57.8056,-49.1664,-0.0330,0.0000
5.7000,22.3739,49.0448,58.6581,-50.0453,-0.0344,0.0000
5.8000,22.7516,49.7741,59.5006,-50.9138,-0.0358,0.0000
5.9000,23.1283,50.4943,60.3326,-51.7716,-0.0372,0.0000
6.0000,23.5040,51.2053,61.1540,-52.6183,-0.0387,0.0000
6.1000,23.8786,51.8599,61.9101,-53.3979,-0.0401,0.0000
6.2000,24.2514,52.3764,62.5068,-54.0130,-0.0416,0.0000
6.3000,24.6210,52.7202,62.9039,-54.4224,-0.0431,0.0000
6.4000,24.9865,52.8906,63.1008,-54.6254,-0.0447,0.0000
6.5000,25.3465,52.8871,63.0969,-54.6213,-0.0462,0.0000
6.6000,25.7002,52.7604,62.9504,-54.4703,-0.0477,0.0000
6.7000,26.0472,52.5976,62.7623,-54.2764,-0.0492,0.0000
6.8000,26.3878,52.4348,62.5743,-54.0826,-0.0507,0.0000
6.9000,26.7222,52.2722,62.3865,-53.8890,-0.0522,0.0000
7.0000,27.0507,52.1097,62.1987,-53.6954,-0.0537,0.0000
7.1000,27.3736,51.9473,62.0111,-53.5019,-0.0552,0.0000
7.2000,27.6910,51.7849,61.8235,-53.3086,-0.0567,0.0000
7.3000,28.0030,51.6227,61.6361,-53.1154,-0.0581,0.0000
7.4000,28.3100,51.4605,61.4488,-52.9222,-0.0596,0.0000
7.5000,28.6120,51.2985,61.2616,-52.7293,-0.0611,0.0000
7.6000,28.9092,51.1366,61.0745,-52.5364,-0.0625,0.0000
7.7000,29.2018,50.9748,60.8876,-52.3437,-0.0640,0.0000
7.8000,29.4899,50.8131,60.7009,-52.1512,-0.0655,0.0000
7.9000,29.7736,50.6516,60.5143,-51.9589,-0.0669,0.0000
8.0000,30.0531,50.4903,60.3280,-51.7668,-0.0683,0.0000
8.1000,30.3285,50.3292,60.1418,-51.5749,-0.0698,0.0000
8.2000,30.5998,50.1683,59.9560,-51.3833,-0.0712,0.0000
8.3000,30.8673,50.0076,59.7703,-51.1919,-0.0726,0.0000
8.4000,31.1311,49.8472,59.5850,-51.0008,-0.0740,0.0000
8.5000,31.3911,49.6870,59.4000,-50.8101,-0.0755,0.0000
8.6000,31.6476,49.5271,59.2152,-50.6196,-0.0769,0.0000
8.7000,31.9005,49.3675,59.0309,-50.4296,-0.0783,0.0000
8.8000,32.1501,49.2082,58.8468,-50.2398,-0.0797,0.0000
8.9000,32.3963,49.0493,58.6632,-50.0505,-0.0811,0.0000
9.0000,32.6393,48.8906,58.4800,-49.8616,-0.0825,0.0000
9.1000,32.8791,48.7324,58.2971,-49.6731,-0.0838,0.0000
9.2000,33.1158,48.5745,58.1147,-49.4851,-0.0852,0.0000
9.3000,33.3495,48.4170,57.9328,-49.2975,-0.0866,0.0000
9.4000,33.5802,48.2599,57.7513,-49.1104,-0.0880,0.0000
9.5000,33.8081,48.1032,57.5703,-48.9239,-0.0893,0.0000
9.6000,34.0331,47.9470,57.3899,-48.7378,-0.0907,0.0000
9.7000,34.2553,47.7912,57.2099,-48.5523,-0.0920,0.0000
9.8000,34.4749,47.6359,57.0305,-48.3673,-0.0934,0.0000
9.9000,34.6917,47.4811,56.8516,-48.1829,-0.0947,0.0000
10.0000,34.9060,47.3268,56.6733,-47.9991,-0.0960,0.0000
10.1000,35.1178,47.1729,56.4956,-47.8159,-0.0974,0.0000
10.2000,35.3270,47.0196,56.3185,-47.6333,-0.0987,0.0000
10.3000,35.5338,46.8668,56.1420,-47.4513,-0.1000,0.0000
10.4000,35.7382,46.7145,55.9661,-47.2700,-0.1013,0.0000
10.5000,35.9402,46.5628,55.7908,-47.0893,-0.1026,0.0000
10.6000,36.1399,46.4117,55.6162,-46.9093,-0.1040,0.0000
10.7000,36.3374,46.2611,55.4422,-46.7299,-0.1053,0.0000
10.8000,36.5326,46.1111,55.2690,-46.5513,-0.1066,0.0000
10.9000,36.7257,45.9617,55.0963,-46.3734,-0.1078,0.0000
11.0000,36.9166,45.8129,54.9244,-46.1961,-0.1091,0.0000
11.1000,37.1054,45.6647,54.7532,-46.0196,-0.1104,0.0000
11.2000,37.2921,45.5171,54.5827,-45.8438,-0.1117,0.0000
11.3000,37.4768,45.3701,54.4129,-45.6688,-0.1130,0.0000
11.4000,37.6595,45.2238,54.2439,-45.4945,-0.1142,0.0000
11.5000,37.8402,45.0781,54.0756,-45.3210,-0.1155,0.0000
11.6000,38.0190,44.9330,53.9080,-45.1483,-0.1167,0.0000
11.7000,38.1959,44.7886,53.7412,-44.9763,-0.1180,0.0000
11.8000,38.3710,44.6449,53.5751,-44.8051,-0.1192,0.0000
11.9000,38.5441,44.5018,53.4098,-44.6347,-0.1205,0.0000
12.0000,38.7155,44.3594,53.2453,-44.4651,-0.1217,0.0000
12.1000,38.8851,44.2176,53.0816,-44.2963,-0.1229,0.0000
12.2000,39.0530,44.0766,52.9186,-44.1283,-0.1242,0.0000
12.3000,39.2191,43.9362,52.7565,-43.9611,-0.1254,0.0000
12.4000,39.3835,43.7965,52.5951,-43.7948,-0.1266,0.0000
12.5000,39.5463,43.6576,52.4345,-43.6292,-0.1278,0.0000
12.6000,39.7074,43.5193,52.2748,-43.4645,-0.1290,0.0000
12.7000,39.8668,43.3817,52.1158,-43.3007,-0.1302,0.0000
12.8000,40.0247,43.2448,51.9577,-43.1376,-0.1314,0.0000
12.9000,40.1811,43.1086,51.8004,-42.9755,-0.1326,0.0000
13.0000,40.3358,42.9732,51.6439,-42.8141,-0.1338,0.0000
13.1000,40.4891,42.8384,51.4882,-42.6536,-0.1350,0.0000
13.2000,40.6408,42.7044,51.3334,-42.4940,-0.1362,0.0000
13.3000,40.7910,42.5711,51.1794,-42.3352,-0.1374,0.0000
13.4000,40.9398,42.4385,51.0262,-42.1773,-0.1386,0.0000
13.5000,41.0872,42.3066,50.8739,-42.0203,-0.1397,0.0000
13.6000,41.2331,42.1754,50.7224,-41.8641,-0.1409,0.0000
13.7000,41.3776,42.0450,50.5717,-41.7088,-0.1421,0.0000
13.8000,41.5208,41.9153,50.4219,-41.5543,-0.1432,0.0000
13.9000,41.6626,41.7864,50.2729,-41.4007,-0.1444,0.0000
14.0000,41.8030,41.6581,50.1247,-41.2480,-0.1455,0.0000
14.1000,41.9421,41.5306,49.9774,-41.0961,-0.1467,0.0000
14.2000,42.0799,41.4038,49.8310,-40.9451,-0.1478,0.0000
14.3000,42.2164,41.2778,49.6854,-40.7950,-0.1489,0.0000
14.4000,42.3517,41.1525,49.5406,-40.6458,-0.1501,0.0000
14.5000,42.4856,41.0279,49.3967,-40.4974,-0.1512,0.0000
14.6000,42.6184,40.9040,49.2536,-40.3499,-0.1523,0.0000
14.7000,42.7499,40.7809,49.1114,-40.2033,-0.1534,0.0000
14.8000,42.8802,40.6585,48.9700,-40.0575,-0.1545,0.0000
14.9000,43.0093,40.5369,48.8294,-39.9126,-0.1557,0.0000
15.0000,43.1373,40.4159,48.6897,-39.7686,-0.1568,0.0000
15.1000,43.2641,40.2957,48.5509,-39.6254,-0.1579,0.0000
15.2000,43.3897,40.1763,48.4128,-39.4831,-0.1590,0.0000
15.3000,43.5142,40.0575,48.2757,-39.3417,-0.1601,0.0000
15.4000,43.6376,39.9395,48.1393,-39.2012,-0.1611,0.0000
15.5000,43.7598,39.8222,48.0038,-39.0615,-0.1622,0.0000
15.6000,43.8810,39.7056,47.8692,-38.9226,-0.1633,0.0000
15.7000,44.0011,39.5898,47.7353,-38.7847,-0.1644,0.0000
15.8000,44.1202,39.4746,47.6023,-38.6475,-0.1655,0.0000
15.9000,44.2382,39.3602,47.4701,-38.5113,-0.1665,0.0000
16.0000,44.3551,39.2465,47.3388,-38.3759,-0.1676,0.0000
16.1000,44.4711,39.1336,47.2083,-38.2413,-0.1687,0.0000
16.2000,44.5860,39.0213,47.0786,-38.1076,-0.1697,0.0000
16.3000,44.6999,38.9097,46.9497,-37.9748,-0.1708,0.0000
16.4000,44.8128,38.7989,46.8217,-37.8428,-0.1718,0.0000
16.5000,44.9247,38.6888,46.6944,-37.7116,-0.1729,0.0000
16.6000,45.0357,38.5793,46.5680,-37.5813,-0.1739,0.0000
16.7000,45.1457,38.4706,46.4424,-37.4518,-0.1750,0.0000
16.8000,45.2548,38.3626,46.3176,-37.3231,-0.1760,0.0000
16.9000,45.3629,38.2553,46.1936,-37.1953,-0.1771,0.0000
17.0000,45.4702,38.1486,46.0705,-37.0683,-0.1781,0.0000
17.1000,45.5765,38.0427,45.9481,-36.9421,-0.1791,0.0000
17.2000,45.6819,37.9374,45.8265,-36.8168,-0.1801,0.0000
17.3000,45.7864,37.8329,45.7057,-36.6923,-0.1812,0.0000
17.4000,45.8900,37.7290,45.5857,-36.5686,-0.1822,0.0000
17.5000,45.9928,37.6258,45.4665,-36.4457,-0.1832,0.0000
17.6000,46.0947,37.5233,45.3481,-36.3236,-0.1842,0.0000
17.7000,46.1957,37.4215,45.2304,-36.2023,-0.1852,0.0000
17.8000,46.2959,38.4551,46.4245,-37.4333,-0.1862,0.0000
17.9000,46.4045,40.6615,48.9734,-40.0610,-0.1873,0.0000
18.0000,46.5218,42.9295,51.5935,-42.7622,-0.1885,0.0000
18.1000,46.6477,45.1197,54.1237,-45.3706,-0.1897,0.0000
18.2000,46.7815,47.0766,56.3843,-47.7011,-0.1910,0.0000
18.3000,46.9220,47.6408,57.0362,-48.3732,-0.1923,0.0000
18.4000,47.0589,46.7805,56.0423,-47.3485,-0.1936,0.0000
18.5000,47.1911,45.6314,54.7147,-45.9800,-0.1949,0.0000
18.6000,47.3175,44.3455,53.2293,-44.4486,-0.1962,0.0000
18.7000,47.4382,43.0910,51.7801,-42.9545,-0.1974,0.0000
18.8000,47.5535,41.8865,50.3886,-41.5200,-0.1986,0.0000
18.9000,47.6636,40.7304,49.0530,-40.1431,-0.1997,0.0000
19.0000,47.7687,39.6209,47.7713,-38.8218,-0.2008,0.0000
19.1000,47.8691,38.5370,46.5191,-37.5309,-0.2019,0.0000
19.2000,47.9649,37.4972,45.3179,-36.2925,-0.2029,0.0000
19.3000,48.0563,36.5196,44.1886,-35.1282,-0.2039,0.0000
19.4000,48.1436,35.5823,43.1058,-34.0120,-0.2048,0.0000
19.5000,48.2270,34.6839,42.0679,-32.9420,-0.2058,0.0000
19.6000,48.3066,33.8019,41.0489,-31.8915,-0.2067,0.0000
19.7000,48.3825,32.9515,40.0666,-30.8788,-0.2076,0.0000
19.8000,48.4549,32.1579,39.1497,-29.9336,-0.2084,0.0000
19.9000,48.5241,31.4025,38.2772,-29.0340,-0.2092,0.0000
20.0000,48.5902,30.6791,37.4414,-28.1724,-0.2100,0.0000
20.1000,48.6532,30.0272,36.6884,-27.3960,-0.2108,0.0000
20.2000,48.7138,29.4083,35.9734,-26.6589,-0.2115,0.0000
20.3000,48.7717,28.7747,35.2414,-25.9043,-0.2123,0.0000
20.4000,48.8270,28.1632,34.5349,-25.1760,-0.2130,0.0000
20.5000,48.8797,27.5778,33.8587,-24.4789,-0.2137,0.0000
20.6000,48.9302,27.0175,33.2115,-23.8116,-0.2143,0.0000
20.7000,48.9783,26.4814,32.5921,-23.1731,-0.2150,0.0000
20.8000,49.0243,25.9683,31.9994,-22.5620,-0.2156,0.0000
20.9000,49.0682,25.4774,31.4323,-21.9774,-0.2162,0.0000
21.0000,49.1101,25.0077,30.8897,-21.4180,-0.2168,0.0000
21.1000,49.1502,24.5584,30.3706,-20.8829,-0.2174,0.0000
21.2000,49.1884,24.1286,29.8741,-20.3711,-0.2180,0.0000
21.3000,49.2249,23.7175,29.3992,-19.8815,-0.2186,0.0000
21.4000,49.2598,23.3244,28.9450,-19.4132,-0.2191,0.0000
21.5000,49.2931,22.9483,28.5106,-18.9654,-0.2196,0.0000
21.6000,49.3249,22.5887,28.0952,-18.5371,-0.2202,0.0000
21.7000,49.3553,22.2449,27.6980,-18.1276,-0.2207,0.0000
21.8000,49.3843,21.9161,27.3181,-17.7360,-0.2212,0.0000
21.9000,49.4120,21.6017,26.9550,-17.3616,-0.2217,0.0000
22.0000,49.4385,21.3012,26.6078,-17.0037,-0.2221,0.0000
22.1000,49.4637,21.0138,26.2758,-16.6615,-0.2226,0.0000
22.2000,49.4879,20.6140,25.8139,-16.1853,-0.2231,0.0000
22.3000,49.5100,19.9226,25.0152,-15.3619,-0.2235,0.0000
22.4000,49.5287,18.9639,23.9077,-14.2201,-0.2239,0.0000
22.5000,49.5434,18.0347,22.8342,-13.1134,-0.2243,0.0000
22.6000,49.5550,17.4509,22.1599,-12.4182,-0.2246,0.0000
22.7000,49.5652,17.2191,21.8921,-12.1422,-0.2250,0.0000
22.8000,49.5749,17.4228,22.1274,-12.3847,-0.2253,0.0000
22.9000,49.5866,18.0165,22.8132,-13.0918,-0.2257,0.0000
23.0000,49.6009,18.3468,23.1948,-13.4852,-0.2260,0.0000
23.1000,49.6150,18.1439,22.9604,-13.2435,-0.2264,0.0000
23.2000,49.6276,17.8226,22.5892,-12.8608,-0.2268,0.0000
23.3000,49.6393,17.4029,22.1043,-12.3610,-0.2271,0.0000
23.4000,49.6486,16.8862,21.5075,-11.7456,-0.2275,0.0000
23.5000,49.6563,16.7502,21.3504,-11.5837,-0.2278,0.0000
23.6000,49.6646,16.8000,21.4079,-11.6430,-0.2281,0.0000
23.7000,49.6726,16.4899,21.0497,-11.2737,-0.2284,0.0000
23.8000,49.6785,15.9850,20.4664,-10.6724,-0.2287,0.0000
23.9000,49.6826,15.4666,19.8674,-10.0549,-0.2290,0.0000
24.0000,49.6846,14.7973,19.0943,-9.2578,-0.2293,0.0000
24.1000,49.6836,14.2720,18.4875,-8.6323,-0.2295,0.0000
24.2000,49.6816,14.3869,18.6201,-8.7690,-0.2298,0.0000
24.3000,49.6815,14.8629,19.1701,-9.3360,-0.2300,0.0000
24.4000,49.6831,15.4034,19.7944,-9.9796,-0.2303,0.0000
24.5000,49.6871,16.1866,20.6992,-10.9124,-0.2306,0.0000
24.6000,49.6947,16.9771,21.6124,-11.8538,-0.2309,0.0000
24.7000,49.7046,17.4065,22.1085,-12.3653,-0.2312,0.0000
24.8000,49.7154,17.6558,22.3965,-12.6621,-0.2316,0.0000
24.9000,49.7272,17.8589,22.6311,-12.9040,-0.2319,0.0000
25.0000,49.7394,17.8523,22.6235,-12.8962,-0.2323,0.0000
25.1000,49.7512,17.7243,22.4756,-12.7437,-0.2327,0.0000
25.2000,49.7624,17.5953,22.3267,-12.5902,-0.2330,0.0000
25.3000,49.7731,17.4721,22.1843,-12.4434,-0.2334,0.0000
25.4000,49.7833,17.3544,22.0483,-12.3033,-0.2337,0.0000
25.5000,49.7930,17.2420,21.9184,-12.1693,-0.2340,0.0000
25.6000,49.8023,17.1345,21.7943,-12.0414,-0.2344,0.0000
25.7000,49.8112,17.0319,21.6757,-11.9191,-0.2347,0.0000
25.8000,49.8197,16.9338,21.5625,-11.8023,-0.2350,0.0000
25.9000,49.8278,16.8401,21.4542,-11.6908,-0.2354,0.0000
26.0000,49.8356,16.7506,21.3509,-11.5842,-0.2357,0.0000
26.1000,49.8430,16.6652,21.2521,-11.4824,-0.2360,0.0000
26.2000,49.8500,16.5835,21.1578,-11.3851,-0.2363,0.0000
26.3000,49.8568,16.5055,21.0676,-11.2922,-0.2366,0.0000
