rpm,T_peak_432V_Nm,T_peak_662V_Nm,T_peak_749V_Nm,T_contelec_662V_Nm,T_cont_oilspray_662V_Nm,T_cont_jacket_662V_Nm
0,529.5,529.5,529.5,515.1,529.5,364.6
250,529.5,529.5,529.5,515.1,529.5,363.7
500,529.5,529.5,529.5,515.1,529.5,362.4
750,529.5,529.5,529.5,515.1,529.5,360.8
1000,529.5,529.5,529.5,515.1,529.5,358.9
1250,529.5,529.5,529.5,515.1,529.5,356.6
1500,529.5,529.5,529.5,515.1,529.5,354.1
1750,529.5,529.5,529.5,515.1,529.5,351.2
2000,512.8,529.5,529.5,515.1,529.5,348.1
2250,480.4,529.5,529.5,515.1,529.5,344.8
2500,446.5,529.5,529.5,515.1,529.5,341.2
2750,413.5,529.3,529.5,515.1,529.2,337.4
3000,383.4,519.2,529.5,507.8,517.3,333.4
3250,355.6,501.2,526.1,491.1,496.5,329.2
3500,330.8,479.6,513.1,471.4,473.0,324.9
3750,308.2,457.7,496.1,450.1,449.1,320.3
4000,287.6,435.7,476.7,429.7,425.8,312.5
4250,269.0,414.3,457.7,409.1,403.7,302.6
4500,251.9,394.4,438.0,390.3,382.9,291.7
4750,236.4,375.6,419.5,371.9,363.5,280.6
5000,222.6,358.3,401.8,354.4,345.4,269.5
5250,210.4,341.6,384.4,338.6,328.7,258.7
5500,199.4,325.9,368.6,323.5,313.2,248.3
5750,189.5,311.5,352.9,309.3,298.8,238.3
6000,180.6,298.1,339.1,296.2,285.4,228.8
6250,172.5,285.1,325.4,283.6,273.1,219.8
6500,165.1,273.0,312.3,272.2,261.6,211.1
6750,158.3,261.6,300.5,261.0,250.9,203.0
7000,152.1,250.8,288.8,250.6,240.9,195.2
7250,146.3,240.6,277.9,240.6,231.6,187.8
