quantity,VOLT-SUB_V1,VOLT-REG_V2_iMMD_approx
v_dc,662.4,662.4
ratio,10.0,10.0
decimate,1,1
duration_h,0.9681,1.8373
stand_frac,0.4557,0.085
lockup_frac,0.0,0.7009
E_shaft_mot_kWh,9.1905,7.4844
E_dc_mot_kWh,9.986,8.0621
E_shaft_gen_kWh,3.2182,4.1072
E_dc_gen_kWh,2.9271,3.7277
E_loss_mach_kWh,0.9422,0.8501
E_loss_inv_kWh,0.1709,0.1164
E_spin_shaft_kWh,0.0,1.4851
E_spin_bus_kWh,0.0,0.5017
E_rollspin_shaft_kWh,0.0002,0.0002
E_rollspin_bus_kWh,0.0006,0.0004
n_infeasible,0,0
eta_mot_avg,0.9203,0.9284
eta_gen_avg,0.9095,0.9076
mean_heat_kW,1.1506,1.6077
