case,v_kmh,P_adhesion_kW,P_usable_kW,binding
gvw_mu0.8,5,38.1,38.1,adhesion
gvw_mu0.8,10,76.1,75.0,75kW cap
gvw_mu0.8,20,152.2,75.0,75kW cap
gvw_mu0.8,30,228.4,75.0,75kW cap
gvw_mu0.8,40,304.5,75.0,75kW cap
gvw_mu0.8,50,380.6,75.0,75kW cap
gvw_mu0.8,60,456.7,75.0,75kW cap
gvw_mu0.8,70,532.9,75.0,75kW cap
gvw_mu0.8,80,609.0,75.0,75kW cap
gvw_mu0.5,5,25.6,25.6,adhesion
gvw_mu0.5,10,51.1,51.1,adhesion
gvw_mu0.5,20,102.3,75.0,75kW cap
gvw_mu0.5,30,153.4,75.0,75kW cap
gvw_mu0.5,40,204.6,75.0,75kW cap
gvw_mu0.5,50,255.7,75.0,75kW cap
gvw_mu0.5,60,306.9,75.0,75kW cap
gvw_mu0.5,70,358.0,75.0,75kW cap
gvw_mu0.5,80,409.2,75.0,75kW cap
gvw_mu0.3,5,16.2,16.2,adhesion
gvw_mu0.3,10,32.3,32.3,adhesion
gvw_mu0.3,20,64.6,64.6,adhesion
gvw_mu0.3,30,96.9,75.0,75kW cap
gvw_mu0.3,40,129.2,75.0,75kW cap
gvw_mu0.3,50,161.5,75.0,75kW cap
gvw_mu0.3,60,193.8,75.0,75kW cap
gvw_mu0.3,70,226.1,75.0,75kW cap
gvw_mu0.3,80,258.4,75.0,75kW cap
curb_mu0.8,5,16.3,16.3,adhesion
curb_mu0.8,10,32.5,32.5,adhesion
curb_mu0.8,20,65.0,65.0,adhesion
curb_mu0.8,30,97.6,75.0,75kW cap
curb_mu0.8,40,130.1,75.0,75kW cap
curb_mu0.8,50,162.6,75.0,75kW cap
curb_mu0.8,60,195.1,75.0,75kW cap
curb_mu0.8,70,227.7,75.0,75kW cap
curb_mu0.8,80,260.2,75.0,75kW cap
curb_mu0.5,5,10.8,10.8,adhesion
curb_mu0.5,10,21.6,21.6,adhesion
curb_mu0.5,20,43.2,43.2,adhesion
curb_mu0.5,30,64.9,64.9,adhesion
curb_mu0.5,40,86.5,75.0,75kW cap
curb_mu0.5,50,108.1,75.0,75kW cap
curb_mu0.5,60,129.7,75.0,75kW cap
curb_mu0.5,70,151.4,75.0,75kW cap
curb_mu0.5,80,173.0,75.0,75kW cap
curb_mu0.3,5,6.8,6.8,adhesion
curb_mu0.3,10,13.6,13.6,adhesion
curb_mu0.3,20,27.1,27.1,adhesion
curb_mu0.3,30,40.7,40.7,adhesion
curb_mu0.3,40,54.2,54.2,adhesion
curb_mu0.3,50,67.8,67.8,adhesion
curb_mu0.3,60,81.3,75.0,75kW cap
curb_mu0.3,70,94.9,75.0,75kW cap
curb_mu0.3,80,108.4,75.0,75kW cap
