t_s,T_winding_C,T_stator_C,T_rotor_C
10.0,83.8,68.9,80.01
20.0,84.87,69.25,80.4
30.0,85.78,69.55,80.79
40.0,86.58,69.79,81.17
50.0,87.26,70.01,81.56
60.0,87.85,70.19,81.93
70.0,88.35,70.34,82.31
80.0,88.79,70.47,82.67
90.0,89.16,70.59,83.03
100.0,89.48,70.68,83.39
110.0,89.76,70.77,83.73
120.0,90.0,70.84,84.07
130.0,90.2,70.9,84.41
140.0,90.38,70.96,84.74
150.0,90.53,71.01,85.06
160.0,90.66,71.05,85.37
170.0,90.78,71.09,85.68
180.0,90.88,71.12,85.98
190.0,90.96,71.15,86.27
200.0,91.04,71.18,86.56
210.0,91.1,71.2,86.84
220.0,91.16,71.22,87.11
230.0,91.21,71.24,87.38
240.0,91.25,71.26,87.64
250.0,91.29,71.27,87.9
260.0,91.32,71.29,88.15
270.0,91.35,71.3,88.39
280.0,91.38,71.31,88.63
290.0,91.4,71.32,88.86
300.0,91.42,71.34,89.09
310.0,91.44,71.35,89.31
320.0,91.46,71.35,89.53
330.0,91.48,71.36,89.74
340.0,91.49,71.37,89.95
350.0,91.51,71.38,90.15
360.0,91.52,71.39,90.34
370.0,91.53,71.39,90.54
380.0,91.54,71.4,90.72
390.0,91.55,71.41,90.91
400.0,91.56,71.41,91.08
410.0,91.57,71.42,91.26
420.0,91.58,71.43,91.43
430.0,91.58,71.43,91.6
440.0,91.59,71.44,91.76
450.0,91.6,71.44,91.92
460.0,91.61,71.45,92.07
470.0,91.61,71.45,92.22
480.0,91.62,71.46,92.37
490.0,91.63,71.46,92.51
500.0,91.63,71.47,92.65
510.0,91.64,71.47,92.79
520.0,91.64,71.48,92.92
530.0,91.65,71.48,93.05
540.0,91.65,71.48,93.18
550.0,91.66,71.49,93.31
560.0,91.66,71.49,93.43
570.0,91.67,71.5,93.55
580.0,91.67,71.5,93.66
590.0,91.68,71.5,93.77
600.0,91.68,71.51,93.88
