t_s,T_winding_C,T_stator_C,T_rotor_C
10.0,94.42,68.32,79.55
20.0,105.4,68.35,79.49
30.0,115.6,68.51,79.43
40.0,125.09,68.76,79.37
50.0,133.94,69.08,79.32
60.0,142.19,69.44,79.29
70.0,149.88,69.82,79.26
80.0,157.07,70.22,79.24
90.0,163.79,70.62,79.24
100.0,170.07,71.01,79.24
110.0,175.95,71.4,79.25
120.0,181.44,71.78,79.27
130.0,186.58,72.14,79.3
140.0,191.4,72.48,79.34
150.0,195.9,72.81,79.39
160.0,200.12,73.13,79.44
170.0,204.07,73.42,79.5
180.0,207.77,73.7,79.57
190.0,211.24,73.97,79.64
200.0,214.49,74.22,79.71
210.0,217.53,74.46,79.79
220.0,220.37,74.68,79.87
230.0,223.04,74.89,79.96
240.0,225.54,75.09,80.05
250.0,227.89,75.27,80.14
260.0,230.08,75.44,80.23
270.0,232.14,75.61,80.33
280.0,234.06,75.76,80.42
290.0,235.87,75.91,80.52
300.0,237.56,76.04,80.62
310.0,239.14,76.17,80.72
320.0,240.63,76.29,80.82
330.0,242.02,76.4,80.92
340.0,243.32,76.5,81.02
350.0,244.54,76.6,81.12
360.0,245.69,76.7,81.22
370.0,246.76,76.78,81.33
380.0,247.77,76.87,81.43
390.0,248.71,76.94,81.53
400.0,249.59,77.01,81.62
410.0,250.42,77.08,81.72
420.0,251.2,77.15,81.82
430.0,251.92,77.21,81.92
440.0,252.61,77.26,82.01
450.0,253.25,77.32,82.11
460.0,253.84,77.36,82.2
470.0,254.41,77.41,82.29
480.0,254.93,77.46,82.39
490.0,255.42,77.5,82.48
500.0,255.89,77.54,82.57
510.0,256.32,77.57,82.65
520.0,256.73,77.61,82.74
530.0,257.11,77.64,82.82
540.0,257.46,77.67,82.91
550.0,257.8,77.7,82.99
560.0,258.11,77.73,83.07
570.0,258.41,77.75,83.15
580.0,258.68,77.77,83.23
590.0,258.94,77.8,83.31
600.0,259.19,77.82,83.38
610.0,259.41,77.84,83.46
620.0,259.63,77.86,83.53
630.0,259.83,77.87,83.6
640.0,260.02,77.89,83.67
650.0,260.19,77.91,83.74
660.0,260.36,77.92,83.81
670.0,260.51,77.94,83.87
680.0,260.66,77.95,83.94
690.0,260.79,77.96,84.0
700.0,260.92,77.97,84.07
710.0,261.04,77.98,84.13
720.0,261.16,78.0,84.19
730.0,261.26,78.01,84.25
740.0,261.36,78.01,84.3
750.0,261.45,78.02,84.36
760.0,261.54,78.03,84.41
770.0,261.62,78.04,84.47
780.0,261.7,78.05,84.52
790.0,261.77,78.05,84.57
800.0,261.84,78.06,84.62
810.0,261.91,78.07,84.67
820.0,261.97,78.07,84.72
830.0,262.02,78.08,84.77
840.0,262.08,78.09,84.82
850.0,262.12,78.09,84.86
860.0,262.17,78.1,84.91
870.0,262.22,78.1,84.95
880.0,262.26,78.1,84.99
890.0,262.3,78.11,85.03
900.0,262.33,78.11,85.07
910.0,262.37,78.12,85.11
920.0,262.4,78.12,85.15
930.0,262.43,78.12,85.19
940.0,262.46,78.13,85.23
950.0,262.49,78.13,85.26
960.0,262.51,78.13,85.3
970.0,262.53,78.14,85.33
980.0,262.56,78.14,85.37
990.0,262.58,78.14,85.4
1000.0,262.6,78.14,85.43
1010.0,262.62,78.15,85.46
1020.0,262.63,78.15,85.49
1030.0,262.65,78.15,85.52
1040.0,262.67,78.15,85.55
1050.0,262.68,78.15,85.58
1060.0,262.7,78.16,85.61
1070.0,262.71,78.16,85.64
1080.0,262.72,78.16,85.66
1090.0,262.73,78.16,85.69
1100.0,262.74,78.16,85.72
1110.0,262.75,78.16,85.74
1120.0,262.76,78.17,85.77
1130.0,262.77,78.17,85.79
1140.0,262.78,78.17,85.81
1150.0,262.79,78.17,85.84
1160.0,262.8,78.17,85.86
1170.0,262.81,78.17,85.88
1180.0,262.81,78.17,85.9
1190.0,262.82,78.17,85.92
1200.0,262.83,78.18,85.94
1210.0,262.83,78.18,85.96
1220.0,262.84,78.18,85.98
1230.0,262.84,78.18,86.0
1240.0,262.85,78.18,86.02
1250.0,262.85,78.18,86.04
1260.0,262.86,78.18,86.05
1270.0,262.86,78.18,86.07
1280.0,262.87,78.18,86.09
1290.0,262.87,78.18,86.1
1300.0,262.87,78.18,86.12
1310.0,262.88,78.19,86.13
1320.0,262.88,78.19,86.15
1330.0,262.88,78.19,86.16
1340.0,262.89,78.19,86.18
1350.0,262.89,78.19,86.19
1360.0,262.89,78.19,86.21
1370.0,262.89,78.19,86.22
1380.0,262.9,78.19,86.23
1390.0,262.9,78.19,86.25
1400.0,262.9,78.19,86.26
1410.0,262.9,78.19,86.27
1420.0,262.91,78.19,86.28
1430.0,262.91,78.19,86.29
1440.0,262.91,78.19,86.31
1450.0,262.91,78.19,86.32
1460.0,262.91,78.19,86.33
1470.0,262.92,78.19,86.34
1480.0,262.92,78.19,86.35
1490.0,262.92,78.19,86.36
1500.0,262.92,78.19,86.37
1510.0,262.92,78.2,86.38
1520.0,262.92,78.2,86.39
