# Project Volt WS3 - pack regen-acceptance vs cell temperature
# at SOC 55% (target); SOC dependence via capability maps in results.json
T_cell_C,chg_accept_cont_C,chg_accept_pulse10s_C,V2pack_chg_cont_kW_bus,V2pack_chg_pulse10s_kW_bus,V2pack_chg_cont_kW_wheel_equiv,V1light_chg_cont_kW_bus
-30.000,1.000,2.000,15.841,33.358,18.300,6.617
-25.000,1.500,3.000,24.126,51.496,27.872,9.966
-20.000,2.000,4.000,32.420,69.666,37.453,13.316
-15.000,3.000,6.000,49.686,99.195,57.399,20.092
-10.000,4.000,8.000,66.985,118.271,77.383,26.872
-5.000,5.000,10.000,84.444,136.669,97.552,33.669
0.000,6.000,12.000,101.483,161.845,117.236,40.420
5.000,7.000,12.000,118.573,186.367,136.979,47.176
10.000,8.000,12.000,135.043,213.826,156.005,53.863
15.000,8.000,12.000,133.613,210.608,154.353,53.703
20.000,8.000,12.000,132.183,207.391,152.701,53.543
25.000,8.000,12.000,130.752,204.173,151.049,53.384
30.000,8.000,12.000,130.350,203.268,150.585,53.339
35.000,8.000,12.000,129.948,202.363,150.120,53.294
40.000,8.000,12.000,129.546,201.458,149.655,53.249
45.000,8.000,12.000,129.144,200.553,149.191,53.204
50.000,6.000,12.000,95.048,200.151,109.802,39.701
55.000,4.000,8.000,62.203,128.786,71.859,26.337
60.000,0.000,0.000,0.000,0.000,0.000,0.000
