# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: 4HK1-TC-ref-W  (baseline reference curve 700 Nm @ 1,600 rpm / ~153 kW)
# displacement_l: 5.193, eta_i0: 0.448, fmep_bar(a0,a1,a2): (0.75, 0.28, 0.075), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
700,1.0000,8430.3
700,10.3200,997.0
700,19.6400,618.0
700,28.9600,482.5
700,38.2800,412.8
700,47.6000,370.1
700,56.9200,341.3
700,66.2400,320.4
700,75.5600,304.5
700,84.8800,292.0
700,94.2000,281.9
700,103.5200,273.4
700,112.8400,266.3
700,122.1600,260.2
700,131.4800,254.9
700,140.8000,250.3
700,150.1200,246.1
700,159.4400,242.4
700,168.7600,239.0
700,178.0800,236.4
700,187.4000,234.2
700,196.7200,232.3
700,206.0400,230.5
700,215.3600,228.8
700,224.6800,227.3
700,234.0000,225.9
700,243.3200,224.7
700,252.6400,223.5
700,261.9600,222.4
700,271.2800,221.3
700,280.6000,220.4
700,289.9200,219.5
700,299.2400,218.7
700,308.5600,217.9
700,317.8800,217.1
700,327.2000,217.3
700,336.5200,218.5
700,345.8400,219.8
700,355.1600,221.1
700,364.4800,222.5
700,373.8000,223.9
725,1.0000,8499.5
725,10.3200,1003.5
725,19.6400,621.3
725,28.9600,484.8
725,38.2800,414.5
725,47.6000,371.5
725,56.9200,342.4
725,66.2400,321.3
725,75.5600,305.4
725,84.8800,292.8
725,94.2000,282.6
725,103.5200,274.1
725,112.8400,267.0
725,122.1600,260.8
725,131.4800,255.5
725,140.8000,250.8
725,150.1200,246.7
725,159.4400,242.9
725,168.7600,239.5
725,178.0800,236.5
725,187.4000,234.3
725,196.7200,232.3
725,206.0400,230.5
725,215.3600,228.9
725,224.6800,227.3
725,234.0000,226.0
725,243.3200,224.7
725,252.6400,223.5
725,261.9600,222.4
725,271.2800,221.3
725,280.6000,220.4
725,289.9200,219.5
725,299.2400,218.6
725,308.5600,217.8
725,317.8800,217.1
725,327.2000,216.4
725,336.5200,216.1
725,345.8400,217.3
725,355.1600,218.5
725,364.4800,219.8
725,373.8000,221.1
725,383.1200,222.5
725,392.4400,223.9
750,1.0000,8569.7
750,10.3200,1010.2
750,19.6400,624.7
750,28.9600,487.1
750,38.2800,416.2
750,47.6000,372.8
750,56.9200,343.5
750,66.2400,322.3
750,75.5600,306.2
750,84.8800,293.5
750,94.2000,283.3
750,103.5200,274.8
750,112.8400,267.6
750,122.1600,261.4
750,131.4800,256.1
750,140.8000,251.4
750,150.1200,247.2
750,159.4400,243.4
750,168.7600,240.0
750,178.0800,237.0
750,187.4000,234.4
750,196.7200,232.4
750,206.0400,230.6
750,215.3600,228.9
750,224.6800,227.4
750,234.0000,226.0
750,243.3200,224.7
750,252.6400,223.5
750,261.9600,222.4
750,271.2800,221.3
750,280.6000,220.3
750,289.9200,219.4
750,299.2400,218.6
750,308.5600,217.8
750,317.8800,217.0
750,327.2000,216.3
750,336.5200,215.6
750,345.8400,215.0
750,355.1600,216.2
750,364.4800,217.3
750,373.8000,218.6
750,383.1200,219.8
750,392.4400,221.2
750,401.7600,222.5
775,1.0000,8640.8
775,10.3200,1016.9
775,19.6400,628.2
775,28.9600,489.4
775,38.2800,417.9
775,47.6000,374.2
775,56.9200,344.7
775,66.2400,323.3
775,75.5600,307.1
775,84.8800,294.3
775,94.2000,284.0
