# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: 4HK1-V2C-W  (4HK1-TC recalibrated: 750 Nm @ 1,400 rpm, 132 kW continuous)
# displacement_l: 5.193, eta_i0: 0.448, fmep_bar(a0,a1,a2): (0.75, 0.28, 0.075), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
700,1.0000,8431.0
700,10.9867,949.4
700,20.9733,592.3
700,30.9600,465.3
700,40.9467,400.0
700,50.9333,360.1
700,60.9200,333.2
700,70.9067,313.7
700,80.8933,299.0
700,90.8800,287.3
700,100.8667,277.9
700,110.8533,270.2
700,120.8400,263.6
700,130.8267,258.0
700,140.8133,253.1
700,150.8000,248.8
700,160.7867,245.0
700,170.7733,241.6
700,180.7600,238.5
700,190.7467,235.7
700,200.7333,233.1
700,210.7200,230.8
700,220.7067,228.6
700,230.6933,226.6
700,240.6800,225.0
700,250.6667,223.7
700,260.6533,222.5
700,270.6400,221.4
700,280.6267,220.4
700,290.6133,219.4
700,300.6000,218.5
700,310.5867,217.7
700,320.5733,216.9
700,330.5600,216.2
700,340.5467,215.5
700,350.5333,214.8
700,360.5200,214.2
700,370.5067,213.6
700,380.4933,213.1
700,390.4800,212.5
700,400.4667,212.0
700,410.4533,211.6
700,420.4400,211.1
700,430.4267,210.7
700,440.4133,210.3
700,450.4000,211.1
700,460.3867,212.1
700,470.3733,213.2
700,480.3600,214.3
700,490.3467,215.5
700,500.3333,216.7
700,510.3200,217.9
725,1.0000,8500.2
725,10.9867,955.5
725,20.9733,595.4
725,30.9600,467.3
725,40.9467,401.5
725,50.9333,361.3
725,60.9200,334.1
725,70.9067,314.5
725,80.8933,299.6
725,90.8800,287.9
725,100.8667,278.5
725,110.8533,270.6
725,120.8400,264.0
725,130.8267,258.4
725,140.8133,253.5
725,150.8000,249.1
725,160.7867,245.3
725,170.7733,241.9
725,180.7600,238.8
725,190.7467,236.0
725,200.7333,233.4
725,210.7200,231.1
725,220.7067,228.9
725,230.6933,226.8
725,240.6800,225.0
725,250.6667,223.7
725,260.6533,222.5
725,270.6400,221.4
725,280.6267,220.4
725,290.6133,219.4
725,300.6000,218.5
725,310.5867,217.6
725,320.5733,216.9
725,330.5600,216.1
725,340.5467,215.4
725,350.5333,214.7
725,360.5200,214.1
725,370.5067,213.5
725,380.4933,213.0
725,390.4800,212.4
725,400.4667,211.9
725,410.4533,211.5
725,420.4400,211.0
725,430.4267,210.6
725,440.4133,210.2
725,450.4000,209.8
725,460.3867,210.6
725,470.3733,211.6
725,480.3600,212.7
725,490.3467,213.7
725,500.3333,214.9
725,510.3200,216.0
725,520.3067,217.2
725,530.2933,218.4
750,1.0000,8570.3
750,10.9867,961.7
750,20.9733,598.5
750,30.9600,469.3
750,40.9467,403.0
750,50.9333,362.5
750,60.9200,335.1
750,70.9067,315.3
750,80.8933,300.3
750,90.8800,288.6
750,100.8667,279.0
750,110.8533,271.1
750,120.8400,264.5
750,130.8267,258.8
750,140.8133,253.8
750,150.8000,249.5
750,160.7867,245.7
750,170.7733,242.2
750,180.7600,239.1
750,190.7467,236.3
750,200.7333,233.7
750,210.7200,231.3
750,220.7067,229.1
750,230.6933,227.1
750,240.6800,225.2
750,250.6667,223.7
750,260.6533,222.5
750,270.6400,221.4
750,280.6267,220.3
750,290.6133,219.4
750,300.6000,218.4
750,310.5867,217.6
750,320.5733,216.8
750,330.5600,216.1
