# WS4-CONSTRUCTED PM generator efficiency map (shaft -> DC bus, incl. active rectifier) - NOT measured
# generator: GEN-V1 IPM 60, cont 60.0 kW shaft in, loss model c_h=0.3, c_e=0.4, k_cu=0.199 kW/(100Nm)^2, pe0=0.15 kW + 1% of P_elec
# G1-R/R10 restatement: DC side on the pack-native window (662.4 V nominal, 432.0-748.8 V operating, 777.6 V 10-s transient), 1200 V-class SiC rectifier devices; loss coefficients carried unchanged at the new window [WS4-DECLARED, confirm at procurement]. Per R12 this genset-side rectifier/conditioning stage lives in WS4's ledger; no scalar PE member exists on the traction side.
rpm,p_shaft_kW,eta_shaft_to_bus
600,2.0,0.8344
600,3.8,0.8940
600,5.5,0.9099
600,7.3,0.9137
600,9.1,0.9127
600,10.9,0.9090
600,12.6,0.9040
600,14.4,0.8980
600,16.2,0.8913
600,18.0,0.8843
600,19.7,0.8769
600,21.5,0.8692
600,23.3,0.8614
600,25.0,0.8535
600,26.8,0.8454
600,28.6,0.8372
600,30.4,0.8290
600,32.1,0.8206
600,33.9,0.8123
600,35.7,0.8039
600,37.5,0.7954
600,39.2,0.7869
600,41.0,0.7784
600,42.8,0.7698
600,44.5,0.7612
600,46.3,0.7526
600,48.1,0.7440
600,49.9,0.7354
600,51.6,0.7268
600,53.4,0.7181
700,2.0,0.8208
700,4.1,0.8957
700,6.2,0.9149
700,8.2,0.9206
700,10.3,0.9209
700,12.4,0.9185
700,14.5,0.9146
700,16.6,0.9098
700,18.6,0.9044
700,20.7,0.8985
700,22.8,0.8923
700,24.9,0.8859
700,27.0,0.8792
700,29.0,0.8725
700,31.1,0.8656
700,33.2,0.8586
700,35.3,0.8516
700,37.4,0.8445
700,39.4,0.8373
700,41.5,0.8301
700,43.6,0.8228
700,45.7,0.8155
700,47.8,0.8082
700,49.8,0.8009
700,51.9,0.7935
700,54.0,0.7861
700,56.1,0.7787
700,58.1,0.7713
700,60.2,0.7639
700,62.3,0.7564
800,2.0,0.8051
800,4.3,0.8953
800,6.7,0.9177
800,9.0,0.9250
800,11.4,0.9266
800,13.7,0.9254
800,16.1,0.9227
800,18.4,0.9189
800,20.8,0.9145
800,23.1,0.9097
800,25.4,0.9046
800,27.8,0.8992
800,30.1,0.8936
800,32.5,0.8879
800,34.8,0.8820
800,37.2,0.8761
800,39.5,0.8701
800,41.9,0.8640
800,44.2,0.8579
800,46.6,0.8517
800,48.9,0.8455
800,51.2,0.8392
800,53.6,0.8330
800,55.9,0.8267
800,58.3,0.8203
800,60.6,0.8140
800,63.0,0.8076
800,65.3,0.8013
800,67.7,0.7949
800,70.0,0.7885
900,2.0,0.7876
900,4.3,0.8893
900,6.7,0.9161
900,9.0,0.9262
900,11.4,0.9301
900,13.7,0.9308
900,16.1,0.9298
900,18.4,0.9277
900,20.8,0.9250
900,23.1,0.9217
900,25.4,0.9181
900,27.8,0.9142
900,30.1,0.9101
900,32.5,0.9059
900,34.8,0.9015
900,37.2,0.8970
900,39.5,0.8924
900,41.9,0.8878
900,44.2,0.8831
900,46.6,0.8783
900,48.9,0.8735
900,51.2,0.8687
900,53.6,0.8638
900,55.9,0.8590
900,58.3,0.8540
900,60.6,0.8491
