# Project Volt WS4 - R22a SOC trajectories, mode (b) pure series at the delivered pack, all 8 VOLT-REG seeds x 3 ordered cases
# decimated to 5.0 s (every 50th 10 Hz sample); the full-rate reference trajectory is in data/trace_series_duty_v2_nominal_seed23_10Hz.csv
# SOC is fraction of USABLE bus energy (11.083608 kWh)
case,seed,t_s,SOC,P_bus_load_kW,P_batt_bus_kW,engine_on
nominal,23,0.0,0.549989,4.3271,-4.3271,0
nominal,23,5.0,0.546386,48.3907,-48.3907,0
nominal,23,10.0,0.538304,70.4464,-70.4464,0
nominal,23,15.0,0.531735,30.9762,-30.9762,0
nominal,23,20.0,0.529024,14.7868,-14.7868,0
nominal,23,25.0,0.526634,27.8162,-27.8162,0
nominal,23,30.0,0.523909,24.2561,-24.2561,0
nominal,23,35.0,0.521203,16.0384,-16.0384,0
nominal,23,40.0,0.519271,14.3946,-14.3946,0
nominal,23,45.0,0.516991,24.8258,-24.8258,0
nominal,23,50.0,0.514365,17.6727,-17.6727,0
nominal,23,55.0,0.512268,19.3652,-19.3652,0
nominal,23,60.0,0.517021,-39.6139,39.6139,0
nominal,23,65.0,0.520473,-17.2932,17.2932,0
nominal,23,70.0,0.521066,2.0000,-2.0000,0
nominal,23,75.0,0.520802,2.0000,-2.0000,0
nominal,23,80.0,0.520543,2.0000,-2.0000,0
nominal,23,85.0,0.520285,2.0000,-2.0000,0
nominal,23,90.0,0.520027,2.0000,-2.0000,0
nominal,23,95.0,0.519462,15.0323,-15.0323,0
nominal,23,100.0,0.515308,46.8220,-46.8220,0
nominal,23,105.0,0.508303,56.4502,-56.4502,0
nominal,23,110.0,0.504530,18.6176,-18.6176,0
nominal,23,115.0,0.502497,8.7059,-8.7059,0
nominal,23,120.0,0.501080,9.9875,-9.9875,0
nominal,23,125.0,0.499729,10.2774,-10.2774,0
nominal,23,130.0,0.498077,12.7727,-12.7727,0
nominal,23,135.0,0.495959,21.4733,-21.4733,0
nominal,23,140.0,0.493459,15.2813,-15.2813,0
nominal,23,145.0,0.491841,1.5600,-1.5600,0
nominal,23,150.0,0.497477,-27.1268,27.1268,0
nominal,23,155.0,0.498219,2.0000,-2.0000,0
nominal,23,160.0,0.497956,2.0000,-2.0000,0
nominal,23,165.0,0.497697,2.0000,-2.0000,0
nominal,23,170.0,0.497439,2.0000,-2.0000,0
nominal,23,175.0,0.497181,2.0000,-2.0000,0
nominal,23,180.0,0.496922,2.0000,-2.0000,0
nominal,23,185.0,0.495201,34.8496,-34.8496,0
nominal,23,190.0,0.487876,74.0940,-74.0940,0
nominal,23,195.0,0.477503,73.5145,-73.5145,0
nominal,23,200.0,0.472117,24.3209,-24.3209,0
nominal,23,205.0,0.468714,35.2468,-35.2468,0
nominal,23,210.0,0.465393,21.0310,-21.0310,0
nominal,23,215.0,0.462321,26.7251,-26.7251,0
nominal,23,220.0,0.459144,19.2815,-19.2815,0
nominal,23,225.0,0.456530,19.0477,-19.0477,0
nominal,23,230.0,0.454072,21.2447,-21.2447,0
nominal,23,235.0,0.450838,29.0389,-29.0389,0
nominal,23,240.0,0.447597,24.3196,-24.3196,0
nominal,23,245.0,0.446696,-66.5255,66.5255,0
nominal,23,250.0,0.454033,-47.1718,47.1718,0
nominal,23,255.0,0.457684,-13.1610,13.1610,0
nominal,23,260.0,0.457712,2.0923,-2.0923,0
