# Project Volt WS4 - R34 10 Hz trace. One file per ORDERED CASE at the reference seed; see results_ws4.json -> series_duty_v2 -> _trace_files -> r34_interpretation.
# series_duty_v2 / alt2000m_45C / mode (b) pure series at the pinned point / VOLT-REG seed 23
# delivered pack 11.083608 kWh usable at the bus; R16 acceptance 129.144 kW bus at 45.0 C cells; WS2 r4 662 V map chain; all electrical quantities bus-side (R12)
# SOC is fraction of USABLE bus energy, not of nameplate
t_s,v_kmh,grade_pct,P_wheel_kW,P_bus_load_kW,P_gen_bus_kW,P_batt_bus_kW,SOC,P_shaft_eng_kW,fuel_g_per_s,engine_on
0.0000,0.2280,0.2524,0.3226,4.3271,0.0000,-4.3271,0.549989,0.0000,0.00000,0
0.1000,0.4560,0.2524,0.7369,5.1516,0.0000,-5.1516,0.549976,0.0000,0.00000,0
0.2000,0.7600,0.2524,1.5341,6.8077,0.0000,-6.8077,0.549958,0.0000,0.00000,0
0.3000,1.1400,0.2524,2.5305,8.2684,0.0000,-8.2684,0.549937,0.0000,0.00000,0
0.4000,1.5200,0.2524,3.3741,9.1442,0.0000,-9.1442,0.549913,0.0000,0.00000,0
0.5000,1.8999,0.2524,4.2176,10.0324,0.0000,-10.0324,0.549887,0.0000,0.00000,0
0.6000,2.2799,0.2524,5.0611,10.9205,0.0000,-10.9205,0.549859,0.0000,0.00000,0
0.7000,2.6599,0.2525,5.9046,11.8086,0.0000,-11.8086,0.549828,0.0000,0.00000,0
0.8000,3.0398,0.2525,6.7479,12.6970,0.0000,-12.6970,0.549795,0.0000,0.00000,0
0.9000,3.4197,0.2525,7.5912,13.5853,0.0000,-13.5853,0.549760,0.0000,0.00000,0
1.0000,3.7996,0.2525,8.4343,14.4734,0.0000,-14.4734,0.549723,0.0000,0.00000,0
1.1000,4.1795,0.2525,9.2771,15.3612,0.0000,-15.3612,0.549683,0.0000,0.00000,0
1.2000,4.5593,0.2525,10.1197,16.2492,0.0000,-16.2492,0.549641,0.0000,0.00000,0
1.3000,4.9391,0.2525,10.9619,17.1366,0.0000,-17.1366,0.549597,0.0000,0.00000,0
1.4000,5.3188,0.2526,11.8036,18.0235,0.0000,-18.0235,0.549550,0.0000,0.00000,0
1.5000,5.6984,0.2526,12.6448,18.9100,0.0000,-18.9100,0.549502,0.0000,0.00000,0
1.6000,6.0780,0.2526,13.4854,19.7960,0.0000,-19.7960,0.549450,0.0000,0.00000,0
1.7000,6.4574,0.2526,14.3252,20.6811,0.0000,-20.6811,0.549397,0.0000,0.00000,0
1.8000,6.8368,0.2527,15.1642,21.5652,0.0000,-21.5652,0.549341,0.0000,0.00000,0
1.9000,7.2160,0.2527,16.0022,22.4485,0.0000,-22.4485,0.549283,0.0000,0.00000,0
2.0000,7.5951,0.2527,16.8392,23.3307,0.0000,-23.3307,0.549223,0.0000,0.00000,0
2.1000,7.9741,0.2528,17.6749,24.2114,0.0000,-24.2114,0.549160,0.0000,0.00000,0
2.2000,8.3529,0.2528,18.5092,25.0906,0.0000,-25.0906,0.549096,0.0000,0.00000,0
2.3000,8.7316,0.2528,19.3421,25.9685,0.0000,-25.9685,0.549029,0.0000,0.00000,0
2.4000,9.1100,0.2529,20.1733,26.8445,0.0000,-26.8445,0.548959,0.0000,0.00000,0
2.5000,9.4882,0.2529,21.0026,27.7184,0.0000,-27.7184,0.548888,0.0000,0.00000,0
2.6000,9.8663,0.2529,21.8300,28.5901,0.0000,-28.5901,0.548814,0.0000,0.00000,0
2.7000,10.2440,0.2530,22.6552,29.4598,0.0000,-29.4598,0.548738,0.0000,0.00000,0
2.8000,10.6215,0.2530,23.4780,30.3268,0.0000,-30.3268,0.548659,0.0000,0.00000,0
2.9000,10.9987,0.2531,24.2983,31.1909,0.0000,-31.1909,0.548579,0.0000,0.00000,0
3.0000,11.3757,0.2531,25.1159,32.0521,0.0000,-32.0521,0.548496,0.0000,0.00000,0
3.1000,11.7523,0.2531,25.9305,32.9102,0.0000,-32.9102,0.548411,0.0000,0.00000,0
3.2000,12.1285,0.2532,26.7420,33.7648,0.0000,-33.7648,0.548324,0.0000,0.00000,0
3.3000,12.5044,0.2532,27.5502,34.6156,0.0000,-34.6156,0.548234,0.0000,0.00000,0
3.4000,12.8799,0.2533,28.3548,35.4629,0.0000,-35.4629,0.548143,0.0000,0.00000,0
