# Project Volt WS4 - R34 10 Hz trace. One file per ORDERED CASE at the reference seed; see results_ws4.json -> series_duty_v2 -> _trace_files -> r34_interpretation.
# series_duty_v2 / cda_5.4 / mode (b) pure series at the pinned point / VOLT-REG seed 23
# delivered pack 11.083608 kWh usable at the bus; R16 acceptance 130.752 kW bus at 25.0 C cells; WS2 r4 662 V map chain; all electrical quantities bus-side (R12)
# SOC is fraction of USABLE bus energy, not of nameplate
t_s,v_kmh,grade_pct,P_wheel_kW,P_bus_load_kW,P_gen_bus_kW,P_batt_bus_kW,SOC,P_shaft_eng_kW,fuel_g_per_s,engine_on
0.0000,0.2280,0.2524,0.3226,4.3271,0.0000,-4.3271,0.549989,0.0000,0.00000,0
0.1000,0.4560,0.2524,0.7369,5.1516,0.0000,-5.1516,0.549976,0.0000,0.00000,0
0.2000,0.7600,0.2524,1.5341,6.8078,0.0000,-6.8078,0.549958,0.0000,0.00000,0
0.3000,1.1400,0.2524,2.5306,8.2685,0.0000,-8.2685,0.549937,0.0000,0.00000,0
0.4000,1.5200,0.2524,3.3742,9.1444,0.0000,-9.1444,0.549913,0.0000,0.00000,0
0.5000,1.8999,0.2524,4.2178,10.0328,0.0000,-10.0328,0.549887,0.0000,0.00000,0
0.6000,2.2799,0.2524,5.0615,10.9213,0.0000,-10.9213,0.549859,0.0000,0.00000,0
0.7000,2.6599,0.2525,5.9051,11.8097,0.0000,-11.8097,0.549828,0.0000,0.00000,0
0.8000,3.0398,0.2525,6.7488,12.6985,0.0000,-12.6985,0.549795,0.0000,0.00000,0
0.9000,3.4197,0.2525,7.5924,13.5874,0.0000,-13.5874,0.549760,0.0000,0.00000,0
1.0000,3.7996,0.2525,8.4359,14.4761,0.0000,-14.4761,0.549723,0.0000,0.00000,0
1.1000,4.1795,0.2525,9.2793,15.3647,0.0000,-15.3647,0.549683,0.0000,0.00000,0
1.2000,4.5593,0.2525,10.1226,16.2535,0.0000,-16.2535,0.549641,0.0000,0.00000,0
1.3000,4.9391,0.2525,10.9655,17.1421,0.0000,-17.1421,0.549597,0.0000,0.00000,0
1.4000,5.3188,0.2526,11.8082,18.0302,0.0000,-18.0302,0.549550,0.0000,0.00000,0
1.5000,5.6984,0.2526,12.6504,18.9180,0.0000,-18.9180,0.549502,0.0000,0.00000,0
1.6000,6.0780,0.2526,13.4922,19.8055,0.0000,-19.8055,0.549450,0.0000,0.00000,0
1.7000,6.4574,0.2526,14.3334,20.6924,0.0000,-20.6924,0.549397,0.0000,0.00000,0
1.8000,6.8368,0.2527,15.1739,21.5784,0.0000,-21.5784,0.549341,0.0000,0.00000,0
1.9000,7.2160,0.2527,16.0136,22.4639,0.0000,-22.4639,0.549283,0.0000,0.00000,0
2.0000,7.5951,0.2527,16.8524,23.3484,0.0000,-23.3484,0.549223,0.0000,0.00000,0
2.1000,7.9741,0.2528,17.6902,24.2318,0.0000,-24.2318,0.549160,0.0000,0.00000,0
2.2000,8.3529,0.2528,18.5269,25.1137,0.0000,-25.1137,0.549095,0.0000,0.00000,0
2.3000,8.7316,0.2528,19.3622,25.9947,0.0000,-25.9947,0.549028,0.0000,0.00000,0
2.4000,9.1100,0.2529,20.1961,26.8740,0.0000,-26.8740,0.548959,0.0000,0.00000,0
2.5000,9.4882,0.2529,21.0285,27.7515,0.0000,-27.7515,0.548887,0.0000,0.00000,0
2.6000,9.8663,0.2529,21.8590,28.6271,0.0000,-28.6271,0.548813,0.0000,0.00000,0
2.7000,10.2440,0.2530,22.6877,29.5009,0.0000,-29.5009,0.548737,0.0000,0.00000,0
2.8000,10.6215,0.2530,23.5143,30.3724,0.0000,-30.3724,0.548658,0.0000,0.00000,0
2.9000,10.9987,0.2531,24.3386,31.2412,0.0000,-31.2412,0.548578,0.0000,0.00000,0
3.0000,11.3757,0.2531,25.1604,32.1076,0.0000,-32.1076,0.548495,0.0000,0.00000,0
3.1000,11.7523,0.2531,25.9797,32.9711,0.0000,-32.9711,0.548409,0.0000,0.00000,0
3.2000,12.1285,0.2532,26.7960,33.8314,0.0000,-33.8314,0.548322,0.0000,0.00000,0
3.3000,12.5044,0.2532,27.6093,34.6883,0.0000,-34.6883,0.548232,0.0000,0.00000,0
3.4000,12.8799,0.2533,28.4194,35.5419,0.0000,-35.5419,0.548141,0.0000,0.00000,0
