case,strategy,fuel_kWh_per_km_min,fuel_kWh_per_km_median,fuel_kWh_per_km_max,starts_per_h_max,setpoint_transitions_per_h_max,dpdt_p95_kW_per_s_max,unserved_bus_kWh_max,unserved_wheel_kWh_max,genset_on_frac_median,soc_min_min
nominal,pin,1.709780,1.723780,1.729498,4.3696,224.66,0.0000,0.001125,0.000000,0.5745,0.3626
nominal,two_point,1.749924,1.763784,1.769906,7.6468,373.70,0.0000,0.007151,0.000000,0.5108,0.3662
nominal,load_follow,1.706580,1.716980,1.722558,1.0959,5353.07,20.9020,0.000000,0.000000,0.8225,0.3892
cda_5.4,pin,2.034200,2.048319,2.054773,3.8236,781.89,0.0000,0.001872,0.471600,0.6783,0.2302
cda_5.4,two_point,2.077250,2.095063,2.101630,7.1193,351.21,0.0000,0.001872,0.471600,0.5744,0.3601
cda_5.4,load_follow,2.016309,2.029654,2.035948,0.5480,5950.84,21.5204,0.000000,0.471600,0.8736,0.3537
alt2000m_45C,pin,1.460616,1.473383,1.478574,9.8316,385.62,0.0000,0.010496,0.340941,0.5041,0.3767
alt2000m_45C,two_point,1.461961,1.474439,1.480143,9.8316,390.53,0.0000,0.010496,0.340941,0.5007,0.3770
alt2000m_45C,load_follow,1.436359,1.445429,1.449130,1.0959,4671.82,19.5942,0.000000,0.340941,0.7827,0.3886
cold_minus10C,pin,1.789877,1.800313,1.805232,4.8986,268.89,0.0000,0.001268,0.000000,0.6226,0.3713
cold_minus10C,two_point,1.828770,1.840635,1.849609,7.6668,400.32,0.0000,0.006786,0.000000,0.5490,0.3726
cold_minus10C,load_follow,1.778130,1.788323,1.793119,1.0959,5508.97,20.8104,0.000000,0.000000,0.8425,0.3895
