json_path,format,rendered
"_meta|date","{}","2026-08-31"
"_meta|seeds|VOLT_REG","{}","[23, 3, 4, 5, 6, 7, 8, 9]"
"_meta|seeds|VOLT_SUB","{}","[11, 3, 4, 5, 6, 7, 8, 9]"
"_meta|baseline_note","{}","BASELINE_v6.md (07:39) and BASELINE_v7_FREEZE.md (07:57) were both ratified WHILE run_ws5.py was executing. WS5 did not run against either and does not act on either. REPORT_WS5.md section 1.2b records what they say and what they do to this artifact, as a provenance observation. v7 is the program's governing state and names this workstream: 'WS5: status per its packet at freeze'."
"_meta|adjudication","{}","CUT by BASELINE_v7's research freeze. This packet is gated-but-unadjudicated; REPORT_WS5.md section 14 is WS5's own statement of what is weak in its own work, written because no adversarial reviewer will supply one."
"vintage|input_sha256|WS1/results.json","{}","14cb34639be0aa16"
"vintage|input_sha256|WS2/results.json","{}","78266ce69cf6485e"
"vintage|input_sha256|WS2/data/effmap_motor_inverter_662V.csv","{}","e0f617eafbcead33"
"vintage|input_sha256|WS3/results.json","{}","0f766f86ef39e541"
"vintage|input_sha256|WS3/regen_acceptance.csv","{}","08cb24a3f8709d6f"
"vintage|input_sha256|WS4/results_ws4.json","{}","b02a6c82fbbe8d3e"
"vintage|input_sha256|WS4/ws4_models.py","{}","33d9b498ec5bb59d"
"vintage|input_sha256|WS4/ws4_chain.py","{}","5ee6b02df36903b5"
"vintage|WS4|series_duty_v2_status","{}","live_design_input"
"vintage|WS4|series_duty_v2_input_sha256|WS1/results.json","{}","14cb34639be0aa16"
"vintage|WS4|series_duty_v2_input_sha256|WS1/volt_cycles.py","{}","d5f663d85e38979c"
"vintage|WS4|series_duty_v2_input_sha256|WS1/volt_params.py","{}","0ab8050a09c665c8"
"vintage|WS4|series_duty_v2_input_sha256|WS1/volt_physics.py","{}","c99b5a770558b5a0"
"vintage|WS4|series_duty_v2_input_sha256|WS2/data/cycle_loss_summary.csv","{}","280f2549950abe39"
"vintage|WS4|series_duty_v2_input_sha256|WS2/data/effmap_motor_inverter_662V.csv","{}","e0f617eafbcead33"
"vintage|WS4|series_duty_v2_input_sha256|WS2/results.json","{}","78266ce69cf6485e"
"vintage|WS4|series_duty_v2_input_sha256|WS3/regen_acceptance.csv","{}","08cb24a3f8709d6f"
"vintage|WS4|series_duty_v2_input_sha256|WS3/results.json","{}","0f766f86ef39e541"
"vintage|WS4|kx_round","{}","KX round 3. WS4's results_ws4.json moved twice during this WS5 session; this artifact pins the KX r3 vintage, and its concordance assertion is exact against it. KX r3 changed exactly one value WS5 reads live - the R22d unbooked-pp member - and changed nothing inside series_duty_v2 -> cases, so no WS5 dispatch, blending, traction, thermal or fault number moved with it."
"vintage|WS4|gate_g1_status","{}","executed_kill_2026-08-30"
"vintage|WS4|gate_g1_consumption","{}","NONE. Archived record block; no field consumed as a live requirement (BASELINE_v3 executed the kill)."
"control_constants|P_START_RAMP_S","{:.0f}","4"
"control_constants|GEN_RATE_KW_PER_S","{:.0f}","25"
"control_constants|v2_genset_hysteresis_band_kWh","{:.1f}","3.5"
"control_constants|v1_fixed_point_bus_kW","{:.0f}","35"
"control_constants|v1_band_kWh","{:.1f}","3.0"
"control_constants|RESERVE_MARGIN_KW","{:.0f}","8"
"control_constants|TAU_DEMAND_S","{:.0f}","60"
"control_constants|INV_TJ_DERATE_C","{:.0f}","125"
"control_constants|INV_TJ_TRIP_C","{:.0f}","150"
"control_constants|MU_PRIOR_DRY","{:.2f}","0.80"
"state_machine|_role","{}","specification AND implementation: ws5_supervisor.py calls ws5_statemachine.SupervisorStateMachine.step() every 0.1 s sample and acts on what it returns, so every number in this file was produced through this machine"
"state_machine|regions|0","{}","FAULT"
"state_machine|regions|1","{}","THERMAL"
"state_machine|regions|2","{}","TRACTION"
"state_machine|regions|3","{}","DISPATCH"
"state_machine|regions|4","{}","BLEND"
"state_machine|regions|5","{}","VEHICLE"
"state_machine|n_states","{}","35"
"state_machine|n_transitions","{}","34"
"state_machine|validation|_has_clutch_state","{}","False"
"state_machine|reference_run|run","{}","VOLT-REG nominal, seed 23, load_follow"
"state_machine|reference_run|samples_with_more_than_one_eligible_transition","{}","0"
"concordance_ws4|_basis","{}","WS5's supervisor with every WS5 policy layer DISABLED (Cfg.ws4_concordance) is run against WS4's ordered mode-(b) case set. Agreement is exact, so the WS5 numbers below differ from WS4's only by the policy WS5 adds, never by a re-implementation drift."
"concordance_ws4|max_abs_delta_all_fields_all_seeds_all_cases","{:.1e}","0.0e+00"
"concordance_ws4|verdict","{}","EXACT"
