# program: Project Volt
# workstream: WS5
# round: r1 (first pass; no FINDINGS_WS5_r*.md exists)
# vehicle: V1
# architecture: pure series (BASELINE_v3 executed Gate G1's kill clause; no clutch, no mode selection, no synchronisation)
# duty: VOLT-SUB
# corner: nominal
# seed: 11
# mass_kg: 6600.0
# payload_kg: 2900.0
# baseline_version: BASELINE_v7_FREEZE.md (research freeze; supersedes v6, which superseded v5)
# results_file: results_ws5.json
# results_sha256: 9c702dd9117e87eedad7b4257d91a94e70bf43285b81d22a7ca26a23fd9d8861
# generated_utc: 2026-08-31T00:00:00Z (run-of-record date, not a wall clock - a wall clock would break the byte-stability rule)
# note: V1 R19 start-stop at the 35 kW bus fixed point on WS3's 3.0 kWh band
# note: bus-side electrical quantities (R12)
# note: columns absent by design: gear / lockup / motor_disconnect / P_comp_brake_kW / T_motor_C - see the V2 trace header
# note: soc_pct is on the USABLE window, not on nameplate
t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW,Tj_inv_C,V_bus_V,P_dis_cap_kW,P_chg_cap_kW,state_DISPATCH,state_BLEND,state_VEHICLE,state_THERMAL,state_TRACTION,state_FAULT
0,0,0.238407,0,0,0.339619,0,0,0,0,0,0,0,0,0,4.36352,2.36352,0.339619,0,0,0,54.9989,25,0,-4.36352,45.0415,651.277,125,110,D_OFF,B_NONE,V_READY,H_NOMINAL,T_OFF,F_NONE
0.1,0.0099336,0.476813,0,0,0.779585,0,0,0,0,0,0,0,0,0,5.23346,3.23346,0.779585,0,0,0,54.9975,25,0,-5.23346,45.0916,650.852,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.2,0.0275933,0.794688,0,0,1.6338,0,0,0,0,0,0,0,0,0,6.99008,4.99008,1.6338,0,0,0,54.9957,25,0,-6.99008,45.1601,649.991,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.3,0.0551866,1.19203,0,0,2.70159,0,0,0,0,0,0,0,0,0,8.54626,6.54626,2.70159,0,0,0,54.9935,25.0001,0,-8.54626,45.2384,649.227,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.4,0.0938172,1.58937,0,0,3.60217,0,0,0,0,0,0,0,0,0,9.48449,7.48449,3.60217,0,0,0,54.9911,25.0001,0,-9.48449,45.3172,648.764,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.5,0.143485,1.9867,0,0,4.50279,0,0,0,0,0,0,0,0,0,10.4329,8.43289,4.50279,0,0,0,54.9884,25.0001,0,-10.4329,45.3967,648.296,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.6,0.20419,2.38403,0,0,5.40342,0,0,0,0,0,0,0,0,0,11.3813,9.38131,5.40342,0,0,0,54.9854,25.0002,0,-11.3813,45.4769,647.827,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.7,0.275931,2.78135,0,0,6.30407,0,0,0,0,0,0,0,0,0,12.3297,10.3297,6.30407,0,0,0,54.9822,25.0002,0,-12.3297,45.5579,647.357,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.8,0.358709,3.17865,0,0,7.2047,0,0,0,0,0,0,0,0,0,13.2787,11.2787,7.2047,0,0,0,54.9788,25.0003,0,-13.2787,45.6395,646.886,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.9,0.452522,3.57593,0,0,8.10528,0,0,0,0,0,0,0,0,0,14.2276,12.2276,8.10528,0,0,0,54.9751,25.0004,0,-14.2276,45.7219,646.414,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
1,0.557371,3.97319,0,0,9.00578,0,0,0,0,0,0,0,0,0,15.1764,13.1764,9.00578,0,0,0,54.9712,25.0005,0,-15.1764,45.805,645.941,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
1.1,0.673255,4.37042,0,0,9.90615,0,0,0,0,0,0,0,0,0,16.1252,14.1252,9.90615,0,0,0,54.967,25.0006,0,-16.1252,45.8888,645.467,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
1.2,0.800172,4.76761,0,0,10.8064,0,0,0,0,0,0,0,0,0,17.0741,15.0741,10.8064,0,0,0,54.9626,25.0007,0,-17.0741,45.9733,644.992,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
1.3,0.938121,5.16476,0,0,11.7063,0,0,0,0,0,0,0,0,0,18.0228,16.0228,11.7063,0,0,0,54.958,25.0008,0,-18.0228,46.0585,644.517,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
