# program: Project Volt
# workstream: WS5
# round: r1 (first pass; no FINDINGS_WS5_r*.md exists)
# vehicle: V2
# architecture: pure series (BASELINE_v3 executed Gate G1's kill clause; no clutch, no mode selection, no synchronisation)
# duty: VOLT-REG
# corner: nominal
# seed: 23
# mass_kg: 6600.0
# payload_kg: 2900.0
# baseline_version: BASELINE_v7_FREEZE.md (research freeze; supersedes v6, which superseded v5)
# results_file: results_ws5.json
# results_sha256: 9c702dd9117e87eedad7b4257d91a94e70bf43285b81d22a7ca26a23fd9d8861
# generated_utc: 2026-08-31T00:00:00Z (run-of-record date, not a wall clock - a wall clock would break the byte-stability rule)
# note: WS5 recommended R22b dispatch: load-following (R22b c)
# note: bus-side electrical quantities (R12); states are the supervisor state machine's active state per region
# note: columns absent by design (TRACE_SCHEMA: an absent trace must not read as a measured zero): gear / lockup / motor_disconnect - this architecture has none; P_comp_brake_kW - a pure-series engine is not coupled to the road and cannot compression-brake; T_motor_C - WS5 does not model motor winding temperature
# note: soc_pct is on the USABLE window (WS5's convention throughout), not on nameplate
t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW,Tj_inv_C,V_bus_V,P_dis_cap_kW,P_chg_cap_kW,state_DISPATCH,state_BLEND,state_VEHICLE,state_THERMAL,state_TRACTION,state_FAULT
0,0,0.227994,0.252415,0,0.322564,0,0,0,0,0,0,0,0,0,4.32709,2.32709,0.322564,0,0,0,54.9989,25,0,-4.32709,45.0411,651.295,125,110,D_OFF,B_NONE,V_READY,H_NOMINAL,T_OFF,F_NONE
0.1,0.00949977,0.455989,0.252416,2.39789e-05,0.736901,0,0,0,0,0,0,0,0,0,5.1516,3.1516,0.736901,0,0,0,54.9976,25,0,-5.1516,45.0904,650.892,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.2,0.0263882,0.75998,0.252419,6.66083e-05,1.53408,0,0,0,0,0,0,0,0,0,6.80776,4.80776,1.53408,0,0,0,54.9958,25,0,-6.80776,45.1573,650.081,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.3,0.0527764,1.13997,0.252423,0.000133218,2.53057,0,0,0,0,0,0,0,0,0,8.26846,6.26846,2.53057,0,0,0,54.9937,25.0001,0,-8.26846,45.2333,649.363,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.4,0.0897198,1.51995,0.252428,0.000226472,3.37413,0,0,0,0,0,0,0,0,0,9.14429,7.14429,3.37413,0,0,0,54.9913,25.0001,0,-9.14429,45.3099,648.932,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.5,0.137218,1.89993,0.252435,0.000346373,4.21771,0,0,0,0,0,0,0,0,0,10.0326,8.03259,4.21771,0,0,0,54.9887,25.0001,0,-10.0326,45.387,648.493,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.6,0.195272,2.2799,0.252444,0.000492923,5.06129,0,0,0,0,0,0,0,0,0,10.9209,8.92089,5.06129,0,0,0,54.9859,25.0002,0,-10.9209,45.4648,648.054,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.7,0.263879,2.65986,0.252454,0.000666123,5.90485,0,0,0,0,0,0,0,0,0,11.8092,9.80916,5.90485,0,0,0,54.9828,25.0002,0,-11.8092,45.5433,647.614,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.8,0.343042,3.03981,0.252466,0.000865975,6.74836,0,0,0,0,0,0,0,0,0,12.6977,10.6977,6.74836,0,0,0,54.9795,25.0003,0,-12.6977,45.6225,647.173,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
0.9,0.432757,3.41973,0.252479,0.00109248,7.5918,0,0,0,0,0,0,0,0,0,13.5863,11.5863,7.5918,0,0,0,54.976,25.0004,0,-13.5863,45.7023,646.732,125,110,D_OFF,B_NONE,V_DRIVE,H_NOMINAL,T_OFF,F_NONE
