# program: Project Volt
# workstream: WS5
# round: r1 (first pass; no FINDINGS_WS5_r*.md exists)
# vehicle: V2
# architecture: pure series (BASELINE_v3 executed Gate G1's kill clause; no clutch, no mode selection, no synchronisation)
# duty: descent6pct-70kmh
# corner: resistor-loss
# seed: 0
# mass_kg: 7180.0
# payload_kg: 3480.0
# baseline_version: BASELINE_v7_FREEZE.md (research freeze; supersedes v6, which superseded v5)
# results_file: results_ws5.json
# results_sha256: 9c702dd9117e87eedad7b4257d91a94e70bf43285b81d22a7ca26a23fd9d8861
# generated_utc: 2026-08-31T00:00:00Z (run-of-record date, not a wall clock - a wall clock would break the byte-stability rule)
# note: FAULT CASE, not a duty case: brake-resistor loss on the 10 km 6% descent at 70 km/h, +20% payload, 45 C cells
# note: the R15 cascade with its third stage removed: watch P_friction_brake_kW rise as the pack fills
# note: this file uses the TRACE_SCHEMA naming pattern with the fault as the 'corner' field; it is a deterministic single-seed fault injection, so seed is 0
# note: columns absent by design: gear / lockup / motor_disconnect / P_comp_brake_kW / T_motor_C - see the V2 duty trace header
t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW,Tj_inv_C,V_bus_V,P_dis_cap_kW,P_chg_cap_kW,state_DISPATCH,state_BLEND,state_VEHICLE,state_THERMAL,state_TRACTION,state_FAULT
0,0,0,-6,0,-0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,54.9995,45,0,-2,65,652.575,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.1,5.99703e-05,0.00431786,-6,-3.59822e-06,-0.00484494,0,0,0.00484494,0,0,0,0,0,0,2,-0,-0,0,0,0,54.999,45,0,-2,65,652.574,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.2,0.000359807,0.0172704,-6,-2.15884e-05,-0.0185195,0,0,0.0185195,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9984,45,0,-2,65,652.574,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.3,0.00113932,0.0388544,-6,-6.83591e-05,-0.0397329,0,0,0.0397329,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9979,45,0,-2,65,652.574,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.4,0.00263819,0.0690645,-6,-0.000158291,-0.067195,0,0,0.067195,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9974,45,0,-2,65,652.573,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.5,0.00509594,0.107893,-6,-0.000305756,-0.0996178,0,0,0.0996178,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9969,45,0,-2,65,652.573,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.6,0.00875184,0.155331,-6,-0.00052511,-0.135717,0,0,0.135717,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9964,45,0,-2,65,652.573,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.7,0.0138449,0.211367,-6,-0.000830692,-0.137062,0,0,0.137062,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9959,45,0,-2,65,652.572,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.8,0.0206136,0.275985,-6,-0.00123682,-0.165328,0,0,0.165328,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9953,45,0,-2,65,652.572,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
0.9,0.0292964,0.349172,-6,-0.00175778,-0.191951,0,0,0.191951,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9948,45,0,-2,65,652.572,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1,0.0401308,0.430908,-6,-0.00240785,-0.215681,0,0,0.215681,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9943,45,0,-2,65,652.571,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.1,0.0533542,0.521174,-6,-0.00320125,-0.235279,0,0,0.235279,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9938,45,0,-2,65,652.571,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.2,0.0692031,0.619946,-6,-0.00415218,-0.249522,0,0,0.249522,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9933,45,0,-2,65,652.571,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.3,0.0879135,0.727202,-6,-0.00527481,-0.257199,0,0,0.257199,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9928,45,0,-2,65,652.57,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.4,0.109721,0.842913,-6,-0.00658324,-0.257116,0,0,0.257116,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9922,45,0,-2,65,652.57,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.5,0.134859,0.967053,-6,-0.00809154,-0.248097,0,0,0.248097,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9917,45,0,-2,65,652.57,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.6,0.163562,1.09959,-6,-0.00981374,-0.228987,0,0,0.228987,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9912,45,0,-2,65,652.569,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.7,0.196063,1.24049,-6,-0.0117638,-0.198647,0,0,0.198647,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9907,45,0,-2,65,652.569,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.8,0.232594,1.38972,-6,-0.0139557,-0.155965,0,0,0.155965,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9902,45,0,-2,65,652.569,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
1.9,0.273385,1.54724,-6,-0.0164031,-0.0998496,0,0,0.0998496,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9897,45,0,-2,65,652.568,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
2,0.318667,1.71302,-6,-0.01912,-0.0292334,0,0,0.0292334,0,0,0,0,0,0,2,-0,-0,0,0,0,54.9891,45,0,-2,65,652.568,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
2.1,0.368667,1.88701,-6,-0.02212,0.056924,0,0,0,0,0,0,0,0,0,2.15552,0.155519,0.056924,0,0,0,54.9886,45,0,-2.15552,65.002,652.503,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
2.2,0.423614,2.06917,-6,-0.0254169,0.159636,0,0,0,0,0,0,0,0,0,2.28076,0.280765,0.159636,0,0,0,54.988,45,0,-2.28076,65.0045,652.451,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
2.3,0.483734,2.25946,-6,-0.0290241,0.279888,0,0,0,0,0,0,0,0,0,2.42823,0.428226,0.279888,0,0,0,54.9874,45,0,-2.42823,65.0075,652.39,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
2.4,0.549252,2.45782,-6,-0.0329551,0.418637,0,0,0,0,0,0,0,0,0,2.60372,0.603722,0.418637,0,0,0,54.9867,45,0,-2.60372,65.0113,652.317,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
2.5,0.620392,2.66422,-6,-0.0372235,0.576806,0,0,0,0,0,0,0,0,0,2.79926,0.799261,0.576806,0,0,0,54.986,45,0,-2.79926,65.0158,652.236,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
2.6,0.697375,2.87859,-6,-0.0418425,0.755291,0,0,0,0,0,0,0,0,0,3.02649,1.02649,0.755291,0,0,0,54.9852,45,0,-3.02649,65.0213,652.141,125,110,D_OFF,B_NONE,V_LIMP,H_HOT_PACK_DERATE,T_OFF,F_RESISTOR_LOSS
