corner,candidate,cycle,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,MJ_per_km,MJ_per_payload_tkm,unserved_kWh,charge_deficit_kWh,fuel_g_charge_correction_signed,correction_share,correction_eta_fuel_to_bus,e_spin_kWh,e_spin_coast_bracket_kWh,e_resistor_kWh,e_engine_brake_kWh,e_friction_brake_kWh,resistor_peak_kW,engine_brake_peak_kW
nominal,S0,LH-520,8101,520,22456.8,83.3601,0.133322,20785,36300,164869,164869,38.1077,13.57,0.652875,0,-0,-0,0,0.388875,0,0,0,156.314,27.4653,0,303.241
nominal,S0,LH-520,8102,520,20849.1,89.7881,0.174112,20785,36300,168214,168214,38.8808,13.8453,0.66612,0,-0,-0,0,0.386449,0,0,0,141.149,30.6503,0,303.611
nominal,S0,LH-520,8103,520,22278.6,84.0269,0.153945,20785,36300,179553,179553,41.5017,14.7786,0.711022,0,-0,-0,0,0.390135,0,0,0,142.211,24.9221,0,303.322
nominal,S0,LH-520,8104,520,23214.7,80.6386,0.119402,20785,36300,174208,174208,40.2662,14.3386,0.689855,0,-0,-0,0,0.389654,0,0,0,130.159,24.6312,0,303.59
nominal,S0,LH-520,8105,520,21372.1,87.5909,0.184422,20785,36300,193340,193340,44.6883,15.9133,0.765616,0,-0,-0,0,0.391026,0,0,0,114.035,24.0142,0,303.543
nominal,S0,LH-520,8106,520,22122.9,84.6183,0.130009,20785,36300,164016,164016,37.9104,13.4997,0.649494,0,-0,-0,0,0.387854,0,0,0,153.516,28.359,0,303.232
nominal,S0,LH-520,8107,520,21128.2,88.602,0.189921,20785,36300,182000,182000,42.0672,14.98,0.72071,0,-0,-0,0,0.388282,0,0,0,138.984,26.8603,0,303.611
nominal,S0,LH-520,8108,520,22970.1,81.4973,0.113717,20785,36300,159149,159149,36.7856,13.0992,0.630223,0,-0,-0,0,0.387465,0,0,0,147.631,24.9013,0,303.398
nominal,S0,REG-165,8101,165.001,9508.4,62.4713,0.0601252,20785,36300,48334.5,48334.5,35.2086,12.5376,0.603206,0,-0,-0,0,0.372981,0,0,0,45.4908,7.7183,0,303.647
nominal,S0,REG-165,8102,165,9391.3,63.2501,0.0589901,20785,36300,54018.3,54018.3,39.349,14.012,0.674141,0,-0,-0,0,0.379521,0,0,0,46.059,5.00406,0,303.515
nominal,S0,REG-165,8103,165,9506.7,62.4823,0.0688244,20785,36300,52234.9,52234.9,38.0499,13.5494,0.651884,0,-0,-0,0,0.379059,0,0,0,42.9581,5.99545,0,303.386
nominal,S0,REG-165,8104,165.001,9441.2,62.916,0.0524822,20785,36300,47358.2,47358.2,34.4973,12.2844,0.591021,0,-0,-0,0,0.376277,0,0,0,49.2086,6.23754,0,303.491
nominal,S0,REG-165,8105,165.001,9258.3,64.1588,0.0625378,20785,36300,45542.2,45542.2,33.1746,11.8133,0.568359,0,-0,-0,0,0.373332,0,0,0,51.1968,7.94988,0,303.647
nominal,S0,REG-165,8106,165.001,9683.1,61.3445,0.0486823,20785,36300,49909.4,49909.4,36.3556,12.9461,0.622858,0,-0,-0,0,0.378851,0,0,0,52.6999,7.2487,0,303.509
nominal,S0,REG-165,8107,165.001,9371.3,63.3853,0.0337516,20785,36300,47944.9,47944.9,34.9247,12.4366,0.598343,0,-0,-0,0,0.378718,0,0,0,45.121,6.4849,0,303.523
nominal,S0,REG-165,8108,165.001,9384.5,63.2961,0.0489845,20785,36300,48165.6,48165.6,35.0856,12.4938,0.601098,0,-0,-0,0,0.37709,0,0,0,45.4044,7.47365,0,303.576
nominal,S1,LH-520,8101,520,21974.9,85.1882,0.10815,19397.7,36300,150887,152301,35.2026,12.5355,0.646236,6.14406,0.929728,185.752,0.00927958,0.420999,0.00208398,36.7541,47.8806,0,0.344072,314.168,0
