cycle,seed,distance_km,grade_max,grade_min,net_elev_m,total_climb_m,frac_2_3pct,frac_ge_5pct,v_wind_ms,n_stops
LH-520,8101,520,0.0603754,-0.0601671,-0.0193731,3837.64,0.0611509,0.0337003,-0.0286717,3
LH-520,8102,520,0.0605488,-0.0604633,0.0284626,3731.71,0.0806692,0.0334599,-1.45459,3
LH-520,8103,520,0.0604489,-0.0605379,-0.0406019,3674.76,0.0738426,0.0336042,3.22137,3
LH-520,8104,520,0.060486,-0.0604304,0.041698,3578.35,0.074083,0.0336522,3.85161,3
LH-520,8105,520,0.0604187,-0.0604245,0.0379672,3507.02,0.0611509,0.0336042,4.95677,3
LH-520,8106,520,0.0603864,-0.0604107,0.0201928,3745.14,0.0466324,0.0331715,-0.882383,3
LH-520,8107,520,0.06043,-0.0603679,-0.0362685,3773.39,0.0756694,0.0336042,1.94928,3
LH-520,8108,520,0.0604769,-0.0604797,0.0247209,3675.59,0.0539397,0.0338445,-0.223757,3
REG-165,8101,165,0.0472209,-0.0510182,0.0492196,873.521,0.0410544,0,-0.962669,19
REG-165,8102,165,0.0473422,-0.0470821,-0.0332153,913.696,0.0478715,0,3.59814,18
REG-165,8103,165,0.0512483,-0.0512219,0.0131457,874.905,0.0354492,0.0019694,2.96733,20
REG-165,8104,165,0.0493259,-0.0441597,0.00801543,841.447,0.0412059,0,-2.03762,19
REG-165,8105,165,0.0457139,-0.0491823,0.0245162,901.018,0.0448417,0,-4.05972,18
REG-165,8106,165,0.0536882,-0.0419193,0.0189177,929.525,0.0580215,0.0037873,-0.143284,20
REG-165,8107,165,0.0394777,-0.0483763,-0.0133321,848.256,0.0357522,0,-0.513209,19
REG-165,8108,165,0.0441084,-0.039836,0.0016683,780.009,0.0195425,0,-0.924933,19
