# `margin_vs_S0_per_km_pct` is the PAIRED per-seed per-km margin (r2 finding M2): candidate seed i against S0 seed i. The report's per-km claims are made on the median of this column, never on a ratio of medians.
corner,candidate,seed,payload_t,L_per_100km,MJ_per_km,MJ_per_payload_tkm,MJ_per_payload_tkm_credit_free,margin_vs_S0_pct,margin_vs_S0_pct_credit_free,margin_vs_S0_per_km_pct
nominal,S0,8101,20.785,37.238,13.2603,0.637974,0.637974,,,
nominal,S0,8102,20.785,39.0213,13.8953,0.668526,0.668526,,,
nominal,S0,8103,20.785,40.4662,14.4098,0.693281,0.693281,,,
nominal,S0,8104,20.785,38.5356,13.7224,0.660205,0.660205,,,
nominal,S0,8105,20.785,41.2342,14.6833,0.706439,0.706439,,,
nominal,S0,8106,20.785,37.444,13.3336,0.641503,0.641503,,,
nominal,S0,8107,20.785,39.9245,14.2169,0.684,0.684,,,
nominal,S0,8108,20.785,36.2756,12.9176,0.621486,0.621486,,,
nominal,S1,8101,19.3977,33.9847,12.1018,0.623878,0.623878,2.20955,2.20955,8.73651
nominal,S1,8102,19.3977,35.9796,12.8122,0.660499,0.660499,1.20072,1.20072,7.79501
nominal,S1,8103,19.3977,37.94,13.5103,0.696488,0.696488,-0.462627,-0.462627,6.24268
nominal,S1,8104,19.3977,36.0036,12.8207,0.660941,0.660941,-0.111452,-0.111452,6.57042
nominal,S1,8105,19.3977,38.747,13.7977,0.711303,0.711303,-0.688496,-0.688496,6.03189
nominal,S1,8106,19.3977,34.0467,12.1239,0.625017,0.625017,2.5699,2.5699,9.07281
nominal,S1,8107,19.3977,37.1603,13.2326,0.682175,0.682175,0.266777,0.266777,6.9234
nominal,S1,8108,19.3977,33.2017,11.823,0.609504,0.609504,1.92784,1.92784,8.4736
nominal,S2,8101,19.1057,33.317,11.864,0.620968,0.626258,2.66563,1.83651,10.5296
nominal,S2,8102,19.1057,35.2476,12.5515,0.656952,0.66248,1.7313,0.90441,9.67072
nominal,S2,8103,19.1057,36.6869,13.0641,0.683778,0.689728,1.37066,0.512437,9.33921
nominal,S2,8104,19.1057,34.6979,12.3558,0.646707,0.652081,2.04459,1.23048,9.9587
nominal,S2,8105,19.1057,37.6787,13.4172,0.702263,0.702263,0.59111,0.59111,8.62265
nominal,S2,8106,19.1057,33.3025,11.8589,0.620698,0.625794,3.24316,2.44876,11.0604
nominal,S2,8107,19.1057,36.1568,12.8753,0.673898,0.679165,1.47688,0.706858,9.43685
nominal,S2,8108,19.1057,32.287,11.4973,0.601772,0.609057,3.17202,1.99982,10.995
nominal,S3,8101,19.5592,34.109,12.1461,0.620989,0.628798,2.66238,1.43841,8.40274
nominal,S3,8102,19.5592,36.5927,13.0305,0.666207,0.666393,0.346845,0.319135,6.22376
nominal,S3,8103,19.5592,37.7101,13.4284,0.68655,0.68655,0.9708,0.9708,6.81092
nominal,S3,8104,19.5592,35.427,12.6154,0.644984,0.644984,2.30546,2.30546,8.06687
nominal,S3,8105,19.5592,39.2236,13.9674,0.714107,0.714107,-1.08539,-1.08539,4.87599
nominal,S3,8106,19.5592,34.0806,12.136,0.620473,0.628774,3.27833,1.9843,8.98236
nominal,S3,8107,19.5592,37.479,13.3461,0.682345,0.682345,0.242013,0.242013,6.12511
nominal,S3,8108,19.5592,32.9932,11.7488,0.600676,0.607442,3.3484,2.25974,9.0483
nominal,S4,8101,19.3436,34.1651,12.166,0.628945,0.628945,1.41527,1.41527,8.2521
nominal,S4,8102,19.3436,36.5351,13.01,0.672576,0.672576,-0.605748,-0.605748,6.37124
nominal,S4,8103,19.3436,38.5551,13.7293,0.709761,0.709761,-2.37717,-2.37717,4.72267
