# WS8 heat ledger, version r3. R3_DIRECTIVE item 7: WS6 consumes ONLY the r3 ledger. The r2 ledger is superseded, not amended: its `simulated_worst_run` member was exempt from the closure assertion and its largest row - S3's 396.87 kW exhaust - was a state one crankshaft cannot be in (finding B1). A consumer holding a ledger whose `ledger_version` is not 'r3' is holding numbers this workstream has withdrawn.
# READ `basis` BEFORE `total_rejected_kW` (r2 finding m3). The four analytic cases are SINGLE OPERATING POINTS, so their total IS the sum of their component columns. The `simulated_worst_run` row is not a case the truck is ever in: each component column is that component's own maximum 60-second mean over every (corner, cycle, seed) run in the trial, and its `total_rejected_kW` is the peak of the per-sample SUM - a different moment. `components_sum_kW` is printed so the difference is visible rather than looking like an arithmetic error; per-component run labels are in heat_ledger_ws6_simulated_labels.csv.
ledger_version,candidate,case,basis,road_speed_kmh,wheel_power_kW,engine_coolant_kW,engine_exhaust_kW,machine_inverter_kW,generator_rectifier_kW,pack_kW,brake_resistor_kW,friction_brake_kW,accessory_kW,driveline_kW,total_rejected_kW,components_sum_kW,governing_run
r3,S0,cruise_95kmh_flat,single_operating_point,95,112.125,69.7105,96.2669,0,0,0,0,0,4,7.67028,177.648,177.648,
r3,S0,climb_6pct,single_operating_point,48.4811,321.583,207.09,285.981,0,0,0,0,0,4,29.1198,526.19,526.19,
r3,S0,descent_6pct_pack_accepting,single_operating_point,62.1814,-317.67,0,303.808,0,0,0,0,13.8619,4,0,321.67,321.67,
r3,S0,descent_6pct_pack_saturated,single_operating_point,62.1814,-317.67,0,303.808,0,0,0,0,13.8619,4,0,321.67,321.67,
r3,S0,simulated_worst_run,envelope_over_runs,None,None,208.433,302.262,0,0,0,0,312.838,7,29.2292,569.267,859.762,payload_plus20/LH-520/seed8102 @ 65 km/h
r3,S1,cruise_95kmh_flat,single_operating_point,95,112.125,71.517,98.7615,8.72689,7.28339,0,0,0,3.4,3.46778,193.157,193.157,
r3,S1,climb_6pct,single_operating_point,51.0035,339.216,158.571,218.978,22.3334,16.2016,2.65892,0,0,3.4,10.4912,432.634,432.634,
r3,S1,descent_6pct_pack_accepting,single_operating_point,100,-467.638,0,0,25.3033,0,6.60111,208.269,0,3.4,14.0291,257.602,257.602,
r3,S1,descent_6pct_pack_saturated,single_operating_point,81.395,-399.999,0,0,17.0787,0,0,312.721,59.9986,3.4,10.2,403.399,403.399,
r3,S1,simulated_worst_run,envelope_over_runs,None,None,158.571,218.978,31.8897,16.2016,7.75796,340,205.169,6.6,17.4007,574.927,1002.57,nominal/LH-520/seed8101 @ 97 km/h
r3,S2,cruise_95kmh_flat,single_operating_point,95,112.125,71.517,98.7615,8.72689,7.28339,0,0,0,3.4,3.46778,193.157,193.157,
r3,S2,climb_6pct,single_operating_point,51.0035,339.216,158.571,218.978,22.3334,16.2016,2.65892,0,0,3.4,10.4912,432.634,432.634,
r3,S2,descent_6pct_pack_accepting,single_operating_point,100,-467.638,0,190.481,20.3573,0,6.60111,28.4483,0,3.4,8.31472,257.602,257.602,
r3,S2,descent_6pct_pack_saturated,single_operating_point,100,-467.638,0,190.481,13.6598,0,0,255.183,0,3.4,8.31472,471.038,471.038,
r3,S2,simulated_worst_run,envelope_over_runs,None,None,196.462,271.305,31.8897,16.2016,10.1828,316.693,65.5534,7,25.1207,552.714,940.409,payload_plus20/LH-520/seed8102 @ 105 km/h
r3,S3,cruise_95kmh_flat,single_operating_point,95,112.125,73.7483,101.843,0,0,0.105155,0,0,3.4,5.81778,184.914,184.914,
r3,S3,climb_6pct,single_operating_point,10.3638,67.1058,0,0,12.9968,0,2.64675,0,0,3.4,2.07544,21.119,21.119,
r3,S3,descent_6pct_pack_accepting,single_operating_point,100,-467.638,0,206.144,20.256,0,6.60111,13.3567,0,3.4,7.84483,257.602,257.602,
r3,S3,descent_6pct_pack_saturated,single_operating_point,98.7853,-463.639,0,203.64,11.6518,0,0,182.348,59.9995,3.4,6,467.039,467.039,
r3,S3,simulated_worst_run,envelope_over_runs,None,None,162.577,224.511,24.3951,0,6.50783,200,147.952,6.6,15.5157,564.229,788.059,payload_plus20/LH-520/seed8105 @ 108 km/h
r3,S4,cruise_95kmh_flat,single_operating_point,95,112.125,75.6424,104.459,8.72689,7.34099,0,0,0,3.4,3.46778,203.037,203.037,
r3,S4,climb_6pct,single_operating_point,54.3527,362.844,115.746,159.84,23.3616,9.0015,6.67074,0,0,3.4,11.222,329.241,329.241,
r3,S4,descent_6pct_pack_accepting,single_operating_point,100,-467.638,0,0,20.6996,0,12.9873,0,0,3.4,14.0291,51.116,51.116,
r3,S4,descent_6pct_pack_saturated,single_operating_point,81.395,-399.999,0,0,17.0787,0,0,312.721,59.9986,3.4,10.2,403.399,403.399,
r3,S4,simulated_worst_run,envelope_over_runs,None,None,115.746,159.84,36.6879,9.0015,17.5735,314.506,133.686,6.6,19.3462,461.091,812.987,cold_minus10C/LH-520/seed8102 @ 105 km/h
