candidate,item,kg
S0,engine_13L_wet,1215
S0,aftertreatment,155
S0,amt_12sp,325
S0,driveshafts,65
S0,drive_axle_gearsets,530
S0,fuel,555
S0,TOTAL_powertrain,2845
S0,tare_common,12670
S0,PAYLOAD,20785
S1,engine_13L_wet,1215
S1,aftertreatment,155
S1,generator,202.073
S1,traction_motors,316.776
S1,inverters,52.4761
S1,motor_reduction_stages,115.19
S1,drive_axle_gearsets,530
S1,driveshafts,65
S1,brake_resistor,122.011
S1,buffer_pack,735.755
S1,hv_cabling,55
S1,contactors_precharge,18
S1,hv_misc_bms_thermal,95
S1,fuel,555
S1,TOTAL_powertrain,4232.28
S1,tare_common,12670
S1,PAYLOAD,19397.7
S2,engine_13L_wet,1215
S2,aftertreatment,155
S2,generator,202.073
S2,traction_motors,316.776
S2,inverters,52.4761
S2,motor_reduction_stages,115.19
S2,fixed_cruise_ratio_box,145
S2,lockup_clutch_and_actuator,105
S2,traction_disconnect,42
S2,drive_axle_gearsets,530
S2,driveshafts,65
S2,brake_resistor,122.011
S2,buffer_pack,735.755
S2,hv_cabling,55
S2,contactors_precharge,18
S2,hv_misc_bms_thermal,95
S2,fuel,555
S2,TOTAL_powertrain,4524.28
S2,tare_common,12670
S2,PAYLOAD,19105.7
S3,engine_11l_wet,1035
S3,aftertreatment,155
S3,fixed_ratio_box_axleA,145
S3,revmatch_clutch,105
S3,traction_motor_axleB,298.776
S3,inverter_axleB,49.2761
S3,motor_reduction_axleB,115.19
S3,eaxle_disconnect,42
S3,drive_axle_gearsets,530
S3,driveshafts,65
S3,brake_resistor,71.771
S3,buffer_pack,735.755
S3,hv_cabling,55
S3,contactors_precharge,18
S3,hv_misc_bms_thermal,95
S3,fuel,555
S3,TOTAL_powertrain,4070.77
S3,tare_common,12670
S3,PAYLOAD,19559.2
S4,sustainer_engine_wet,640
S4,aftertreatment,90
S4,generator,129.243
S4,traction_motors,316.776
S4,inverters,52.4761
S4,motor_reduction_stages,115.19
S4,drive_axle_gearsets,530
S4,driveshafts,65
S4,brake_resistor,122.011
S4,traction_pack,1787.74
S4,hv_cabling,55
S4,contactors_precharge,18
S4,hv_misc_bms_thermal,155
S4,fuel,210
S4,TOTAL_powertrain,4286.44
S4,tare_common,12670
S4,PAYLOAD,19343.6
