corner,candidate,duty,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,grid_kWh,MJ_primary_per_payload_tkm,MJ_tank_per_payload_tkm,g_CO2_per_payload_tkm,unserved_kWh,charge_deficit_kWh,correction_share,correction_eta
nominal,S0R,GH-REG-165,8101,165.001,9941.6,59.7493,0.171993,20655,36300,61317.5,61336.9,44.6799,0,0.916645,0.77029,67.9268,0.087978,-0,0.000316169,0.381586
nominal,S0R,GH-REG-165,8102,165,9752.4,60.9081,0.190864,20655,36300,68353.5,68372.4,49.805,0,1.02179,0.858648,75.7185,0.0858123,-0,0.000275677,0.382938
nominal,S0R,GH-REG-165,8103,165.001,9934.5,59.7921,0.183108,20655,36300,65242.6,65262.1,47.5391,0,0.975304,0.819583,72.2736,0.0888406,-0,0.000299574,0.382213
nominal,S0R,GH-REG-165,8104,165.001,9799.7,60.6143,0.165065,20655,36300,61378.3,61398.1,44.7245,0,0.917561,0.771059,67.9946,0.0899479,-0,0.000322354,0.382262
nominal,S0R,GH-REG-165,8105,165.001,9690.4,61.298,0.180228,20655,36300,60317.8,60335.9,43.9508,0,0.901687,0.75772,66.8183,0.081802,-0,0.000299266,0.381057
nominal,S0R,GH-REG-165,8106,165.001,10062.6,59.0307,0.178252,20655,36300,65028.3,65047.5,47.3829,0,0.972099,0.81689,72.0361,0.0870938,-0,0.000294281,0.382696
nominal,S0R,GH-REG-165,8107,165.001,9624.9,61.7151,0.168499,20655,36300,61656.6,61675.8,44.9269,0,0.921711,0.774547,68.3022,0.0868234,-0,0.000310672,0.381134
nominal,S0R,GH-REG-165,8108,165.001,9698.3,61.2481,0.160563,20655,36300,60280.5,60299.4,43.9242,0,0.901142,0.757262,66.7779,0.0857525,-0,0.000313287,0.381812
nominal,S0R,LH-520,8101,520,22113.7,84.6535,0.133944,20655,36300,164832,164835,38.0998,0,0.781649,0.656848,57.9231,0.0169625,-0,2.22609e-05,0.388826
nominal,S0R,LH-520,8102,520,20447.6,91.5512,0.177736,20655,36300,168127,168131,38.8615,0,0.797276,0.66998,59.0811,0.0172519,-0,2.23314e-05,0.386485
nominal,S0R,LH-520,8103,520,21987.4,85.1397,0.156625,20655,36300,179626,179630,41.5195,0,0.851807,0.715804,63.122,0.0189279,-0,2.27207e-05,0.390086
nominal,S0R,LH-520,8104,520,22927.3,81.6495,0.124593,20655,36300,174181,174185,40.2609,0,0.825986,0.694106,61.2086,0.0181694,-0,2.2524e-05,0.389534
nominal,S0R,LH-520,8105,520,21047.6,88.9413,0.187978,20655,36300,193143,193147,44.6437,0,0.915902,0.769665,67.8717,0.0186794,-0,2.08057e-05,0.390977
nominal,S0R,LH-520,8106,520,21805.4,85.8504,0.13143,20655,36300,164014,164018,37.9109,0,0.777773,0.653591,57.6358,0.0168806,-0,2.23172e-05,0.387896
nominal,S0R,LH-520,8107,520,20836.3,89.8433,0.190249,20655,36300,181577,181581,41.9704,0,0.861057,0.723577,63.8075,0.0180689,-0,2.15514e-05,0.388369
nominal,S0R,LH-520,8108,520,22707.3,82.4405,0.114892,20655,36300,159019,159023,36.7564,0,0.754088,0.633687,55.8807,0.0188051,-0,2.56745e-05,0.387411
nominal,S5,GH-REG-165,8101,165,11053.4,53.7392,0.315891,19970,36300,50296.7,56443.1,41.1152,0,0.872444,0.733146,64.6513,30.5693,-3.92021,0.108897,0.364684
nominal,S5,GH-REG-165,8102,165.001,10993,54.0346,0.359717,19970,36300,54825.9,63049,45.9271,0,0.97455,0.81895,72.2177,39.0489,-2.853,0.130423,0.370241
nominal,S5,GH-REG-165,8103,165,11392.9,52.1379,0.337909,19970,36300,50173.2,61897,45.088,0,0.956745,0.803987,70.8983,54.2214,-3.72337,0.189407,0.362299
nominal,S5,GH-REG-165,8104,165,11100.1,53.513,0.329264,19970,36300,48193.4,57864.5,42.1507,0,0.894416,0.75161,66.2795,45.2855,-3.44041,0.167134,0.363937
nominal,S5,GH-REG-165,8105,165,10725.4,55.3827,0.317766,19970,36300,49030.5,55618.3,40.5143,0,0.859694,0.722432,63.7065,33.3511,-4.05789,0.118447,0.374013
nominal,S5,GH-REG-165,8106,165,11163.2,53.2106,0.320335,19970,36300,53381.1,59599.4,43.4144,0,0.921232,0.774145,68.2667,31.3359,-3.83197,0.104335,0.372032
nominal,S5,GH-REG-165,8107,165,10365.6,57.305,0.293941,19970,36300,53001.6,56811.5,41.3836,0,0.878139,0.737932,65.0733,19.1401,-2.24257,0.0670616,0.373054
nominal,S5,GH-REG-165,8108,165.001,10474,56.7121,0.278783,19970,36300,50932.6,56055.8,40.833,0,0.866455,0.728113,64.2075,26.3779,-3.58163,0.0913938,0.37427
nominal,S5,LH-520,8101,520,22838.9,81.9655,0.209431,19970,36300,164539,164687,38.0655,0,0.80773,0.678765,59.8557,3.15091,-2.49717,0.000898626,0.371561
