duty,seed,distance_km,grade_max,grade_min,net_elev_m,total_climb_m,climb_m_per_km,frac_ge_2pct,frac_ge_5pct,v_wind_ms,n_stops
GH-REG-165,8101,165,0.0944418,-0.102036,0.0984393,1747.04,10.5881,0.204514,0.0549917,-0.962669,19
GH-REG-165,8102,165,0.0946844,-0.0941642,-0.0664306,1827.39,11.0751,0.212392,0.0352977,3.59814,18
GH-REG-165,8103,165,0.102497,-0.102444,0.0262913,1749.81,10.6049,0.201182,0.0531738,2.96733,20
GH-REG-165,8104,165,0.0986519,-0.0883194,0.0160309,1682.89,10.1994,0.175579,0.0407514,-2.03762,19
GH-REG-165,8105,165,0.0914278,-0.0983647,0.0490324,1802.04,10.9214,0.207696,0.0540827,-4.05972,18
GH-REG-165,8106,165,0.107376,-0.0838387,0.0378355,1859.05,11.267,0.21527,0.039691,-0.143284,20
GH-REG-165,8107,165,0.0789554,-0.0967526,-0.0266642,1696.51,10.2819,0.219664,0.0310559,-0.513209,19
GH-REG-165,8108,165,0.0882168,-0.0796719,0.0033366,1560.02,9.45466,0.181942,0.0371156,-0.924933,19
LH-520,8101,520,0.0603754,-0.0601671,-0.0193731,3837.64,7.38007,0.120619,0.0337003,-0.0286717,3
LH-520,8102,520,0.0605488,-0.0604633,0.0284626,3731.71,7.17636,0.126965,0.0334599,-1.45459,3
LH-520,8103,520,0.0604489,-0.0605379,-0.0406019,3674.76,7.06685,0.123311,0.0336042,3.22137,3
LH-520,8104,520,0.060486,-0.0604304,0.041698,3578.35,6.88144,0.116581,0.0336522,3.85161,3
LH-520,8105,520,0.0604187,-0.0604245,0.0379672,3507.02,6.74427,0.111725,0.0336042,4.95677,3
LH-520,8106,520,0.0603864,-0.0604107,0.0201928,3745.14,7.20219,0.109899,0.0331715,-0.882383,3
LH-520,8107,520,0.06043,-0.0603679,-0.0362685,3773.39,7.25652,0.125859,0.0336042,1.94928,3
LH-520,8108,520,0.0604769,-0.0604797,0.0247209,3675.59,7.06845,0.10586,0.0338445,-0.223757,3
