candidate,case,road_speed_kmh,wheel_power_kW,engine_coolant_kW,hydraulic_retarder_coolant_kW,engine_exhaust_kW,compression_brake_exhaust_kW,machine_inverter_kW,generator_rectifier_kW,pack_kW,brake_resistor_kW,friction_brake_kW,driveline_kW,total_rejected_kW
S0R,cruise_95kmh_flat,95,112.125,69.7105,0,96.2669,0,0,0,0,0,0,7.67028,173.648
S0R,climb_6pct,48.4811,321.583,207.09,0,285.981,0,0,0,0,0,0,29.1198,522.19
S0R,descent_6pct_pack_capable,100,-467.638,0,350,0,117.638,0,0,0,0,0,0,467.638
S0R,descent_6pct_pack_saturated,100,-467.638,0,350,0,117.638,0,0,0,0,0,0,467.638
S0R,simulated_peak_over_all_runs,0,0,0,350,0,303.646,0,0,0,0,834.271,0,1487.92
S5,cruise_95kmh_flat,95,112.125,77.3685,0,106.842,0,0,0,0,0,0,7.67028,191.881
S5,climb_6pct,40.119,264.02,155.088,0,214.17,0,3.19612,0,0,0,0,22.2563,394.711
S5,descent_6pct_pack_capable,100,-467.638,0,0,0,218.748,20.4456,0,3.75228,103.368,0,0,346.314
S5,descent_6pct_pack_saturated,100,-467.638,0,0,0,218.748,15.7756,0,0,154.224,78.8897,0,467.638
S5,simulated_peak_over_all_runs,0,0,0,0,0,237.587,0,0,0,170,812.648,0,1220.24
S5-13L,cruise_95kmh_flat,95,112.125,70.7156,0,97.6549,0,0,0,0,0,0,7.67028,176.041
S5-13L,climb_6pct,23.3682,152.033,0,0,0,0,20.1035,0,0,0,0,0,20.1035
S5-13L,descent_6pct_pack_capable,100,-467.638,0,0,0,200.496,21.418,0,4.85809,83.7874,0,0,310.56
S5-13L,descent_6pct_pack_saturated,100,-467.638,0,0,0,200.496,16.4081,0,0,163.592,87.1417,0,467.638
S5-13L,simulated_peak_over_all_runs,0,0,0,0,0,284.198,0,0,0,180,813.807,0,1278.01
S6,cruise_95kmh_flat,95,112.125,60.4739,0,83.5116,0,0,0,0,0,0,7.67028,151.656
S6,climb_6pct,48.4811,321.583,180.067,0,248.663,0,0,0,0,0,0,29.1198,457.85
S6,descent_6pct_pack_capable,100,-467.638,0,350,0,117.638,0,0,0,0,0,0,467.638
S6,descent_6pct_pack_saturated,100,-467.638,0,350,0,117.638,0,0,0,0,0,0,467.638
S6,simulated_peak_over_all_runs,0,0,0,350,0,303.654,0,0,0,0,790.126,0,1443.78
S7,cruise_95kmh_flat,95,112.125,69.7105,0,96.2669,0,0,0,0,0,0,7.67028,173.648
S7,climb_6pct,49.7017,330.099,214.696,0,296.485,0,0,0,0,0,0,29.891,541.072
S7,descent_6pct_pack_capable,100,-467.638,0,350,0,117.638,0,0,0,0,0,0,467.638
S7,descent_6pct_pack_saturated,100,-467.638,0,350,0,117.638,0,0,0,0,0,0,467.638
S7,simulated_peak_over_all_runs,0,0,0,350,0,303.634,0,0,0,0,832.244,0,1485.88
S4p,cruise_95kmh_flat,95,112.125,75.5222,0,104.293,0,12.1947,7.23998,1.91579,0,0,5.04561,206.211
S4p,climb_6pct,66.4779,450.654,123.528,0,170.586,0,39.4466,9.3515,7.4025,0,0,20.2794,370.594
S4p,descent_6pct_pack_capable,100,-467.638,0,0,0,0,34.7287,0,4.16581,294.049,0,0,332.943
S4p,descent_6pct_pack_saturated,100,-467.638,0,0,0,0,26.3056,0,0,323.694,117.638,0,467.638
S4p,simulated_peak_over_all_runs,0,0,0,0,0,0,0,0,0,350,827.386,0,1177.39
