corner,duty,candidate,seed,margin_vs_ruler_pct
nominal,GH-REG-165,S5,8101,4.82201
nominal,GH-REG-165,S5,8102,4.62334
nominal,GH-REG-165,S5,8103,1.9029
nominal,GH-REG-165,S5,8104,2.52238
nominal,GH-REG-165,S5,8105,4.65714
nominal,GH-REG-165,S5,8106,5.23264
nominal,GH-REG-165,S5,8107,4.72735
nominal,GH-REG-165,S5,8108,3.84923
nominal,GH-REG-165,S5-13L,8101,7.35842
nominal,GH-REG-165,S5-13L,8102,7.13719
nominal,GH-REG-165,S5-13L,8103,5.35882
nominal,GH-REG-165,S5-13L,8104,7.01062
nominal,GH-REG-165,S5-13L,8105,6.84479
nominal,GH-REG-165,S5-13L,8106,9.17547
nominal,GH-REG-165,S5-13L,8107,7.16899
nominal,GH-REG-165,S5-13L,8108,6.07355
nominal,GH-REG-165,S6,8101,7.65155
nominal,GH-REG-165,S6,8102,7.61549
nominal,GH-REG-165,S6,8103,7.76172
nominal,GH-REG-165,S6,8104,7.50598
nominal,GH-REG-165,S6,8105,7.61256
nominal,GH-REG-165,S6,8106,7.61507
nominal,GH-REG-165,S6,8107,7.50193
nominal,GH-REG-165,S6,8108,7.57878
nominal,GH-REG-165,S7,8101,7.50426
nominal,GH-REG-165,S7,8102,4.50913
nominal,GH-REG-165,S7,8103,5.0632
nominal,GH-REG-165,S7,8104,6.22982
nominal,GH-REG-165,S7,8105,8.38545
nominal,GH-REG-165,S7,8106,6.02971
nominal,GH-REG-165,S7,8107,5.77998
nominal,GH-REG-165,S7,8108,5.64986
nominal,GH-REG-165,S4p,8101,16.7169
nominal,GH-REG-165,S4p,8102,11.9539
nominal,GH-REG-165,S4p,8103,13.4361
nominal,GH-REG-165,S4p,8104,16.487
nominal,GH-REG-165,S4p,8105,20.2181
nominal,GH-REG-165,S4p,8106,16.5003
nominal,GH-REG-165,S4p,8107,15.1707
nominal,GH-REG-165,S4p,8108,15.0758
nominal,LH-520,S5,8101,-3.33662
nominal,LH-520,S5,8102,-4.38006
nominal,LH-520,S5,8103,-2.98135
nominal,LH-520,S5,8104,-2.33276
nominal,LH-520,S5,8105,-5.74727
nominal,LH-520,S5,8106,-3.63799
nominal,LH-520,S5,8107,-4.67536
nominal,LH-520,S5,8108,-2.15368
nominal,LH-520,S5-13L,8101,-0.80763
nominal,LH-520,S5-13L,8102,-0.679604
nominal,LH-520,S5-13L,8103,-0.315259
nominal,LH-520,S5-13L,8104,-0.0453185
nominal,LH-520,S5-13L,8105,-1.38293
nominal,LH-520,S5-13L,8106,-0.64039
nominal,LH-520,S5-13L,8107,-1.28766
nominal,LH-520,S5-13L,8108,-0.155567
nominal,LH-520,S6,8101,7.26221
nominal,LH-520,S6,8102,7.40509
nominal,LH-520,S6,8103,7.50129
nominal,LH-520,S6,8104,7.33872
nominal,LH-520,S6,8105,7.55697
nominal,LH-520,S6,8106,7.3736
nominal,LH-520,S6,8107,7.42944
nominal,LH-520,S6,8108,7.32104
nominal,LH-520,S7,8101,0.635357
nominal,LH-520,S7,8102,-0.192386
nominal,LH-520,S7,8103,-0.550541
nominal,LH-520,S7,8104,-0.230542
nominal,LH-520,S7,8105,-1.4537
nominal,LH-520,S7,8106,0.139034
nominal,LH-520,S7,8107,-0.779681
nominal,LH-520,S7,8108,0.621993
nominal,LH-520,S4p,8101,-0.757189
nominal,LH-520,S4p,8102,-2.36294
nominal,LH-520,S4p,8103,-3.13629
nominal,LH-520,S4p,8104,-3.39913
nominal,LH-520,S4p,8105,-6.8077
nominal,LH-520,S4p,8106,-0.59182
nominal,LH-520,S4p,8107,-3.40691
nominal,LH-520,S4p,8108,-0.380098
payload_plus20,GH-REG-165,S5,8101,4.78261
payload_plus20,GH-REG-165,S5,8102,4.12657
payload_plus20,GH-REG-165,S5,8103,1.38943
payload_plus20,GH-REG-165,S5,8104,2.45454
payload_plus20,GH-REG-165,S5,8105,3.81649
payload_plus20,GH-REG-165,S5,8106,5.08613
payload_plus20,GH-REG-165,S5,8107,4.95309
payload_plus20,GH-REG-165,S5,8108,4.37029
payload_plus20,GH-REG-165,S5-13L,8101,8.25974
payload_plus20,GH-REG-165,S5-13L,8102,6.49831
payload_plus20,GH-REG-165,S5-13L,8103,4.88721
payload_plus20,GH-REG-165,S5-13L,8104,6.38267
payload_plus20,GH-REG-165,S5-13L,8105,6.09802
payload_plus20,GH-REG-165,S5-13L,8106,8.8039
payload_plus20,GH-REG-165,S5-13L,8107,5.87427
payload_plus20,GH-REG-165,S5-13L,8108,7.27499
payload_plus20,GH-REG-165,S6,8101,7.77929
payload_plus20,GH-REG-165,S6,8102,7.69
payload_plus20,GH-REG-165,S6,8103,7.82276
payload_plus20,GH-REG-165,S6,8104,7.7376
payload_plus20,GH-REG-165,S6,8105,7.62026
payload_plus20,GH-REG-165,S6,8106,7.63085
payload_plus20,GH-REG-165,S6,8107,7.53876
payload_plus20,GH-REG-165,S6,8108,7.75832
payload_plus20,GH-REG-165,S7,8101,7.75155
payload_plus20,GH-REG-165,S7,8102,4.44334
payload_plus20,GH-REG-165,S7,8103,5.14459
payload_plus20,GH-REG-165,S7,8104,6.09907
payload_plus20,GH-REG-165,S7,8105,8.10742
payload_plus20,GH-REG-165,S7,8106,6.16841
payload_plus20,GH-REG-165,S7,8107,5.72382
payload_plus20,GH-REG-165,S7,8108,5.68313
payload_plus20,GH-REG-165,S4p,8101,15.9882
payload_plus20,GH-REG-165,S4p,8102,10.9547
payload_plus20,GH-REG-165,S4p,8103,12.5877
payload_plus20,GH-REG-165,S4p,8104,15.6171
payload_plus20,GH-REG-165,S4p,8105,18.3794
payload_plus20,GH-REG-165,S4p,8106,15.1372
payload_plus20,GH-REG-165,S4p,8107,13.8469
payload_plus20,GH-REG-165,S4p,8108,14.0433
payload_plus20,LH-520,S5,8101,-2.80429
payload_plus20,LH-520,S5,8102,-3.11082
payload_plus20,LH-520,S5,8103,-2.17576
payload_plus20,LH-520,S5,8104,-1.5647
payload_plus20,LH-520,S5,8105,-4.61463
payload_plus20,LH-520,S5,8106,-3.67426
payload_plus20,LH-520,S5,8107,-3.51705
payload_plus20,LH-520,S5,8108,-1.8095
payload_plus20,LH-520,S5-13L,8101,-0.230353
payload_plus20,LH-520,S5-13L,8102,0.319393
payload_plus20,LH-520,S5-13L,8103,0.310994
payload_plus20,LH-520,S5-13L,8104,0.720951
payload_plus20,LH-520,S5-13L,8105,-0.459889
payload_plus20,LH-520,S5-13L,8106,-0.670825
payload_plus20,LH-520,S5-13L,8107,-0.999963
payload_plus20,LH-520,S5-13L,8108,0.580638
payload_plus20,LH-520,S6,8101,7.41067
payload_plus20,LH-520,S6,8102,7.39809
payload_plus20,LH-520,S6,8103,7.44635
payload_plus20,LH-520,S6,8104,7.4372
payload_plus20,LH-520,S6,8105,7.56622
