candidate,item,kg
S0R,engine_13l_wet,1215
S0R,aftertreatment,155
S0R,amt_12sp,325
S0R,hydraulic_retarder,130
S0R,driveshafts,65
S0R,drive_axle_gearsets,530
S0R,fuel,555
S0R,TOTAL_powertrain,2975
S0R,tare_common,12670
S0R,PAYLOAD,20655
S5,engine_11l_wet,1035
S5,aftertreatment,155
S5,two_speed_dog_box,205
S5,driveshafts,65
S5,drive_axle_gearsets,530
S5,traction_motors,316.776
S5,inverters,52.4761
S5,motor_reduction_stages,115.19
S5,traction_disconnect,42
S5,brake_resistor,61.0053
S5,buffer_pack,309.505
S5,hv_cabling,55
S5,contactors_precharge,18
S5,hv_misc_bms_thermal,95
S5,pack_precondition_and_cab_heat_path,50
S5,fuel,555
S5,TOTAL_powertrain,3659.95
S5,tare_common,12670
S5,PAYLOAD,19970
S5-13L,engine_13l_wet,1215
S5-13L,aftertreatment,155
S5-13L,two_speed_dog_box,205
S5-13L,driveshafts,65
S5-13L,drive_axle_gearsets,530
S5-13L,traction_motors,316.776
S5-13L,inverters,52.4761
S5-13L,motor_reduction_stages,115.19
S5-13L,traction_disconnect,42
S5-13L,brake_resistor,64.5939
S5-13L,buffer_pack,389.64
S5-13L,hv_cabling,55
S5-13L,contactors_precharge,18
S5-13L,hv_misc_bms_thermal,95
S5-13L,pack_precondition_and_cab_heat_path,50
S5-13L,fuel,555
S5-13L,TOTAL_powertrain,3923.68
S5-13L,tare_common,12670
S5-13L,PAYLOAD,19706.3
S6,engine_opposed_piston_wet,1215
S6,aftertreatment,155
S6,amt_12sp,325
S6,hydraulic_retarder,130
S6,driveshafts,65
S6,drive_axle_gearsets,530
S6,fuel,555
S6,TOTAL_powertrain,2975
S6,tare_common,12670
S6,PAYLOAD,20655
S7,engine_13l_wet,1215
S7,aftertreatment,155
S7,amt_12sp,325
S7,hydraulic_retarder,130
S7,driveshafts,65
S7,drive_axle_gearsets,530
S7,fuel,555
S7,trailer_axle_carrier_delta,230
S7,trailer_traction_motor,47.5431
S7,trailer_inverter,8.04809
S7,trailer_motor_reduction,12.1202
S7,trailer_eaxle_disconnect,42
S7,trailer_hv_interface,38
S7,buffer_pack,180.778
S7,hv_cabling,88
S7,contactors_precharge,18
S7,hv_misc_bms_thermal,95
S7,pack_precondition_and_cab_heat_path,50
S7,TOTAL_powertrain,3784.49
S7,tare_common,12670
S7,PAYLOAD,19845.5
S4p,sustainer_engine_wet,640
S4p,aftertreatment,90
S4p,generator,135.088
S4p,traction_motors,316.776
S4p,inverters,52.4761
S4p,motor_reduction_stages,115.19
S4p,drive_axle_gearsets,530
S4p,driveshafts,65
S4p,brake_resistor,125.599
S4p,traction_pack,937.5
S4p,hv_cabling,55
S4p,contactors_precharge,18
S4p,hv_misc_bms_thermal,155
S4p,pack_precondition_and_cab_heat_path,50
S4p,fuel,210
S4p,TOTAL_powertrain,3495.63
S4p,tare_common,12670
S4p,PAYLOAD,20134.4
