# Project Volt WS9 - R34 10 Hz trace
# S0R (Conventional 13 L diesel + 12-speed AMT with a direct top gear, + hydraulic retarder (ESC-6)) / duty GH-REG-165 / corner nominal / seed 8101
# GCW 36300.0 kg, payload 20655.0 kg, powertrain 2975.0 kg
# columns: t [s], v [m/s], s [m], grade [-], and the four commanded force channels at the CONTACT PATCH [N] - traction, regenerative braking, retarder, friction brake. The integrator never commands traction and a braking channel on the same sample.
# electrical quantities are NOT in this file; they are per-candidate dispatch and live in results_ws9.json
t,v,s,grade,F_trac,F_regen,F_retard,F_friction
0.0000,0.0000,0.0000,-0.0004,21822.1075,0.0000,0.0000,0.0000
0.1000,0.0550,0.0028,-0.0004,23781.0055,0.0000,0.0000,0.0000
0.2000,0.1100,0.0110,-0.0004,23781.3039,0.0000,0.0000,0.0000
0.3000,0.1650,0.0248,-0.0004,23781.5691,0.0000,0.0000,0.0000
0.4000,0.2200,0.0440,-0.0004,23781.8010,0.0000,0.0000,0.0000
0.5000,0.2750,0.0688,-0.0004,23781.9997,0.0000,0.0000,0.0000
0.6000,0.3300,0.0990,-0.0004,23782.1651,0.0000,0.0000,0.0000
0.7000,0.3850,0.1348,-0.0004,23782.2973,0.0000,0.0000,0.0000
0.8000,0.4400,0.1760,-0.0004,23782.3963,0.0000,0.0000,0.0000
0.9000,0.4950,0.2228,-0.0004,23782.4620,0.0000,0.0000,0.0000
1.0000,0.5500,0.2750,-0.0004,23782.4945,0.0000,0.0000,0.0000
1.1000,0.6050,0.3328,-0.0004,23782.4937,0.0000,0.0000,0.0000
1.2000,0.6600,0.3960,-0.0004,23782.4597,0.0000,0.0000,0.0000
1.3000,0.7150,0.4648,-0.0004,23782.3924,0.0000,0.0000,0.0000
1.4000,0.7700,0.5390,-0.0004,23782.2919,0.0000,0.0000,0.0000
1.5000,0.8250,0.6188,-0.0004,23782.1581,0.0000,0.0000,0.0000
1.6000,0.8800,0.7040,-0.0004,23781.9911,0.0000,0.0000,0.0000
1.7000,0.9350,0.7948,-0.0004,23781.7909,0.0000,0.0000,0.0000
1.8000,0.9900,0.8910,-0.0004,23781.5623,0.0000,0.0000,0.0000
1.9000,1.0450,0.9928,-0.0004,23781.3352,0.0000,0.0000,0.0000
2.0000,1.1000,1.1000,-0.0004,23781.1147,0.0000,0.0000,0.0000
2.1000,1.1550,1.2128,-0.0004,23780.9008,0.0000,0.0000,0.0000
2.2000,1.2100,1.3310,-0.0004,23780.6934,0.0000,0.0000,0.0000
2.3000,1.2650,1.4548,-0.0004,23780.4925,0.0000,0.0000,0.0000
2.4000,1.3200,1.5840,-0.0004,23780.2983,0.0000,0.0000,0.0000
2.5000,1.3750,1.7188,-0.0004,23780.1105,0.0000,0.0000,0.0000
2.6000,1.4300,1.8590,-0.0004,23779.9293,0.0000,0.0000,0.0000
2.7000,1.4850,2.0048,-0.0004,23779.7547,0.0000,0.0000,0.0000
2.8000,1.5400,2.1560,-0.0004,23779.5866,0.0000,0.0000,0.0000
2.9000,1.5950,2.3128,-0.0004,23779.4251,0.0000,0.0000,0.0000
3.0000,1.6500,2.4750,-0.0004,23779.2701,0.0000,0.0000,0.0000
3.1000,1.7050,2.6428,-0.0004,23779.1217,0.0000,0.0000,0.0000
3.2000,1.7600,2.8160,-0.0004,23778.9798,0.0000,0.0000,0.0000
3.3000,1.8150,2.9948,-0.0004,23778.8445,0.0000,0.0000,0.0000
3.4000,1.8700,3.1790,-0.0004,23778.7157,0.0000,0.0000,0.0000
3.5000,1.9250,3.3688,-0.0004,23778.5935,0.0000,0.0000,0.0000
3.6000,1.9800,3.5640,-0.0004,23778.4778,0.0000,0.0000,0.0000
3.7000,2.0350,3.7647,-0.0004,23778.3687,0.0000,0.0000,0.0000
3.8000,2.0900,3.9710,-0.0004,23778.2662,0.0000,0.0000,0.0000
3.9000,2.1450,4.1827,-0.0004,23778.1702,0.0000,0.0000,0.0000
4.0000,2.2000,4.4000,-0.0004,23778.0807,0.0000,0.0000,0.0000
4.1000,2.2550,4.6227,-0.0004,23777.9978,0.0000,0.0000,0.0000
4.2000,2.3100,4.8510,-0.0004,23777.9215,0.0000,0.0000,0.0000
4.3000,2.3650,5.0847,-0.0004,23777.8517,0.0000,0.0000,0.0000
4.4000,2.4200,5.3240,-0.0004,23777.7885,0.0000,0.0000,0.0000
4.5000,2.4750,5.5687,-0.0004,23777.7318,0.0000,0.0000,0.0000
4.6000,2.5300,5.8190,-0.0004,23777.6816,0.0000,0.0000,0.0000
4.7000,2.5850,6.0747,-0.0004,23777.6381,0.0000,0.0000,0.0000
4.8000,2.6400,6.3360,-0.0004,23777.6010,0.0000,0.0000,0.0000
4.9000,2.6950,6.6028,-0.0004,23777.5706,0.0000,0.0000,0.0000
5.0000,2.7500,6.8750,-0.0004,23777.5466,0.0000,0.0000,0.0000
5.1000,2.8050,7.1528,-0.0004,23777.5293,0.0000,0.0000,0.0000
5.2000,2.8600,7.4360,-0.0004,23777.5185,0.0000,0.0000,0.0000
5.3000,2.9150,7.7248,-0.0004,23777.5142,0.0000,0.0000,0.0000
5.4000,2.9700,8.0190,-0.0004,23777.5165,0.0000,0.0000,0.0000
5.5000,3.0250,8.3187,-0.0004,23777.5253,0.0000,0.0000,0.0000
5.6000,3.0800,8.6240,-0.0004,23777.5407,0.0000,0.0000,0.0000
5.7000,3.1350,8.9348,-0.0004,23777.5627,0.0000,0.0000,0.0000
5.8000,3.1900,9.2510,-0.0004,23777.5912,0.0000,0.0000,0.0000
5.9000,3.2450,9.5728,-0.0004,23777.6262,0.0000,0.0000,0.0000
6.0000,3.3000,9.9000,-0.0005,23777.6678,0.0000,0.0000,0.0000
6.1000,3.3550,10.2328,-0.0005,23777.7160,0.0000,0.0000,0.0000
6.2000,3.4100,10.5710,-0.0005,23777.7707,0.0000,0.0000,0.0000
6.3000,3.4650,10.9148,-0.0005,23777.8320,0.0000,0.0000,0.0000
6.4000,3.5200,11.2640,-0.0005,23777.8998,0.0000,0.0000,0.0000
6.5000,3.5750,11.6188,-0.0005,23777.9742,0.0000,0.0000,0.0000
6.6000,3.6300,11.9790,-0.0005,23778.0551,0.0000,0.0000,0.0000
6.7000,3.6850,12.3448,-0.0005,23778.1426,0.0000,0.0000,0.0000
6.8000,3.7400,12.7160,-0.0005,23778.2366,0.0000,0.0000,0.0000
6.9000,3.7950,13.0928,-0.0005,23778.3372,0.0000,0.0000,0.0000
7.0000,3.8500,13.4750,-0.0005,23778.4443,0.0000,0.0000,0.0000
7.1000,3.9050,13.8628,-0.0005,23778.5580,0.0000,0.0000,0.0000
7.2000,3.9600,14.2560,-0.0005,23778.6782,0.0000,0.0000,0.0000
7.3000,4.0150,14.6548,-0.0005,23778.8050,0.0000,0.0000,0.0000
7.4000,4.0700,15.0590,-0.0005,23778.9384,0.0000,0.0000,0.0000
7.5000,4.1250,15.4688,-0.0005,23779.0783,0.0000,0.0000,0.0000
7.6000,4.1800,15.8840,-0.0005,23779.2247,0.0000,0.0000,0.0000
7.7000,4.2350,16.3048,-0.0005,23779.3777,0.0000,0.0000,0.0000
7.8000,4.2900,16.7310,-0.0005,23779.5373,0.0000,0.0000,0.0000
7.9000,4.3450,17.1628,-0.0005,23779.7034,0.0000,0.0000,0.0000
8.0000,4.4000,17.6000,-0.0005,23779.8760,0.0000,0.0000,0.0000
8.1000,4.4550,18.0428,-0.0005,23780.0553,0.0000,0.0000,0.0000
8.2000,4.5100,18.4910,-0.0005,23780.2410,0.0000,0.0000,0.0000
8.3000,4.5650,18.9448,-0.0005,23780.4333,0.0000,0.0000,0.0000
8.4000,4.6200,19.4040,-0.0005,23780.6322,0.0000,0.0000,0.0000
8.5000,4.6750,19.8688,-0.0005,23780.8376,0.0000,0.0000,0.0000
8.6000,4.7300,20.3390,-0.0005,23781.0496,0.0000,0.0000,0.0000
8.7000,4.7850,20.8148,-0.0005,23781.2682,0.0000,0.0000,0.0000
8.8000,4.8400,21.2960,-0.0005,23781.4932,0.0000,0.0000,0.0000
8.9000,4.8950,21.7828,-0.0005,23781.7249,0.0000,0.0000,0.0000
9.0000,4.9500,22.2750,-0.0005,23781.9631,0.0000,0.0000,0.0000
9.1000,5.0050,22.7728,-0.0005,23782.2078,0.0000,0.0000,0.0000
9.2000,5.0600,23.2760,-0.0005,23782.4591,0.0000,0.0000,0.0000
9.3000,5.1150,23.7848,-0.0005,23782.7170,0.0000,0.0000,0.0000
9.4000,5.1700,24.2990,-0.0005,23782.9814,0.0000,0.0000,0.0000
9.5000,5.2250,24.8188,-0.0006,23783.2523,0.0000,0.0000,0.0000
9.6000,5.2800,25.3440,-0.0006,23783.6164,0.0000,0.0000,0.0000
9.7000,5.3350,25.8748,-0.0006,23784.0340,0.0000,0.0000,0.0000
9.8000,5.3900,26.4110,-0.0006,23784.4595,0.0000,0.0000,0.0000
9.9000,5.4450,26.9528,-0.0006,23784.8930,0.0000,0.0000,0.0000
10.0000,5.5000,27.5000,-0.0006,23785.3344,0.0000,0.0000,0.0000
10.1000,5.5550,28.0528,-0.0006,23785.7838,0.0000,0.0000,0.0000
10.2000,5.6100,28.6110,-0.0006,23786.2411,0.0000,0.0000,0.0000
