# Project Volt WS9 - R34 10 Hz trace
# S5 (Minimal transmission - 2-speed dog box, motor-synchronised shifts, torque-fill through the shift) / duty GH-REG-165 / corner nominal / seed 8101
# GCW 36300.0 kg, payload 19970.0 kg, powertrain 3660.0 kg
# columns: t [s], v [m/s], s [m], grade [-], and the four commanded force channels at the CONTACT PATCH [N] - traction, regenerative braking, retarder, friction brake. The integrator never commands traction and a braking channel on the same sample.
# electrical quantities are NOT in this file; they are per-candidate dispatch and live in results_ws9.json
t,v,s,grade,F_trac,F_regen,F_retard,F_friction
0.0000,0.0000,0.0000,-0.0004,20404.5925,0.0000,0.0000,0.0000
0.1000,0.0550,0.0028,-0.0004,22363.4905,0.0000,0.0000,0.0000
0.2000,0.1100,0.0110,-0.0004,22363.7889,0.0000,0.0000,0.0000
0.3000,0.1650,0.0248,-0.0004,22364.0541,0.0000,0.0000,0.0000
0.4000,0.2200,0.0440,-0.0004,22364.2860,0.0000,0.0000,0.0000
0.5000,0.2750,0.0688,-0.0004,22364.4847,0.0000,0.0000,0.0000
0.6000,0.3300,0.0990,-0.0004,22364.6501,0.0000,0.0000,0.0000
0.7000,0.3850,0.1348,-0.0004,22364.7823,0.0000,0.0000,0.0000
0.8000,0.4400,0.1760,-0.0004,22364.8813,0.0000,0.0000,0.0000
0.9000,0.4950,0.2228,-0.0004,22364.9470,0.0000,0.0000,0.0000
1.0000,0.5500,0.2750,-0.0004,22364.9795,0.0000,0.0000,0.0000
1.1000,0.6050,0.3328,-0.0004,22364.9787,0.0000,0.0000,0.0000
1.2000,0.6600,0.3960,-0.0004,22364.9447,0.0000,0.0000,0.0000
1.3000,0.7150,0.4648,-0.0004,22364.8774,0.0000,0.0000,0.0000
1.4000,0.7700,0.5390,-0.0004,22364.7769,0.0000,0.0000,0.0000
1.5000,0.8250,0.6188,-0.0004,22364.6431,0.0000,0.0000,0.0000
1.6000,0.8800,0.7040,-0.0004,22364.4761,0.0000,0.0000,0.0000
1.7000,0.9350,0.7948,-0.0004,22364.2759,0.0000,0.0000,0.0000
1.8000,0.9900,0.8910,-0.0004,22364.0473,0.0000,0.0000,0.0000
1.9000,1.0450,0.9928,-0.0004,22363.8202,0.0000,0.0000,0.0000
2.0000,1.1000,1.1000,-0.0004,22363.5997,0.0000,0.0000,0.0000
2.1000,1.1550,1.2128,-0.0004,22363.3858,0.0000,0.0000,0.0000
2.2000,1.2100,1.3310,-0.0004,22363.1784,0.0000,0.0000,0.0000
2.3000,1.2650,1.4548,-0.0004,22362.9775,0.0000,0.0000,0.0000
2.4000,1.3200,1.5840,-0.0004,22362.7833,0.0000,0.0000,0.0000
2.5000,1.3750,1.7188,-0.0004,22362.5955,0.0000,0.0000,0.0000
2.6000,1.4300,1.8590,-0.0004,22362.4143,0.0000,0.0000,0.0000
2.7000,1.4850,2.0048,-0.0004,22362.2397,0.0000,0.0000,0.0000
2.8000,1.5400,2.1560,-0.0004,22362.0716,0.0000,0.0000,0.0000
2.9000,1.5950,2.3128,-0.0004,22361.9101,0.0000,0.0000,0.0000
3.0000,1.6500,2.4750,-0.0004,22361.7551,0.0000,0.0000,0.0000
3.1000,1.7050,2.6428,-0.0004,22361.6067,0.0000,0.0000,0.0000
3.2000,1.7600,2.8160,-0.0004,22361.4648,0.0000,0.0000,0.0000
3.3000,1.8150,2.9948,-0.0004,22361.3295,0.0000,0.0000,0.0000
3.4000,1.8700,3.1790,-0.0004,22361.2007,0.0000,0.0000,0.0000
3.5000,1.9250,3.3688,-0.0004,22361.0785,0.0000,0.0000,0.0000
3.6000,1.9800,3.5640,-0.0004,22360.9628,0.0000,0.0000,0.0000
3.7000,2.0350,3.7647,-0.0004,22360.8537,0.0000,0.0000,0.0000
3.8000,2.0900,3.9710,-0.0004,22360.7512,0.0000,0.0000,0.0000
3.9000,2.1450,4.1827,-0.0004,22360.6552,0.0000,0.0000,0.0000
4.0000,2.2000,4.4000,-0.0004,22360.5657,0.0000,0.0000,0.0000
4.1000,2.2550,4.6227,-0.0004,22360.4828,0.0000,0.0000,0.0000
4.2000,2.3100,4.8510,-0.0004,22360.4065,0.0000,0.0000,0.0000
4.3000,2.3650,5.0847,-0.0004,22360.3367,0.0000,0.0000,0.0000
4.4000,2.4200,5.3240,-0.0004,22360.2735,0.0000,0.0000,0.0000
4.5000,2.4750,5.5687,-0.0004,22360.2168,0.0000,0.0000,0.0000
4.6000,2.5300,5.8190,-0.0004,22360.1666,0.0000,0.0000,0.0000
4.7000,2.5850,6.0747,-0.0004,22360.1231,0.0000,0.0000,0.0000
4.8000,2.6400,6.3360,-0.0004,22360.0860,0.0000,0.0000,0.0000
4.9000,2.6950,6.6028,-0.0004,22360.0556,0.0000,0.0000,0.0000
5.0000,2.7500,6.8750,-0.0004,22360.0316,0.0000,0.0000,0.0000
5.1000,2.8050,7.1528,-0.0004,22360.0143,0.0000,0.0000,0.0000
5.2000,2.8600,7.4360,-0.0004,22360.0035,0.0000,0.0000,0.0000
5.3000,2.9150,7.7248,-0.0004,22359.9992,0.0000,0.0000,0.0000
5.4000,2.9700,8.0190,-0.0004,22360.0015,0.0000,0.0000,0.0000
5.5000,3.0250,8.3187,-0.0004,22360.0103,0.0000,0.0000,0.0000
5.6000,3.0800,8.6240,-0.0004,22360.0257,0.0000,0.0000,0.0000
5.7000,3.1350,8.9348,-0.0004,22360.0477,0.0000,0.0000,0.0000
5.8000,3.1900,9.2510,-0.0004,22360.0762,0.0000,0.0000,0.0000
5.9000,3.2450,9.5728,-0.0004,22360.1112,0.0000,0.0000,0.0000
6.0000,3.3000,9.9000,-0.0005,22360.1528,0.0000,0.0000,0.0000
6.1000,3.3550,10.2328,-0.0005,22360.2010,0.0000,0.0000,0.0000
6.2000,3.4100,10.5710,-0.0005,22360.2557,0.0000,0.0000,0.0000
6.3000,3.4650,10.9148,-0.0005,22360.3170,0.0000,0.0000,0.0000
6.4000,3.5200,11.2640,-0.0005,22360.3848,0.0000,0.0000,0.0000
6.5000,3.5750,11.6188,-0.0005,22360.4592,0.0000,0.0000,0.0000
6.6000,3.6300,11.9790,-0.0005,22360.5401,0.0000,0.0000,0.0000
6.7000,3.6850,12.3448,-0.0005,22360.6276,0.0000,0.0000,0.0000
6.8000,3.7400,12.7160,-0.0005,22360.7216,0.0000,0.0000,0.0000
6.9000,3.7950,13.0928,-0.0005,22360.8222,0.0000,0.0000,0.0000
7.0000,3.8500,13.4750,-0.0005,22360.9293,0.0000,0.0000,0.0000
7.1000,3.9050,13.8628,-0.0005,22361.0430,0.0000,0.0000,0.0000
7.2000,3.9600,14.2560,-0.0005,22361.1632,0.0000,0.0000,0.0000
7.3000,4.0150,14.6548,-0.0005,22361.2900,0.0000,0.0000,0.0000
7.4000,4.0700,15.0590,-0.0005,22361.4234,0.0000,0.0000,0.0000
7.5000,4.1250,15.4688,-0.0005,22361.5633,0.0000,0.0000,0.0000
7.6000,4.1800,15.8840,-0.0005,22361.7097,0.0000,0.0000,0.0000
